,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,5.4736757,1.8161107,1.4253497,0.0,5.808998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.315874,0.5275738,0.0,0.0,2.7762346,0.0,0.0,8.610277,24.590828,3.3648221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3379526,0.0,0.0,0.5354117,0.0,0.0,0.0,0.0,4.4023747,0.0,0.0,0.0,0.0,0.0,4.986115,1.2446659,4.8952136,0.0,1.3065579,0.0,0.0,1.0119665,0.0,0.0,5.353761,0.0,3.658199,0.0,0.0,0.0,0.0,0.0,1.1779344,0.0,0.0,0.0,0.0,0.0,1.1446704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36496484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0445229,0.0,0.0
lizard,6.2695074,1.1207724,0.0,0.0,0.0,0.0,1.8024952,0.0,0.0,0.0,0.0,0.0,12.748278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.361482,4.754237,0.0,0.0,0.0,0.5889254,0.0,0.0,27.23459,0.0,0.0,0.0,0.0,0.0,6.9242697,0.0,0.0,0.0,2.5476432,2.23955,0.0,0.0,2.1135774,0.0,0.0,9.320749,0.0,1.3226683,0.25252008,0.0,0.0,0.0,0.0,0.0,11.498415,4.400158,0.9798411,9.161209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.633499,0.0,0.0,0.0,11.713657,0.6683406,0.0,0.0,0.0,0.0,0.0,5.8829565,0.0,0.0,23.603092,0.0,0.0,1.407218,0.0,0.0,0.0,0.0,0.0,0.35079342,0.0,0.0
turtle,13.35659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78511,0.0,0.0,0.0,0.0,0.0,7.7494984,0.0,0.0,16.16752,0.0,0.0,8.25886,0.0,0.0,0.0,22.581074,0.0,0.0,13.201271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3739984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.783123,0.0,0.0,0.0,2.5809653,0.0,0.0,0.0,0.0,0.0,8.025742,12.540053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9496384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.369904
chameleon,0.0,2.7318082,5.9164453,0.0,0.0,3.0209818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8482982,0.0,0.0,0.0,15.3208,3.537991,0.0,0.0,0.0,0.0,0.0,3.4463468,0.0,0.0,0.0,0.0,0.0,0.12187183,0.0,0.0,0.0,0.0,0.0,4.5372157,0.25242692,0.0,0.0,1.9498649,0.0,2.1003294,0.0,0.0,0.0,1.8160813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42783135,0.0,2.2454107,0.61294764,0.0,0.0,0.0,0.0,4.0143924,0.0,8.386395,0.0,0.0,2.7865496,0.0,2.1414905,0.0,0.0,4.040509,0.0,0.0,2.1073074,0.0,4.5600767,0.0,0.0,0.57671183,0.0,0.0,0.0,5.122296,1.3079165,0.0,0.0
iguana,0.0,3.5664332,0.0,0.0,0.0,7.95191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.25186,0.0,0.0,0.0,43.49351,3.6000516,40.475887,0.0,0.0,0.0,3.4163315,0.0,0.0,0.0,2.5609713,0.0,0.0,0.0,0.0,0.0,0.0,0.039291978,0.0,6.7264047,0.2520569,0.0,0.0,0.0,0.0,0.0,0.0,1.5071689,0.0,4.7010746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.278049,0.0,0.0,0.0,0.0,0.0,8.009027,0.0,0.0,0.0,0.0,1.5884848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.208471,12.094015,90.383064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caterpillar,0.0,0.0,0.0,20.86742,0.0,0.0,2.1656315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865163,3.8829296,0.0,0.0,27.392351,0.0,0.0,0.0,0.0,0.0,12.73112,0.8311093,0.0,0.0,0.0,0.0,0.0,14.295697,0.0,0.0,0.27489954,0.23741293,0.0,1.23922,1.8872356,0.0,0.0,0.0,0.0,0.0,0.0,11.961651,0.0,0.0,0.0,0.0,0.16414273,0.0,0.0,0.0,13.447346,0.0,0.0,0.0,0.0,11.468894,0.0,0.0,8.168612,0.0,1.3429387,0.0,0.0,0.0,4.7786326,4.192817,0.0,0.0,0.0,0.0,0.0,0.0,3.9839466,0.0,0.0,12.1877165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,107.41526,0.0,12.213383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.008812,0.0,0.0,0.0,137.47542,0.0,0.0,0.0,0.0,0.0,46.78312,27.330294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.41402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.69032,0.0,14.730057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.536647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.17969,0.0,0.0,0.0,0.0,0.0,37.90738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.965256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,29.446213,5.330893,0.0,0.0,25.94167,0.0,0.0,18.54697,45.954247,0.0,0.0,0.0,1.9525456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.585089,0.0,0.0,0.0,0.0,0.0,8.4059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2960377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1177754,0.0,0.0,0.0,0.0,26.144783,6.347007,0.0,14.202648,0.0,11.496327,0.0,0.0,0.0,0.0,2.0778866,0.0,26.746883,15.596849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.215648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spider,3.2490206,0.6243681,0.0,0.6897968,1.5773423,2.2371955,0.09727538,0.0,0.0,3.1134472,5.671125,0.0,2.3028104,0.0,0.04911399,0.0,0.0,0.0,0.0,1.2537291,3.342069,1.1328388,0.0,0.42373896,2.7441616,0.0,0.0,1.8083669,0.0,0.5208114,0.0,2.324606,0.0,0.037288964,2.0861225,0.26152277,0.0,0.0,0.08573973,2.019745,1.746129,0.075053096,0.8251929,0.0,0.13479614,1.3121371,0.0,0.7858342,0.24286413,0.0,0.0,0.0,0.0,0.0,0.70234543,1.1125399,1.9807298,0.13310885,0.4384035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72876805,0.0,0.0,0.0,0.0,0.0,1.4355305,0.0,1.2179619,1.2359769,0.0,0.0,1.866805,1.4737148,0.0,0.34218758,0.0,0.0,0.0,1.4470807,2.4592204,1.6390786,0.11093092,0.47527695,0.0,4.8166823,0.6817064,0.0,0.0,0.0,0.0,0.0,0.6710361,0.076001644
moth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.146736,43.894703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2662373,0.0,15.2163925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0391207,0.0,0.0,0.0,0.0,28.910767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.150517,0.0,0.0,0.0,0.0,0.0,0.0,61.72353,0.0,0.0,0.0,0.0,22.291967,0.0,5.1674376,14.407947,0.0,0.0,0.0,0.0,13.421391,16.818842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.540573,16.73637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33744,0.0,0.0
