,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.0,23.601929,1.4374206,0.0,5.820045,0.0,0.0,0.0,0.0,0.20206451,0.0,6.8889,4.7443867,0.0,7.0302825,0.0,0.0,0.0,0.0,0.0,0.0,4.1519966,0.0,0.0,0.0,10.872668,0.0,2.8054285,0.16741079,0.0,13.527643,1.6873487,0.0,0.0,0.0,13.726268,0.46966076,2.1893342,1.7852306,0.74845624,0.0,0.0,0.52698016,0.0,0.0,0.16564494,0.0,0.0,0.0,0.0,0.0,0.0,0.49191606,0.0,4.1945977,0.0,0.25727725,0.0,0.0,0.0,0.0,15.490667,0.0,0.0,0.0,0.0,0.8081031,0.0,1.5304515,0.0,0.0,0.0,0.0,0.0,0.0,1.6573298,0.02012086,0.0,2.0565438,0.0,0.0,0.0,2.0181966,0.0,0.05644816,1.9140366,0.0,0.0,0.0,2.3661652,0.0,6.2326775,0.0,4.861887,0.0,4.860655,0.0,2.533369,0.0,0.0
lizard,0.0,0.0,0.0,0.0,1.0846814,0.0,0.0,0.0,2.6034608,11.596672,0.0,9.657308,7.046983,7.113313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026799679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.81304,0.0,0.0,0.0,0.94030774,0.0,0.0,15.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.43566,0.0,0.0,5.634596,0.0,0.0,0.0,0.0,1.467019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.118172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9545212,0.0,0.0,0.0,22.597797,0.0,47.21389,0.0,7.601479,16.120972,12.87325,0.0,0.0,0.0,13.840186
turtle,0.0,0.0,0.0,0.0,5.1814775,0.0,0.0,0.0,21.073725,2.5474403,0.0,0.0,0.0,0.0,3.4772718,0.0,0.0,0.0,0.0,0.0,0.0,4.537503,0.0,0.0,0.0,0.6620381,0.0,0.0,0.0,0.0,0.28953373,3.0271595,0.0,0.0,13.090351,0.0,0.0,0.0,5.225032,0.90430284,4.2022924,0.0,12.234476,0.0,0.0,0.0,0.0,4.9634776,0.0,6.988155,0.89735365,0.0,0.0,0.0,1.1736623,0.0,0.7083037,10.195776,5.3246293,0.0,3.4501934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1530037,0.0,0.0,0.0,0.0,0.0,0.0,8.006658,0.0,9.614613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304194,0.0,0.47602713,10.928276,0.0,0.0,2.383659,0.0,17.891384,0.0,6.028043
chameleon,0.0,0.0,0.0,0.0,0.0,4.449396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.052177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.063217,12.251321,0.0,14.71343,0.0,18.014101,0.0,33.07375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.710823,0.0,0.0,4.0170574,0.0,0.0,20.950226,0.0,0.0,0.0,3.1502638,3.9759555,0.0,0.0,0.0,0.9129517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4735794,0.0,0.0,0.0,0.24930477
iguana,0.0,0.0,0.0,0.0,186.23248,16.107107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.382013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.03221,0.0,0.0,30.309097,0.0,19.733892,0.0,0.0,0.0,67.500206,0.0,0.0,0.0,0.0,0.0,250.24106,0.0,0.0,0.0,0.0,0.0,63.467915,0.0,13.862291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.244154,0.0,0.0,103.46623,0.0,0.0,0.0,0.0,57.06842,0.0,10.705588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.843807,0.0,0.0,0.0,41.06007
caterpillar,0.0,0.0,0.0,0.0,0.0,4.0359898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.494069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5934522,0.0,0.0,0.0,12.424185,0.0,0.0,0.0,0.0,0.0,0.49175763,0.0,0.0,0.0,49.105995,10.805759,0.0,39.745308,0.0,15.573147,1.2199972,22.766285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84531355,0.0,0.0,0.0,0.0,11.473877,0.0,0.0,0.0,0.0,0.0,14.613712,0.0,3.2809114,0.0,0.0,0.0,0.0,12.151743,0.0,0.0,0.0,0.0,0.0,3.3720064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.689611,0.0,0.0,1.4768717
cockroach,0.0,0.0,0.0,0.0,0.0,54.18143,0.0,0.0,0.0,0.0,0.0,170.27841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.38798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.19626,0.0,0.0,0.0,0.0,134.8294,0.0,0.0,0.0,26.789103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197847,0.0,0.0,193.35973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.85002,0.0,293.74423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.26282
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.085194,0.0,2.008616,0.0,0.0,0.0,0.0,0.0,0.0,15.409048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17218542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.433915,0.0,0.0,0.0,12.469388,57.989902,0.0,39.109375,0.0,0.0,0.0,0.0,0.0,0.0,28.773989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.450079,0.0,0.0,18.871923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15088224,0.0,1.7359784,22.144793,0.0,0.0,0.0
spider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1945276,0.9852376,0.0,0.0,4.4770594,0.0,4.7059937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3551846,0.0,0.0,0.0,0.0,0.7316728,5.022557,0.0,0.0,0.0,0.0,0.5288415,0.0,4.5775924,1.5905865,1.7659589,0.0,7.601969,0.0,0.0,0.0,0.0,4.279956,0.0,5.1493893,1.1796541,0.0,0.24899876,0.0,7.1164136,0.0,2.666367,8.549394,5.8488855,0.0,0.0,0.34935617,0.0,0.85119796,0.0,0.0,0.1861602,0.0,5.4755754,0.0,0.0,0.15102601,0.0,0.0,0.0,4.6119657,0.0,4.419055,2.9525392,1.5426844,0.0,1.5823792,0.0,0.0,2.0336533,0.0,0.0,0.0,0.0,3.2908497,0.0,0.0,9.626896,0.0,0.0,1.6918122,1.5351961,13.281083,0.0,2.4334683
moth,0.0,0.0,0.0,0.0,0.0,9.497998,0.0,0.0,0.06310618,0.0,0.0,0.12001574,0.0,2.6724505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5952562,1.8647674,0.0,0.0,7.8527517,0.0,1.8688565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9204711,6.3998528,0.0,0.84536684,0.841885,1.5125021,0.0,0.0,0.0,0.0,0.0,0.0,7.081234,0.0,0.0,7.1848326,0.0,9.149484,0.0,0.0,9.259663,8.360417,0.5013093,0.0,0.20558965,0.0,0.0,0.0,0.3925897,0.0,0.0,1.0622945,0.0,2.0563984,5.2499003,0.0,1.6882,1.9251221,0.0,0.0,2.1262193,0.0,1.7331214,0.0,3.5350885,0.0,2.3000727,4.623637,0.0,0.0,6.0623903,0.0,0.0,0.0,0.0,0.0,0.0,5.199899,0.0,0.5150453,2.5667155,1.1141613,0.0,0.0,0.0
