,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7444286,4.843071,0.0,3.758408,0.0,0.0,0.0,0.39950824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.424524,0.0,0.0,0.0,0.0,3.089861,2.5257723,0.0,0.0,0.0,10.52623,0.0,0.0,0.0,0.0,7.603012,0.0,0.0,0.0,0.0,0.0,0.0,3.9550395,0.0,0.0,0.0,0.0,0.0,6.105989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2603188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.825675,6.1443405,3.162137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8512335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lizard,0.8940054,0.0,0.0,0.0,0.0,0.0,0.0,0.7039001,0.0,0.0,1.9360485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.847086,0.0,0.0,0.0,0.0,0.0,0.0,6.613559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.342195,0.0,0.0,0.0,0.0,0.5963781,0.0,0.0,0.0,0.0,24.393387,0.0,3.808276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.934038,3.7013812,0.0,10.952557,0.0,0.0,0.0,0.0,0.0,0.067759514,3.8760333,1.3420279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.146561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32581615,32.217785,0.0,0.0,0.0,0.0,0.0,0.0,22.07773,0.0,0.0,0.0,0.0,10.789349,0.0,5.9802065,0.0,0.0,0.0,0.0,8.267242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.537594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.114044,2.633737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0829098,0.0
chameleon,0.0,0.0,0.0,0.0,1.1142354,0.0,0.0,14.35855,0.0,0.0,0.0,0.0,0.0,0.0,3.5027256,6.0481834,0.0,15.17304,0.0,0.0,11.503582,0.0,0.0,0.0,5.6821294,6.9872637,0.0,0.0,0.0,0.0,0.0,0.0,10.091791,0.0,0.0,0.0,0.0,0.0,8.152346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3895526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0162745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.746645,7.9914694,0.0,0.0,0.0,0.0,0.0,0.0,3.8647683,0.0,0.0,3.6498442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7988553,0.0,0.0,0.8921733,0.0,0.0,0.0,0.0,0.0,0.0
iguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.540546,0.0,0.0,7.4042087,0.0,0.0,0.0,0.0,9.583587,0.0,14.072224,0.0,0.0,4.7592363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.353779,0.0,0.0,0.0,0.0,0.0,24.737795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.667421,0.0,1.704597,0.0,0.0,3.2411237,0.0,84.979095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.678701,0.0,0.0,0.0,0.0,0.0,0.0,15.400789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.253295
caterpillar,0.0,0.0,0.0,0.0,5.657633,0.0,0.0,6.0669436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.044705,0.0,13.957436,0.0,0.0,14.478756,0.0,0.0,0.0,8.063112,5.1495266,0.0,0.0,0.0,0.0,0.0,0.0,10.1549225,0.0,0.0,0.0,0.0,0.0,2.4100559,0.0,0.0,0.0,0.0,0.0,4.9089093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017843723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0762806,1.0547061,0.0,0.0,0.0,0.0,0.0,0.0,12.797313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7318436,0.0,0.0,0.19429445,0.0,0.0,0.0,0.0,0.0,1.0983353
cockroach,20.605583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.88942,0.0,0.0,0.0,0.0,0.0,23.437428,0.0,0.0,18.509214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.887812,0.0,0.0,0.0,13.107241,0.0,0.0,0.0,0.0,11.229198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.175777,20.733887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0094848,7.8394375,0.0,0.0,8.959954,0.0,0.0,0.0,72.79602,0.0,0.0,16.990688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.057816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3441057,15.916012,0.0,0.0,2.2411766,0.0,20.400324,0.0,0.0,0.0,0.0,23.535212,0.0,0.0,0.0,0.0,13.606365,0.0,0.0,1.9542398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7070823,0.0,0.0,0.0,23.051937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.442517,0.0
spider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97932744,0.0,11.502895,0.0,0.0,0.0,5.0529714,0.0,0.0,5.7535024,0.0,0.0,0.0,0.0,0.0,0.0,0.53979516,3.2065268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.968499,0.0,21.69875,3.1722426,1.7779496,0.0,0.0,8.771881,0.0,0.053665638,0.0,0.58310187,0.0,0.0,1.0999992,0.0,0.0,4.6562986,0.0,4.718146,0.0,0.0,0.0,0.0,6.9123564,0.111204386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.982112,0.0,0.442775,1.054862,0.0,0.0,0.0,0.0,1.1022723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1264038
moth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.368912,0.0,0.0,0.0,0.0,1.2702181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.821787,0.0,0.0,0.0,50.712543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.590038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.539466,17.392494,0.0,0.0,6.341223,0.0,0.0,2.2095785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.510487,0.0,0.0,0.0,0.0,15.039342,0.0
