,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,1.9763492,0.0,0.0,0.0,0.0,0.0,2.9013033,0.67686874,2.5616055,2.315261,0.0,0.0,3.8810363,0.0,1.4687636,1.100806,2.087339,0.0,0.0,0.0,0.19176847,0.0,1.273536,1.7557937,0.89509374,1.4122608,0.6654613,2.126949,0.35367873,0.9020739,1.9455383,2.0555372,0.3819606,0.6593118,0.0,0.0,0.0,0.42524952,1.9734173,0.0,0.9073092,0.0,4.076491,1.9217852,0.0,2.790253,0.0,3.300145,0.5176108,0.7141515,0.82648313,0.030887805,0.0,0.17968047,2.1756437,1.7540983,0.3804736,2.60363,0.0897596,0.0,0.0,1.8599453,1.8928946,0.0,1.2544565,0.0,1.6317887,1.7397789,3.5965989,2.3913536,0.0,0.0,0.0,0.0,0.0,0.0,2.1980944,0.0,0.0,0.084784545,1.512641,3.3567152,0.0,0.6548737,1.5999373,1.2298255,0.0,0.0,1.603503,1.4964432,0.118520886,2.8087895,0.0,0.0,1.208525,0.0,0.0,4.3336554,0.0,3.938135
lizard,0.84517413,1.6002225,0.0,0.0,0.0,0.0,1.005325,0.0,3.4613593,1.7080772,0.0,0.0,3.1736946,3.4484918,0.0,0.6484601,0.0,0.34512576,2.4332945,0.0,3.0337894,0.0,2.5388255,1.5938269,0.76210815,3.1901867,0.47179016,1.7967601,1.9180529,0.32004657,1.9584382,0.0,2.4708767,1.3240266,0.0,0.9181481,0.0,0.0,0.50910217,0.53844506,0.0,0.0,3.1751196,2.4938917,0.0,1.6946149,1.6805794,0.75959826,0.13158143,1.1476338,0.15472974,0.10889267,0.0,1.2803397,0.0,1.4358633,0.80745524,1.144626,0.6166167,1.1860484,0.0,0.0,0.4077155,0.21001229,4.5434475,0.0,3.030771,2.0553472,4.056874,0.79952115,1.624412,0.0,1.0148274,0.0,0.83334357,1.6898537,0.8303592,0.27633542,0.32331628,0.64893776,2.2204504,1.9691651,0.0,1.4118907,0.0,2.1565654,0.0,0.0,0.35605496,0.12291271,1.7130171,3.1301537,0.29225367,0.0,0.78558254,0.0,0.0,1.1140064,0.01679539,1.265751
turtle,0.0,0.8146242,0.0,3.4110656,0.0,0.14615028,0.0,0.0,2.21096,0.8351123,2.2284124,3.7487066,4.2220297,4.8731422,3.7060387,0.0,0.6112891,0.0,3.8505058,0.0,3.3692386,0.15228197,7.282977,4.626946,1.6918939,1.8404452,1.5521135,1.6520412,3.314169,0.8226263,2.4758356,0.93722075,1.5839208,5.3638406,2.9837294,4.5971956,0.0,0.0,0.0,0.7504323,0.0,0.2580164,2.6492453,1.1735038,0.0,4.823257,4.6908383,2.3956258,0.0,0.0,0.0,2.0446784,0.0,4.449923,0.174905,4.5894165,2.2492273,1.9659033,1.3468077,0.9293808,0.0,0.39947307,1.0569434,1.192775,3.5521436,0.6259645,3.969806,1.3930752,1.1671481,0.0,1.5116959,0.0,2.8289385,2.787498,5.6498694,1.4384984,2.6853824,1.396396,0.0,1.7916242,1.5710055,2.8485193,0.0,0.29515362,1.2030532,1.2015058,1.6340948,0.0,1.1025428,0.90976566,1.821643,3.4713483,0.0,2.094017,1.570948,0.0,0.0,0.0,0.0,0.011099555
chameleon,2.238017,3.3501327,0.0,1.3556106,0.0,0.0,3.1811066,0.0,1.0135077,0.0,0.0,0.33053705,2.0554209,3.2716491,1.3308551,0.038810614,2.5642965,0.0,2.3272307,0.0,2.1345258,0.0,2.8603444,3.5916622,3.657808,1.8118429,4.001053,1.5821457,2.6049905,1.7835712,4.7927756,7.024763,0.58726245,2.8409925,2.5494115,0.094641,0.0,0.0,3.495863,0.0,1.0838096,1.7091279,2.9514284,1.3328221,0.0,0.98759985,1.7645769,3.5363421,3.1368256,0.0,1.735425,3.3751788,0.0,2.1027205,2.9458368,2.5510988,1.7741697,1.9242239,2.4434156,0.0,0.0,2.2581537,3.0822556,0.0,5.0917587,2.6648154,1.8485681,1.8183486,2.9451895,1.6390779,0.0,0.0,0.24198833,5.2298813,0.8215809,0.0,3.0475078,2.413937,0.0,0.0,2.7915068,2.906071,0.0,0.28861982,2.0058806,0.0,0.0,0.0,0.18552671,0.95389956,3.1251464,5.633576,0.0,0.0,1.7361573,0.0,0.0,0.0,0.0,0.8787968
iguana,0.0,11.618422,0.0,7.90764,0.0,0.0,0.22894827,0.0,0.580058,0.0,0.37012658,0.1969871,6.8928866,8.751861,7.964962,1.433035,2.712317,0.0,0.0,0.0,0.0,0.0,0.0,8.6260805,3.0642278,0.0,0.0,0.23376971,4.0304613,0.65117884,9.325244,12.343971,0.0,2.6821136,12.953796,2.2511027,0.0,0.0,4.929612,0.0,0.0,2.0758202,5.874314,0.0,0.0,0.0,0.0,13.922205,0.0,0.0,2.91018,0.0,0.0,7.994535,5.2036877,2.9923847,1.7295377,0.0,1.8211136,0.0,0.0,0.9028061,3.469767,0.0,8.981673,3.4733078,0.0,2.3995283,0.0,3.3797746,0.0,0.0,0.0,6.4672666,0.17737195,0.0,9.268852,6.01869,0.0,0.0,0.39534992,1.1476177,0.0,5.7192197,4.9615955,0.0,7.8198886,0.0,0.0,0.94966817,2.4568112,9.989145,2.25368,0.0,5.412436,0.0,0.0,0.0,0.0,4.0415196
caterpillar,2.0428493,4.6968665,0.0,2.889942,0.0,0.0,0.0,0.0,2.18632,0.0,0.0,2.2065582,4.0907326,4.380338,2.8030868,0.32712874,0.0,0.11297373,3.6165206,0.1457303,2.9297912,0.41735405,1.551537,4.96322,2.2660708,3.433189,0.9597737,0.06464708,4.0850973,3.2116246,3.810876,4.437477,0.6682505,6.5085196,1.2082332,0.4490428,0.0,0.0,2.51368,0.0,1.0545162,0.2662177,0.015325323,1.8243135,0.0,2.7530658,1.4952024,3.0305896,0.9323826,0.0,0.0,4.324429,0.0,1.3524513,0.86539876,4.5345364,3.5541492,3.6192257,2.0850663,0.0,0.0,0.9806827,0.8979895,0.2100074,1.9059014,2.633209,4.16028,0.6150834,0.7924,2.736273,0.0,0.0,0.0,4.687878,0.062105298,0.0,3.8148494,2.1243367,0.0,0.0,3.5722013,0.8540583,0.5827117,1.7481865,2.7326035,0.992894,0.0,0.0,0.0,0.0,3.5026278,0.6715033,0.0,1.593072,3.0554435,0.0,0.0,0.0,0.0,2.297625
cockroach,2.566686,6.113957,0.0,0.0,0.0,0.0,8.083884,0.0,0.0,0.0,0.0,0.0,0.0,4.51572,0.0,4.1782355,0.0,2.848641,2.8090575,0.0,10.829715,0.0,0.0,0.0,18.420748,0.0,7.9489393,3.5816066,10.068947,6.8141737,21.637804,18.682568,0.0,0.0,10.190354,0.0,0.0,0.74829143,11.294897,0.0,2.7475655,7.240647,14.901889,0.9389444,0.0,0.0,2.3687098,12.254012,15.134216,0.0,1.9233398,1.7617867,0.0,0.0,5.192668,0.0,2.099051,3.4389892,4.134456,0.0,0.0,7.5985866,3.279057,0.0,10.289156,15.118846,1.840702,3.849178,6.8258576,3.9487648,0.0,3.606106,0.0,11.016105,0.0,0.0,1.4320579,5.736823,0.0,0.0,0.58497727,6.355202,0.0,0.0,3.8302588,0.0,1.1212081,0.0,0.0,0.0,4.8775024,22.920767,1.6084919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,1.4362252,3.996369,0.0,3.546185,0.0,0.0,0.0,2.613039,1.3533815,4.32707,0.26182345,1.5989573,5.670503,0.0,4.240921,0.0,1.0038108,0.0,0.99629843,0.0,1.4356226,0.8935542,2.8030915,2.662706,2.9926035,0.3648591,2.7997184,0.0,2.492879,0.37819865,0.2817016,0.0,0.6249779,0.10951014,2.706713,4.483376,0.0,0.0,1.7765557,2.2717555,0.0,1.2103667,0.0,0.12263605,0.0,2.9040434,1.3169372,6.4996037,0.0,0.88692886,0.0,0.72577554,0.0,5.7894087,4.236931,2.1006472,0.0,0.0,2.8135443,0.25577906,0.0,2.2080348,0.7978669,0.6672591,3.0963788,2.6895728,5.7428145,0.0,0.0,0.0,1.6103982,0.0,3.949164,3.188353,5.882746,0.60114884,1.3616405,0.9425428,0.0,0.0,0.0,2.8401036,0.091389984,0.92094797,0.3229858,1.6049097,2.399003,0.0,0.0,1.3982936,3.019894,0.3365846,0.11856809,0.0,2.697403,0.0,1.568322,0.0,0.0,1.3394598
spider,2.2856636,0.52878666,0.0,0.0,0.0,0.0,0.6849324,0.38398385,5.4267683,2.151245,1.105638,0.0,5.132795,2.4913177,0.0,0.0,2.8614974,1.6917655,4.052912,0.0,2.8652427,0.0,4.5205736,1.7596114,1.7806281,3.4521143,2.7915187,2.0520911,2.7101328,0.40782428,1.3724321,0.0,1.9395944,1.4763385,0.0,2.2296207,0.0,0.15902089,0.6342844,2.981572,0.0,0.0,2.5166285,0.023974862,0.0,2.6220155,3.0405447,2.6707237,0.0,1.6811159,0.5899852,1.1916271,0.0,3.4413278,0.013882933,3.9817493,1.3099084,1.4913446,0.29890352,2.0657713,0.0,0.0,3.1862128,1.1610898,3.7792897,0.0,4.8303595,1.5114946,4.351056,0.2825498,2.4776351,0.0,1.1946054,0.41120815,1.8137782,1.3321351,0.88474125,0.0,0.24334283,1.1416956,2.4676476,4.0526943,0.0,0.37147963,2.0673928,1.6778616,0.7257019,0.0,0.9128124,2.8996954,1.0367382,1.8284036,0.0,0.059411272,0.0,0.12111637,0.017928116,2.8577027,0.20118225,1.7670197
moth,0.18662718,0.0,0.0,1.0425467,0.0,0.0,2.6686032,2.0690951,1.3693287,1.7071636,4.221504,1.1094264,2.6778252,2.3000414,4.111425,0.0,3.4392314,1.8406043,0.0,0.0,2.0442321,0.0,2.2576766,0.15638709,3.4372637,0.0,2.0621333,3.1745214,0.0,0.0,0.24844953,3.1813767,0.0,0.0,4.8649235,1.2621374,0.0,0.0,0.0,0.0,0.0,0.6505426,2.0320868,0.0,0.0,1.4631072,1.3629966,4.8588934,0.0,0.0,5.0243807,1.8645713,0.0,3.7028105,1.4547695,1.9780073,0.009301305,0.0,5.491801,0.0,0.0,2.0725422,1.1685817,0.0,0.0,2.6897867,0.0,0.0,0.0,0.0,0.26728338,0.0,0.0,3.118583,0.6129875,0.0,0.0,2.5020258,0.0,0.8087897,0.0,0.12443693,0.0,1.6904148,1.8891748,0.0,2.809492,0.0,0.0,5.1878023,0.65992767,1.7976264,0.46540874,0.0,4.013986,0.0,3.2007456,0.0,0.0,0.0
