,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,9.937746,0.0,4.028474,4.660706,0.0,1.5979488,0.0,4.446096,5.3670807,5.858507,0.0,6.596308,0.0,3.7881675,7.953057,5.6733003,0.0,6.925925,0.0,1.6531858,0.0,1.3697882,6.083011,0.0,4.4291677,0.0,0.0,0.83237207,3.3506224,0.0,0.0,0.0,0.0,0.0,1.7524403,0.0,0.0,0.0,0.0,3.7228646,0.0,0.0,1.0795095,4.9220486,2.8083944,0.0,0.0,7.982066,0.0,3.9381049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2069225,0.8148389,0.0,5.4323306,5.2234044,1.3733263,0.0,0.0,0.0,0.0,0.0,5.8496313,1.4798102,6.4949837,1.7788936,4.7017384,4.28336,0.0,5.525115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.399778,1.3985021,0.0,2.0640326,0.0,0.0,0.0,0.0,4.8340707,9.003759,0.58910453,4.04622,0.890772,0.0,0.0
lizard,7.1143646,0.0,12.416867,17.372742,0.0,0.0,0.0,9.898302,0.0,0.0,0.0,6.323759,0.0,17.830778,0.0,26.839115,0.0,24.610964,0.0,0.0,0.0,0.0,32.94839,0.0,20.56835,0.0,0.0,0.0,13.885946,0.0,0.0,0.0,0.0,0.0,33.915398,0.0,0.0,0.0,0.0,12.921836,0.0,0.0,0.0,0.0,15.757993,21.938183,0.0,8.66613,0.0,3.107252,0.0,0.0,0.0,0.0,7.271353,3.8444746,0.0,0.0,0.0,6.995666,0.0,0.0,12.147605,2.0408642,18.377699,0.0,2.6642413,0.0,9.005817,0.0,2.8317065,0.0,5.8499985,0.2697136,0.0,0.0,0.0,3.3201635,0.0,0.0,1.6806121,0.0,9.002924,0.0,0.0,4.9504313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.106692,13.341813,6.543927,37.42806,15.581169,0.0,0.0
turtle,5.9713426,0.0,0.0,3.50886,3.1121385,3.9540942,0.0,5.046669,0.0,10.049975,0.0,0.0,2.199124,4.149141,11.581782,13.090895,0.0,15.335609,0.0,7.66817,0.0,0.0,3.8536758,0.0,2.091621,0.0,4.1322827,4.1569905,9.471864,0.0,0.0,1.8844786,0.37880835,0.0,8.903617,0.0,0.0,0.0,0.0,0.12115252,1.2467148,0.0,0.0,0.0,15.796553,8.672008,0.0,0.6836537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.879124,0.0,0.0,0.0,9.528053,0.0,0.0,7.9066634,2.1198728,8.502878,0.0,0.0,0.0,0.2978391,0.0,3.9794197,0.0,4.606299,4.7618876,14.308308,11.7116585,0.0,3.8106139,0.0,0.0,6.6451735,0.0,8.978056,0.0,0.0,8.516308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.149278,9.789501,5.368721,5.0753274,5.402621,0.0,0.0
chameleon,0.0,0.0,0.71379125,3.0256746,0.0,0.0,0.0,0.40993708,2.723185,8.95857,0.0,4.476006,1.2081034,6.3156567,4.9490237,5.888652,0.0,6.729654,0.0,0.0,0.0,0.0,3.9836593,0.0,0.0,0.0,1.9230481,0.0,6.8755274,0.0,0.0,1.6559974,0.0,0.0,0.42795455,0.0,0.0,0.0,0.0,3.085793,2.0253196,0.0,4.1709323,0.0,0.0,0.23675963,6.704294,0.94537425,0.0,0.0,5.0675955,0.0,0.0,0.0,0.0,3.224578,0.0,0.0,0.0,7.021488,4.906878,0.0,3.0407977,7.787401,7.1426225,0.0,5.0235486,0.0,0.0,0.0,3.3149872,3.8879628,2.6608632,1.2387466,0.0,4.675378,0.0,5.530754,0.0,0.0,0.0,6.139362,0.0,0.0,0.0,3.98269,2.622569,0.0,1.8927556,0.0,0.0,0.0,0.0,0.0,4.6257243,0.0,0.0,2.3188286,0.0,0.0
iguana,0.0,0.0,3.354272,16.548092,5.6359425,0.0,0.0,0.0,0.0,11.795559,0.0,0.0,0.0,0.0,0.0,0.0,10.155657,29.19492,0.0,0.0,0.0,0.0,28.846176,0.0,15.0936365,0.0,12.05617,0.0,20.22382,0.0,0.0,0.0,0.0,0.0,26.212524,0.0,0.0,0.0,0.0,24.006285,19.827988,0.0,0.0,0.0,35.754227,0.0,4.0764127,0.0,0.0,0.0,27.828606,0.0,0.0,0.0,27.19885,38.39388,0.0,0.0,0.0,8.43664,3.0515194,0.0,0.0,0.0,21.131634,0.0,42.003532,0.0,0.0,0.0,0.0,0.0,39.973946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.693497,23.915024,24.698431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.081282,0.0,0.0,21.85553,0.0,0.0
caterpillar,6.2130632,0.0,0.0,5.9270153,5.236192,0.0,0.0,1.9374312,0.071679115,0.0,0.0,4.836424,0.19133359,10.2531805,2.3302329,1.465797,2.3370085,6.037628,0.0,1.5988764,0.0,0.0,4.9710975,0.0,0.0,0.0,0.0,0.44665977,3.125046,0.0,0.0,2.8794518,0.0,0.0,8.993384,0.0,0.0,0.0,0.0,3.5317645,6.043107,0.0,7.101166,0.0,10.164928,0.00072696805,0.41039535,0.8716594,0.0,0.0,1.553166,0.0,0.0,0.0,8.101131,7.855255,0.0,0.0,0.0,4.166245,0.0,0.0,3.7134416,2.2337408,10.01417,0.0,9.167282,0.0,0.0,0.0,5.1016116,0.0,9.741617,0.0,0.0,1.6512619,0.0,0.0,0.0,0.0,7.6204267,2.0992541,8.775322,0.0,0.0,3.2418573,0.52410066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.89939,0.0,10.437531,8.185205,0.0,0.0
cockroach,0.0,0.0,13.919213,2.0394795,41.018433,0.0,0.0,0.0,0.0,18.655756,0.0,28.864695,17.381268,13.308438,0.0,0.0,0.0,62.485054,0.0,0.0,0.0,0.0,16.733154,80.73418,15.852244,0.0,59.828808,0.0,62.316166,0.0,0.0,34.245865,0.0,0.0,3.7528405,0.0,0.0,0.0,19.481955,46.893356,19.584595,0.0,34.869404,0.0,0.0,0.0,17.258472,0.0,0.0,0.0,31.449635,0.0,0.0,0.0,72.83153,81.622375,0.0,0.0,0.0,66.65722,76.30825,0.0,0.0,0.0,7.119487,0.0,33.35014,0.0,7.0707893,0.0,26.140335,0.0,10.102694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.10591,52.569252,0.0,0.0,0.0,20.251993,5.9702053,0.0,59.688385,0.0,0.0,0.0,0.0,0.0,45.832886,0.0,54.13919,19.985744,0.0,0.0
beetle,15.885787,0.0,0.0,0.0,1.3588543,0.0,0.0,0.0,1.629527,6.238234,0.0,0.0,0.0,0.0,0.0,12.105856,16.82871,10.1603985,0.0,0.0,0.0,0.0,2.1308205,0.0,0.0,0.0,0.0,0.0,15.008931,0.0,0.0,7.048511,9.706779,0.0,2.722158,0.0,0.0,0.0,0.0,18.319286,0.0,0.0,0.0,0.0,6.152439,0.0,0.0,0.0,0.0,2.0920851,0.0,0.0,0.0,0.0,9.821659,14.82448,0.0,0.0,0.0,0.0,0.0,0.0,18.740427,6.647893,4.905359,0.0,0.0,0.0,0.0,0.0,6.2318535,3.2469058,8.771365,0.42994043,31.162807,12.582117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.269439,0.0,0.0,8.416083,0.0,0.0,0.0,0.0,19.953978,0.0,0.0,0.0,23.46093,0.0,0.0
spider,8.440719,0.0,5.7335734,2.1057935,0.0,7.165205,0.0,4.6737943,0.0,1.6009504,0.0,0.0,2.8435667,0.46625206,11.98367,0.97772694,0.0,11.850077,0.0,4.46343,0.0,0.0,9.013385,0.0,0.0,0.0,10.602793,5.9044843,2.95915,0.0,0.0,4.6216354,1.4168551,0.0,17.734411,0.0,0.0,0.0,0.0,4.7528634,0.0,0.0,0.0,0.0,16.423754,6.1760817,0.0,2.0113378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.071262,0.0,0.0,6.8168616,5.1736155,2.094912,0.0,0.0,0.0,0.48015302,0.0,4.6618834,19.371456,1.7813494,0.0,5.741226,0.0,0.0,4.6533394,0.0,0.0,3.6861396,1.9309306,0.0,0.0,0.0,21.464445,1.3760247,0.0,5.0090795,0.0,0.0,0.0,0.0,7.872652,1.5718327,0.0,13.722774,3.5491276,0.0,0.0
moth,7.6936474,0.0,22.33656,0.0,11.129674,0.0,0.0,0.5482918,6.7989545,14.054074,0.0,5.097039,1.3246708,0.0,0.0,11.678909,7.8722916,16.045578,0.0,0.0,0.0,0.0,4.2907352,0.0,0.0,0.0,6.550271,12.95968,20.796207,0.0,0.0,10.621225,10.173293,0.0,6.1377673,0.0,0.0,0.0,0.0,14.613195,6.961339,0.0,2.387877,0.0,3.06151,3.029174,16.939442,0.0,0.0,13.243654,0.0,0.0,0.0,0.0,15.536662,6.095503,0.0,0.0,0.0,5.72917,0.0,0.0,0.0,8.279645,0.0,0.0,4.455466,0.0,1.387366,0.0,0.0,1.5490952,4.0316324,0.0,0.0,10.844156,0.0,16.086464,0.0,0.0,3.5523448,8.626518,0.0,0.0,0.0,6.8603344,27.67034,0.0,18.443155,0.0,0.0,0.0,0.0,0.61854905,6.6279593,0.0,3.146358,1.4674746,0.0,0.0
