,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
airplane,0.0,0.0,0.0,0.0,53.51529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.19935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68862,0.0,0.0,0.0,0.0,0.0,4.3188233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.577618,0.0,0.0,0.0,9.726336,221.37988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.463478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.98025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.24406,0.0,0.0,0.0
alligator,0.0,0.0,0.0,0.0,1.8122375,1.4624997,0.0,0.0,0.0,0.14724517,0.0,1.8196025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8261605,0.0,15.377443,0.0,0.0,0.0,0.0,0.0,1.1157293,2.154354,0.0,0.0,20.98867,3.9278522,0.0,5.819052,0.0,0.6392598,5.9737735,6.019676,0.0,0.0,1.4688427,0.0,0.0,0.0,0.0,0.520761,0.0,0.0,0.0,0.0,0.0,1.3318367,0.0,0.0,0.1148504,0.0,0.0,0.0,0.0,0.0,0.0,4.5650864,0.0,0.18116903,1.9280397,0.0,0.1084553,2.8909726,0.0,0.0,2.1807353,14.730353,7.894493,0.0,4.388791,4.470101,0.0,0.32788026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0105584,0.0,0.0,1.6244462,0.0,0.0,7.9369726
ant,0.0,17.122787,0.0,0.0,0.0,0.0,0.0,7.8313875,0.0,6.211903,0.0,2.210249,3.8051732,0.0,5.1798725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9768387,0.0,0.0,0.52968293,0.0,0.0,0.0,0.0,2.4493806,0.0,0.0,0.0,0.0,31.4894,0.8896327,4.5158215,0.0,4.2983675,1.5465012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09515524,0.0,0.0,2.28494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8128673,0.0,0.0,0.0,0.0,1.492999,0.0,1.5500634,0.0,0.0,0.0,0.0,0.0,5.4835033,0.0,3.3466792,0.0,10.548155,0.0,0.0,0.0,0.0,0.0,0.3364069,0.8312309,0.0,0.0,0.0,4.6164656,0.0,0.47681463,0.0,6.3700356,0.0,3.143362,0.0,2.0413861,0.0,0.0
anvil,0.0,1.8904533,0.0,0.0,0.93735,0.0,0.0,0.0,5.2706914,2.47184,0.0,1.3959681,2.1168222,0.0,3.804229,0.0,0.0,0.0,0.0,0.0,0.0,2.7836533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2128038,4.0293207,0.0,0.0,0.0,0.0,0.078621745,0.0,4.126825,1.8254485,2.0113328,0.0,4.4728312,0.0,0.41811043,0.0,0.0,0.6962445,0.0,4.1805263,1.8132579,0.0,1.5465119,0.0,4.725486,0.0,0.0,13.869476,1.7876847,1.0108693,0.103918344,1.2543426,0.0,0.7881639,0.0,0.0,0.0,0.0,4.267616,0.51497877,0.0,1.7388716,0.0,0.0,0.0,3.7813835,0.1899066,3.4971023,3.9092193,1.4565604,0.0,2.8606374,0.0,0.0,2.608216,0.92243135,0.0,0.0,0.0,0.27441025,0.0,2.3125372,4.666477,0.0,0.0,0.0,2.0344641,8.14774,0.0,2.2817688
axe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.55984,0.0,0.0,0.0,11.458139,0.0,19.186497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0244694,0.0,0.0,0.0,0.0,0.0,11.12013,0.0,0.0,0.0,0.0,0.0,0.0,9.497471,0.0,16.421814,0.0,13.094137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.568573,0.0,12.814839,48.225136,12.8758955,0.0,0.0,0.0,0.0,3.1976275,0.0,0.0,0.0,0.0,3.444051,0.0,0.0,2.3282275,0.0,0.0,0.0,3.4306598,0.0,8.510265,0.0,12.297069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.810635,0.0,0.0,0.0,0.0,0.0,0.74051785,0.0,37.471626,0.0,0.0
beaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.20717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.86124,0.0,0.0,475.61755,0.0,0.0,29.885153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.78964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6679157,0.0,0.0,0.0,185.40775,0.0,0.0,0.0,0.0,0.0,61.66856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.00506,0.0,173.74756,0.0,0.0,0.0
beetle,0.0,66.18036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7477705,0.0,0.0,2.0462718,0.0,4.857487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.686635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.42792,0.0,11.351825,0.0,19.226463,18.611353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07758474,0.0,1.165435,0.0,0.0,3.5976443,0.0,0.0,0.0,0.0,4.684574,0.0,20.100569,0.0,0.0,0.0,0.0,0.0,0.0,7.856614,0.0,0.0,0.0,12.157885,0.0,0.0,0.0,7.3078713,13.313504,0.0,0.0,0.0,0.0,0.0
bicycle,0.0,0.19918299,0.0,0.0,0.0,9.528116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.434294,0.0,0.0,0.0,153.06862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.138456,0.0,15.77113,0.0,0.0,0.0,0.0,24.584778,0.0,0.0,0.0,0.0,11.667121,0.0,21.374903,59.809853,0.0,0.0,0.0,65.59041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.122246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04256761,0.0,0.0,0.0,8.5484,1.8406773,0.0,0.0,0.0,5.296769,0.0,0.0,0.0,4.2180166,0.0,0.0,48.216557,0.0,0.0,0.0
bison,0.0,0.0,0.0,0.0,8.125774,10.212157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.934544,0.0,0.0,0.0,0.0,0.0,3.9486403,0.0,0.0,0.0,68.77054,18.05463,0.0,30.934341,0.0,32.11695,0.0,64.99218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.331297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.044796,0.0,15.084221,14.092499,0.0,0.0,44.326298,0.0,0.0,0.0,0.0,8.679973,0.0,1.8445048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.632897,0.0,0.0,0.0,1.8473604
boat,0.0,0.0,0.0,0.0,0.6934861,3.0698528,0.0,0.0,1.5781946,0.8182893,0.0,0.0,0.0,1.8785692,4.1984844,0.0,0.0,0.0,0.0,0.0,0.0,0.90887535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8111284,11.353405,0.0,0.0,3.6808238,4.2257657,5.593771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6045725,0.0,2.1442242,0.0,5.9645166,0.0,0.0,22.585272,0.0,12.063988,0.0,8.370756,0.0,0.04102087,0.0,0.0,0.0,0.0,1.7951858,1.1265885,0.0,1.0749428,3.5432515,0.0,0.0,0.0,1.7953732,2.6423953,1.4693458,2.8146062,2.5193949,0.0,1.3604836,0.0,0.0,4.0910077,0.0,0.0,0.0,0.1590718,0.0,0.0,0.28364837,0.0,0.0,0.0,0.0,3.2871265,0.0,1.2953578
