,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
airplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.675083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.562355,0.0,0.0,0.0,0.0,46.12234,0.0,0.0,0.0,0.0,23.39574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.056074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.645803,0.0,0.0,0.0,0.0,0.0,0.0,11.841705,0.0,0.0,0.0,0.0,0.0,0.0,0.19858932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.434232,0.0,0.0,0.0,0.0,0.0,4.902005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.879265,0.0,0.0,0.0,0.0,1.1253912,8.447616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.331182,0.0,0.0,0.0,10.241824,0.0,0.0,0.0,0.0,0.0,0.0,18.791912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1073854,0.0,0.0,0.0,0.0,0.0,0.0
ant,16.520603,0.0,0.0,0.0,0.0,0.0,0.0,9.60059,0.0,0.0,0.0,0.0,0.0,0.0,2.6396039,0.72390056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.405651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4304821,0.0,0.19092059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899664,0.0,13.113251,0.0,0.0,17.237133,0.0,0.0,0.0,0.0,0.0,2.6695352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.743249,0.0,20.49765,6.496249,0.0,0.0,0.0,0.0,5.122772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.546979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anvil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.801181,0.0,12.403582,0.0,0.0,0.0,9.036699,0.0,0.0,3.3892558,0.0,0.0,0.0,0.0,0.0,0.0,3.9346166,5.342704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59516406,0.0,2.7701862,0.0,0.0,0.0,0.0,6.0818834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.657351,0.33885658,0.0,0.0,0.0,0.0,0.0,0.0,11.493884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.491959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.546835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57443213
axe,0.24289775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.195819,0.0,0.0,0.0,0.0,0.0,1.0252643,0.0,0.0,9.334699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.082094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.37652,0.0,0.0,0.64109874,0.0,0.0,0.0,11.192368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.394367,2.5725162,0.0,1.0091991,0.0,0.0,7.701121,0.0,9.991471,0.0,0.0,0.0,0.0,0.0,0.0,9.666599,0.0,0.0,0.0,2.8127775,0.0,0.0,0.0,0.0,0.0,0.0,2.3718154,0.34574437,15.274612,7.664066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.345412,7.565729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.47662,0.0,0.0,5.7477674,0.0,0.0,0.0,31.01079,12.418506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.087114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.027273,0.0,0.11723566,0.0,0.0,0.0,0.0,6.681988,0.0,0.0,0.0,0.0,0.0,19.124079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.812181,0.0,4.9538097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.234931,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20060468,0.0,0.0,26.136812,0.0,0.0,0.0,0.0,0.0,0.0,12.319906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8440685,0.0,0.0,0.0,0.0,0.0,0.0,16.423874,1.8755877,0.0,0.0,0.0,4.0900245,9.985175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580966,0.0,0.0,0.0,0.0,0.0,1.3276204,0.0,0.0,0.0,0.0,4.512696,0.0,0.0,0.8829255,0.0,0.0,0.0,0.0,0.0,2.8271947,0.0,0.0,1.4569738,10.581684,0.0,38.096622,0.0,0.0,0.0,0.0,0.0,0.0,13.886588,5.230738,0.0,0.0,0.0,0.0,0.0,6.9169626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.889265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1175785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.691109,0.0,0.0,6.376195,0.0,2.036553,0.0,0.0,36.401455,0.0,0.0,92.739044,0.0,0.0,0.0,0.0,0.0,18.69189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.236181,0.0,0.0,0.0,0.0,0.0,0.0,25.820107,49.33364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bison,0.0,0.0,0.0,0.0,18.219587,0.0,0.0,5.8431196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6338363,0.0,15.0566025,0.0,0.0,41.735428,0.0,0.0,0.0,33.353283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.811117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.552843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.00823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.354593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88687897,0.0,0.0,0.0,1.8400617,0.0,0.0,1.6926695,0.0,0.0,1.7990539,0.0,0.0,0.0,1.2218568,1.1269994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.456145,0.0,1.2315824,3.2465706,0.0,0.0,0.0,0.6857276,0.0,0.957425,0.0,0.0,0.0,0.0,0.87266946,0.0,4.6250625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6756,0.0,0.0,0.0,2.052622,0.0,0.0,0.3091936,0.0,0.0,0.44714236,3.5965517,0.0,0.0,3.2746797,0.0,0.0,0.0,0.0,0.0,0.07396603,1.1297011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9557528,0.0,0.0,2.333806,0.0,0.0,0.0,0.0,8.980937,3.569163
