,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
airplane,1.6817904,5.791669,0.0,0.81784856,0.0,4.605578,0.99348986,8.836763,1.9122499,0.0,3.082621,5.5049195,13.238734,3.7086535,4.939786,7.166067,15.323633,10.144213,0.0,8.3823395,0.34069806,0.0,3.311046,2.3801315,0.5374161,2.0666907,4.9384513,6.4902334,3.1202524,4.834538,0.0,17.29429,0.0,7.298888,4.7392836,2.2375696,0.0,0.0,11.691391,0.05951053,9.888071,13.686909,0.0,2.272066,0.0,0.0,6.0048895,2.0807831,2.2809048,0.0,0.0,14.729009,2.549111,9.329152,5.512738,0.0,0.0,0.0,0.0,0.0,3.970632,11.603674,9.488745,0.0,2.3905475,2.225422,0.0,5.790516,12.844275,4.357156,2.4249856,9.726497,2.4146678,2.9425492,5.287848,0.0,13.1851635,0.0,10.550078,8.661606,4.4805946,0.0,0.0,5.531456,7.792147,4.2896566,0.51234096,4.698138,0.0,0.08148577,2.4870174,0.0,16.575739,9.54597,0.0,0.0,6.8744717,0.0,0.0,2.9316344
alligator,0.0,5.277086,3.9380999,3.769047,0.0,0.43490067,2.3755653,1.3312502,4.3191767,1.3987299,1.8148158,1.8328677,4.1876597,2.708812,4.4044523,2.254923,1.3504555,0.5418679,6.862193,4.1084228,3.500452,1.6085302,2.9950092,0.0,1.2578062,9.378203,2.6258354,2.4054422,5.226018,0.5288745,3.4117396,2.8220258,5.16122,4.1536674,0.0,2.9795105,0.0,2.8357298,1.824089,1.2001466,5.400646,1.7368873,2.1164482,3.0755637,1.1816827,0.0,4.3750997,5.38786,1.8602995,0.23868018,0.0,7.2599683,2.3796964,0.0,0.10042593,5.8814898,0.0,0.0,0.0,0.0,1.6033981,0.3576501,0.0,1.0214338,6.141296,6.4083695,0.39994675,3.7156334,0.0,0.14091933,0.7494306,4.647449,0.0,5.489584,3.5921886,0.0,4.2940516,6.3119826,6.1041374,0.64508265,5.023979,5.7921124,4.806743,6.570111,0.0,0.0,0.0,2.6257837,5.640181,1.5960457,3.9640224,0.0,1.6056433,8.523357,0.0,0.3554883,2.0688457,5.193352,0.0,4.5611
ant,4.062983,2.920073,2.5547948,1.0708843,0.7911544,4.624285,0.0,0.0,3.0624042,2.2077882,1.1711069,1.2218906,3.3850582,3.7539964,1.2047552,0.05042384,0.0,2.2629397,1.609571,3.0031009,4.249579,1.0785419,1.392456,3.5101817,3.6578228,2.8907897,2.5706286,0.0,2.5137022,0.15008429,8.634832,3.0466938,2.4240718,2.744536,0.0,5.145734,0.0,6.3287477,1.5443246,3.7620103,1.8073697,0.0,5.0995684,1.1933357,0.7748015,0.0,3.452506,3.3003702,1.7245699,3.8303545,0.0,0.5181812,0.0,0.0,4.6624207,3.3713317,6.4638367,0.0,0.0,0.0,2.8838599,0.0,0.0,4.9289308,4.653576,1.3227835,0.0,4.297633,0.0,0.88466424,0.0,4.3059773,2.6641223,0.0,0.8664186,3.2618852,2.3389668,3.91721,2.5482452,1.7213899,1.7830324,0.67521405,0.116584525,4.550624,1.4144518,0.0,5.817941,0.25698984,4.647042,3.3156378,0.054438077,5.032311,1.9424763,3.6195765,0.0,3.2278628,3.6569595,3.5732756,0.0,2.707331
anvil,0.7838918,2.459821,1.6293504,2.3811474,0.0,0.2488436,0.750448,0.6060122,0.38395414,0.24366221,0.84581804,1.486651,2.682118,0.0,1.3150483,2.9016516,1.5800865,1.4900843,3.737988,2.2184849,2.14874,1.3667653,2.374794,1.391226,1.8514515,5.1030912,0.888325,2.5306685,1.6356261,0.46353015,0.0,1.6558444,1.4228729,0.13557339,0.94178134,0.40313846,0.0,0.30883586,3.352891,1.1159164,0.07087454,1.9429599,2.1413288,1.7563612,1.5523442,0.0,2.537918,3.3401866,3.0050793,1.0944624,0.0,0.0,2.8448293,2.209341,1.4779471,2.0030684,0.0,0.0,0.0,0.0,0.6387328,1.854686,1.7011148,3.4159186,0.93271166,3.3379056,1.988207,1.5759242,2.990652,0.6684189,2.0627997,2.768534,2.489411,0.7619587,1.4600805,0.6173018,1.6149932,0.0,0.0,0.0,0.5501301,0.68741816,2.711463,5.027032,3.002988,0.65673214,0.0,0.27321234,0.9606052,0.6930421,1.8937936,0.3217726,4.624955,1.652418,0.0,1.913798,0.6734024,1.1140602,1.3341333,1.2368889
axe,0.0,1.5906386,0.0,2.7174885,0.0,2.6770003,2.499197,5.301141,0.44308937,3.8013122,4.8770614,0.0,7.229563,2.025098,6.4678173,2.8180737,3.4033775,1.4361967,0.0,1.3646423,4.983209,2.2348716,0.9838298,2.2643235,0.8684743,1.9508159,7.1409335,0.2932384,4.474771,4.12743,0.0,3.3791306,0.0,2.8370507,1.3736856,2.7957175,0.0,0.22431388,3.7992196,1.165361,6.8379755,4.6245174,0.0,1.3083502,2.8875108,0.0,0.9484204,1.2358648,2.1265187,1.932576,0.0,0.4773174,1.8079758,2.217081,7.034575,0.0,1.2848324,0.0,0.0,0.0,4.3135996,4.2015166,4.8728724,0.0,0.0,1.6752205,0.0,4.0306525,8.739722,0.13814592,5.577038,5.0252366,4.6803102,5.620054,2.2982333,0.0,3.8852494,0.1935642,6.548961,0.0,3.2107134,0.0,4.483779,7.153642,6.5375333,6.248564,4.8188777,2.314864,0.0,0.04303833,2.5613337,0.0,5.1925435,2.1604795,0.0,0.45453662,1.8219665,0.0,1.7711658,0.7787147
beaver,1.3068665,4.1917872,6.5804663,3.0973911,4.64015,2.6152015,0.0,6.0348477,2.1947043,4.588298,0.0,1.3360556,1.7858112,6.5821357,5.517062,0.0,0.109938085,6.2719374,2.2512498,4.606962,0.0,4.8167877,7.029372,2.5990112,2.772672,1.3327146,4.0587897,1.7693856,5.9852123,5.4547644,2.2979019,2.1884072,3.0971308,6.535296,5.4116116,6.697251,0.0,1.736761,5.9346366,6.7531185,0.61622185,0.0,2.1404846,2.99015,0.0,0.0,0.0,5.459124,2.4920802,3.2511528,0.0,2.9793959,0.7457832,6.771219,5.0136166,5.462203,0.0,0.0,0.0,0.0,0.6192777,6.2460237,0.44793454,6.009839,9.794143,2.0434973,0.0,3.1588576,0.0,6.2960753,1.2771864,3.078714,9.611994,0.997403,2.0799465,7.5115204,4.4676304,12.180627,4.703629,0.0,6.1944075,4.4125667,0.0,10.037117,0.0,0.0,2.6519225,0.0,3.0250926,7.7882814,2.5832515,0.0,0.35882673,4.412954,0.0,2.3968008,4.296333,3.9922485,9.012043,3.6947074
beetle,2.5526829,4.298094,4.0964074,0.44441512,1.7925402,0.3552164,4.766578,4.8817377,1.9254919,5.260869,4.9038043,0.0,5.259362,3.8170424,0.5939319,4.342891,0.017169207,2.1908877,2.4302766,6.9492946,4.6397514,3.5004158,4.8574696,6.641123,2.097411,1.9799461,1.6549857,2.826617,5.3932605,2.3459048,9.402446,2.4411564,2.060753,2.4244316,0.86817557,6.658107,0.0,3.1978607,2.3185368,7.0432067,0.0,0.0,2.4877713,6.828946,0.0,0.0,8.197553,3.812809,2.770072,6.9348145,0.0,1.6720083,1.4463787,0.0,6.1384025,5.5751586,8.947116,0.0,0.0,0.0,3.4701533,4.146442,0.0,6.482547,5.0319486,4.404476,1.3077898,6.700551,0.0,0.0,0.0,9.393205,7.2113667,5.7414265,0.0,0.31505248,8.021138,0.24415323,7.029681,0.88927996,2.8664262,4.0071936,5.996502,8.377363,2.0529454,4.3503933,1.6183201,2.1217601,4.2847915,5.0370593,3.8344674,5.1529255,6.478153,2.8001103,0.0,0.65689063,5.7633414,4.039566,3.6024098,0.76905364
bicycle,0.0,10.45123,0.6855786,7.309583,4.558926,3.675969,2.632809,4.5374794,0.0,13.17262,0.0,1.1098115,13.756444,2.2403893,15.255401,11.687201,13.233915,0.5448439,2.8373408,0.0,2.7664628,1.5784863,2.7939665,0.0,0.0,5.0504775,6.626009,0.0,10.941375,6.441514,0.0,8.823943,0.0,8.467673,4.2705646,12.254857,0.0,0.0,13.95866,5.48845,10.104041,16.45805,1.1074395,9.39027,7.689646,0.0,2.3662772,3.4633913,2.7400737,0.14681613,0.0,3.2771344,2.9924998,9.113897,7.3961196,8.436779,0.0,0.0,0.0,0.0,1.4637451,8.346218,6.8079333,7.2207193,2.0930989,1.8970671,0.0,11.7560425,15.497027,5.488298,9.166971,8.453455,3.4281847,2.3699799,7.782924,0.0,6.7302094,0.0,8.133974,0.0,5.926104,0.0,0.0,4.0680103,8.977091,1.1689503,0.0,3.6989176,0.0,0.0,3.6957586,0.0,8.3793,4.116079,0.0,0.0,3.063662,0.0,5.882203,0.3430412
bison,1.8820127,4.388893,9.781177,2.3245218,2.3245392,1.9997323,0.39860448,7.134321,6.3821516,7.2624187,1.8784639,0.0,2.0837636,1.3112711,2.5063448,0.0,4.513225,4.416081,4.5942855,7.707555,0.9841756,9.20948,4.45598,2.4028296,4.615344,2.2029939,8.1453705,4.949161,12.752234,5.921304,4.7537622,0.0,2.5682251,3.210754,5.441071,4.82768,0.0,5.155573,0.5339492,5.0208793,0.0,0.0,2.5578918,1.9055886,0.0,0.0,3.169328,5.822799,9.9638195,1.664104,0.0,10.572431,5.1516986,0.8283605,4.828728,11.472355,0.0,0.0,0.0,0.0,3.250234,5.992211,0.0,4.7840033,5.9566293,0.0,5.7827787,6.201264,0.0,2.8951046,1.7974312,0.0,3.529544,0.0,0.9404489,0.0,3.965225,3.4672117,5.2947497,4.124906,7.00339,9.712251,0.0,8.927338,0.0,0.0,0.53532916,3.5028238,3.4200575,6.685571,4.9484434,0.0,0.14545874,5.8153577,0.0,0.0,4.254556,5.4122405,8.82443,6.9783897
boat,0.33420566,2.0295017,0.9083801,0.3314215,2.4342856,5.0272913,1.1054485,2.1958637,2.6432154,3.6691206,1.6531954,0.2595892,3.723178,3.9996836,6.1424847,3.0206504,3.0877318,2.4494138,1.0643301,3.2434516,1.0626575,2.7733004,1.2352964,1.4525377,0.7135619,2.9944158,3.7978587,1.6984389,2.3186636,0.1159409,0.0,5.5103207,0.018877298,1.7320931,2.8453252,2.408089,0.0,0.6946791,3.0706596,0.0,5.436747,5.148426,0.0,3.0688007,3.4349782,0.0,0.0,2.1096294,5.82336,1.2339444,0.0,5.1550965,1.335585,3.9201188,3.6324158,2.2001178,0.0,0.0,0.0,0.0,3.693891,1.9244065,4.186066,1.2510056,0.44206083,2.5798645,2.0221603,1.4627986,4.881819,6.5216856,3.8106818,1.8139498,0.014311841,2.2419682,0.6480474,1.5443277,4.6277304,0.7646128,1.8716245,5.3888874,0.0,0.24296477,0.038108416,1.8539718,1.9146562,3.221046,0.0,2.2581367,0.0,0.4423746,0.3845133,0.0,4.931048,4.3716297,0.0,2.6578155,3.8306954,0.7221189,2.9093733,3.0146942
bottle,0.0,3.155044,3.6023736,3.6843483,6.0020723,0.86572564,4.840124,3.3737667,0.0,3.5146554,0.0,5.707925,6.8274865,1.9961019,3.427042,7.6333733,8.737719,3.124197,0.0,5.1477046,2.3900073,0.06734483,0.0,9.920429,0.0,3.1449387,2.1438966,4.161681,8.26245,4.2216797,0.0,3.8184564,2.7790296,5.732075,4.5065327,1.5073948,0.0,0.0,4.8774767,1.11986,6.7816973,6.9275045,2.6342325,6.6782713,8.453557,0.0,2.0192523,0.0,3.4394631,0.0,0.0,0.0,0.0,2.5585825,4.9480233,7.877949,0.0,0.0,0.0,0.0,4.924539,4.102046,4.580294,3.7644112,1.8819596,0.0,0.0,0.0,9.241495,4.789713,5.9000397,1.6060858,6.708287,0.9132322,5.337973,0.12670226,5.171896,0.0,6.0624223,3.8108253,2.0995376,0.0,4.0866737,3.083521,1.7565056,5.23591,2.298178,0.0,1.6907427,0.0,3.6121278,0.0,6.197024,0.0,0.0,8.061344,2.5008163,0.0,0.0,3.552224
bowl,0.0,2.6412728,2.0188649,3.0179632,4.6907396,5.7086043,4.1315403,2.1699498,0.0,0.77609056,0.0,3.1256979,7.376124,4.784389,1.9657427,9.217646,3.7540674,2.9023829,0.0,6.6741605,2.6988668,0.0,1.9335332,4.6241927,1.0883719,4.9934835,2.5114362,1.6860465,4.608549,2.4903152,0.0,9.458759,1.7306563,7.7907224,4.1208286,4.2916484,0.0,1.1543144,4.838622,0.0,9.844831,9.228053,2.664517,7.9767947,12.820444,0.0,4.5863414,0.0,7.830404,0.20164937,0.0,0.72716236,2.302894,11.063497,1.5341043,10.102585,0.0,0.0,0.0,0.0,2.3138855,7.840054,10.452008,3.7852917,5.425928,5.627683,0.0,1.688243,3.5120978,4.7790217,1.954286,1.9289634,3.07447,0.4875044,10.932443,0.8976477,7.562267,1.319606,8.478198,2.9588404,5.252975,2.002984,1.4436585,4.6824145,5.5765166,10.637458,6.1045265,0.0,0.0,2.0407438,3.5672975,0.9626529,2.4045336,4.020779,0.0,1.9944682,1.602787,0.0,1.8109009,0.0
bumblebee,2.6286309,11.175154,3.7313251,2.0193357,0.0,6.305402,1.1795883,2.596241,14.399165,10.244286,5.7293687,0.0,6.8234715,2.9466367,5.837281,0.0,0.0,4.003089,0.36851782,3.1048524,1.0569582,5.4666505,0.0,10.928194,1.5301427,0.7086317,0.0,5.9863005,12.148826,11.207452,8.340918,3.0715125,0.0,11.224915,6.4801946,15.438872,0.0,8.508708,11.525953,11.806733,3.9555888,4.692859,14.90393,5.3460846,6.4805765,0.0,5.22691,5.7839913,12.85801,3.822948,0.0,3.8990169,0.36520973,0.0,10.020457,9.668925,12.197504,0.0,0.0,0.0,6.155596,7.9599204,0.0,6.7250814,7.8022,0.0,3.5397084,13.233504,0.08951644,13.902953,0.25590795,11.887497,5.2154007,7.518472,6.164967,10.5427685,2.8668118,9.261538,13.983673,0.0,6.5076056,5.4666204,0.0,9.149091,0.0,0.0,9.946061,3.4618003,1.5834032,19.313395,2.3000093,6.7952137,0.6631587,13.488617,0.0,9.143154,10.855731,3.4858003,8.4158125,2.4089634
