,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.020617316,0.0008026655,0.0,0.0417561,0.0,0.3360319,0.0,0.027744556,0.05117099,0.1365039,0.0,0.15693687,0.265779,0.0,0.0,0.0,0.0,0.0,0.23350145,0.013318627,0.20755664,0.0,0.0,0.0,0.16892663,0.06286995,0.0,0.038646795,0.042408437,0.0,0.0,0.0053039915,0.013463,0.15219328,0.103272565,0.10096995,0.08335546,0.0,0.15794396,0.12642033,0.09282913,0.0,0.0,0.0,0.029475952,0.022671323,0.0,0.0,0.00984386,0.0,0.0008309502,0.0,0.22024256,0.0,0.0,0.0,0.0,0.06331105,0.09514729,0.052368976,0.0,0.002485523,0.16624737,0.0,0.10566672,0.0,0.07544469,0.03528679,0.00016912632,0.0,0.10174862,0.02067554,0.0,0.12797526,0.09328725,0.027972661,0.0,0.0,0.0,0.0,0.0,0.0,0.18456575,0.01682302,0.0,0.11759741,0.0,0.016472898,0.0,0.04912984,0.0,0.018452354,0.055993393,0.0,0.0,0.0,0.1657328,0.0,0.0,0.0
lizard,0.0,0.0,0.0,0.15155113,0.0,0.20664144,0.008587765,0.045033537,0.0,0.0,0.0,0.30003437,0.124930955,0.0,0.0,0.0,0.0016142149,0.081503145,0.36423412,0.028542604,0.12036096,0.0,0.0,0.0,0.41206044,0.106511824,0.0,0.0,0.0,0.0,0.01617614,0.084205754,0.0,0.054212198,0.0,0.011137083,0.06241537,0.015704412,0.0,0.19178748,0.0,0.04373146,0.0,0.0,0.0016857553,0.0,0.0,0.0,0.0,0.04535657,0.0,0.0,0.012467207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073017046,0.0074271946,0.0,0.0,0.026748672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060533293,0.14076677,0.0,0.0,0.0,0.05451716,0.0,0.110005915,0.06464735,0.0,0.0,0.0,0.062087797,0.097293325,0.0,0.15967986,0.0,0.0,0.0,0.0,0.0,0.11510958,0.0,0.0,0.0
turtle,0.0,0.012897104,0.0,0.0021115504,0.01209759,0.08678633,0.0,0.0,0.0,0.0,0.0,0.1085937,0.12853631,0.0,0.0,0.0,0.0,0.09125076,0.31837922,0.0,0.07402298,0.0,0.0,0.0,0.23555964,0.0,0.0,0.020218074,0.0,0.0,0.04961382,0.0,0.07744129,0.11399379,0.123841554,0.0,0.0,0.010598164,0.0,0.00939185,0.0,0.0432679,0.0,0.0,0.01657567,0.0,0.0,0.0,0.0,0.0077904016,0.0,0.0,0.005159588,0.0,0.0,0.0,0.14240517,0.0,0.0,0.0,0.0,0.0,0.07482908,0.0,0.043231767,0.0,0.137198,0.04411048,0.061471537,0.0,0.0,0.07598993,0.0,0.049954966,0.0,0.06573021,0.035636052,0.0,0.0,0.035669804,0.0049627386,0.055543285,0.11451203,0.042091165,0.0,0.0,0.028090533,0.0802648,0.0,0.0,0.030853067,0.0,0.121617496,0.0,0.0,0.0018392708,0.13839062,0.0,0.009566024,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.22156096,0.0,0.0,0.086786136,0.08077813,0.0,0.028717034,0.13970897,0.008559838,0.0,0.0,0.038685128,0.06236657,0.21012247,0.060131196,0.09493579,0.0,0.0,0.0,0.16819623,0.0,0.0,0.0019398928,0.0,0.0,0.0,0.094170466,0.16492477,0.17893317,0.07300635,0.0,0.0,0.0,0.088851616,0.073415086,0.087962754,0.0,0.0,0.013594162,0.028188447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02201618,0.026972381,0.0,0.0,0.072763,0.0,0.0,0.0,0.0,0.0,0.18443224,0.0,0.04138363,0.0,0.02767013,0.09616995,0.16165158,0.0,0.0068025235,0.0,0.0,0.058288552,0.03679657,0.056376725,0.0,0.0,0.0,0.0,0.1183171,0.0006622225,0.07125832,0.0,0.0,0.10960675,0.0,0.1163696,0.0,0.059662346,0.1093348,0.0,0.0,0.0,0.0,0.0,0.16150534,0.0,0.0792672,0.020246025
iguana,0.0,0.0,0.0,0.0,0.0,0.09018862,0.048797123,0.0,0.0,0.015902594,0.0,0.10714577,0.2190739,0.0,0.0,0.0,0.09587425,0.0,0.17133789,0.049179748,0.0,0.0,0.0,0.0,0.18450558,0.2128641,0.0,0.0,0.0,0.0,0.037197873,0.01982864,0.14542818,0.13274854,0.023269465,0.052513137,0.0,0.05411308,0.0,0.111381,0.1899975,0.0,0.0,0.0,0.0,0.06728667,0.0,0.0,0.009492326,0.07607983,0.0,0.0,0.11309111,0.0,0.0,0.0,0.119061984,0.0,0.0,0.0,0.0,0.0,0.27985752,0.0,0.0,0.0,0.26956365,0.06850536,0.12402798,0.0,0.0003169009,0.012393236,0.0,0.09581562,0.0,0.14418416,0.0,0.005814409,0.0,0.117250875,0.12648931,0.0,0.21306261,0.0,0.0,0.012488127,0.0,0.07801662,0.0,0.047748122,0.12103881,0.0,0.0,0.0,0.0,0.0,0.046286374,0.0,0.048290677,0.0
caterpillar,0.0,0.022206541,0.0,0.07533856,0.0,0.1239668,0.0,0.0,0.010617956,0.0,0.0,0.1177545,0.018488575,0.0,0.0,0.0,0.0,0.0,0.20462503,0.006758049,0.09470946,0.014280469,0.0,0.0,0.19011033,0.034446415,0.0,0.04054576,0.0,0.0,0.0,0.02525607,0.114098504,0.0,0.02647448,0.12501614,0.0022126585,0.0,0.16939999,0.021740532,0.069665566,0.0,0.0,0.0,0.12429877,0.0,0.0,0.0,0.07570225,0.041896217,0.0,0.0,0.08451253,0.0,0.0,0.0,0.08103674,0.02874292,0.0,0.0,0.0,0.038170613,0.050029844,0.0,0.024619088,0.0,0.119993694,0.0,0.04063688,0.0,0.012201097,0.0,0.0,0.035395898,0.0,0.11081004,0.089703985,0.0,0.0,0.04245226,0.0,0.0,0.0,0.048762668,0.0,0.033253055,0.0,0.008265422,0.0,0.0,0.09828283,0.0,0.0,0.0,0.0,0.0,0.0888076,0.0,0.0,0.0
cockroach,0.0054555307,0.010883668,0.0,0.0,0.0,0.13871393,0.0,0.07750239,0.038071692,0.0,0.00080375746,0.29510984,0.27904567,0.0,0.0,0.0,0.03314702,0.0079696,0.35393772,0.117615096,0.08658977,0.0,0.022514308,0.0,0.1426416,0.0,0.0,0.0,0.0,0.0,0.0,0.21977493,0.1943891,0.19069517,0.080341615,0.16265823,0.0,0.0,0.028970974,0.1479983,0.17667165,0.0,5.877018e-05,0.0,0.028233258,0.0,0.043195408,0.0,0.0,0.0,0.0,0.0,0.19152151,0.0,0.0,0.0,0.0,3.0375551e-05,0.0,0.102429725,0.0,0.0041310955,0.0055188835,0.0,0.0,0.0,0.035836086,0.0,0.069926605,0.114071,0.050772224,0.0,0.0,0.11774505,0.0,0.34053352,0.0,0.0,0.0,0.0,0.17128493,0.11194608,0.27103546,0.09910709,0.0,0.0,0.058800727,0.25339833,0.010607626,0.0,0.0,0.0,0.07590245,0.0,0.0,0.0,0.19368845,0.0,0.109385245,0.0
beetle,0.0,0.028022807,0.0,0.0,0.0,0.24705946,0.049639136,0.0,0.036879577,0.0013649762,0.0,0.054821726,0.19870579,0.0,0.0,0.0,0.0,0.0,0.3220932,0.003396134,0.0,0.0,0.0,0.0,0.15564698,0.15063874,0.0,0.012065243,0.0,0.0,0.05946563,0.09990131,0.20360498,0.0,0.003165435,0.05966138,0.0,0.0,0.057773247,0.0,0.034703374,0.1853144,0.0,0.0,0.01568533,0.0,0.021836344,0.0,0.0039449893,0.04635657,0.0,0.0,0.1272011,0.016778685,0.0,0.05698268,0.06465061,0.0,0.0,0.0,0.0,0.0,0.19329104,0.0,0.0,0.0,0.075842924,0.004495565,0.0,0.0,0.0,0.0,0.0,0.096396826,0.0,0.10046858,0.0,0.0,0.0,0.01321234,0.0,0.0,0.094073385,0.1155134,0.0,0.0,0.0,0.043496914,0.0,0.021901414,0.12902345,0.0,0.02960231,0.0,0.0,0.01024333,0.06190852,0.0,0.14028862,0.04805453
spider,0.0,0.0,0.0,0.0,0.0,0.099236265,0.0,0.0,0.03853999,0.0,0.05470035,0.0826863,0.048398636,0.0,0.0,0.0,0.034933727,0.102242716,0.25298318,0.069020875,0.043728307,0.0,0.0,0.0,0.31868246,0.12866196,0.0,0.11117068,0.051110715,0.0,0.0,0.10147304,0.11954948,0.07462212,0.09225556,0.0,0.0074613933,0.057997543,0.0,0.05707638,0.0943731,0.0,0.03216604,0.0,0.09019214,0.0,0.0,0.0,0.033108838,0.0,0.0,0.0,0.04493093,0.0,0.0,0.0,0.032554775,0.0,0.07923054,0.12791884,0.0,0.026668081,0.0,0.0,0.020311741,0.0,0.04165888,0.0,0.0,0.04271381,0.091599405,0.0,0.0,0.16672339,0.0,0.18945983,0.037514944,0.0,0.0,0.0,0.0,0.0,0.16348189,0.0,0.0,0.0,0.0,0.03705008,0.0,0.0,0.0,0.0,0.0,0.019522047,0.0,0.024256408,0.11602378,0.0,0.09646543,0.0
moth,0.0,0.022049714,0.0,0.0,0.0,0.059805375,0.0,0.07705121,0.08585498,0.13205543,0.08169165,0.18180352,0.1824721,0.037814263,0.0,0.0,0.056104843,0.0,0.1587078,0.0,0.08109786,0.0,0.0,0.0,0.19645587,0.0016981484,0.04262124,0.0,0.0,0.025918366,0.073420696,0.048150353,0.21788758,0.0,0.0,0.13474461,0.0,0.0,0.090686545,0.038637497,0.08860359,0.0,0.062852904,0.0,0.0,0.0,0.06587392,0.0,0.0,0.06159183,0.0,0.0,0.0,0.07486481,0.0,0.011552703,0.10169191,0.0,0.0,0.0,0.05398511,0.0,0.20649949,0.0,0.058852576,0.0,0.11894403,0.0,0.059759405,0.043334756,0.0,0.09679454,0.0,0.16239451,0.015443558,0.03057132,0.0,0.0,0.0,0.0074126814,0.0,0.0,0.07789703,0.0,0.0,0.0,0.047719397,0.06866402,0.0,0.0,0.098567024,0.0,0.0,0.0,0.0,0.0,0.0032689013,0.0,0.0,0.0
