,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.15578201,0.0,0.16313615,0.046212066,0.12620261,0.033042222,0.0,0.019631475,0.01386144,0.0,0.013202438,0.009871355,0.0,0.0,0.06128546,0.0,0.0,0.23572645,0.0,0.11399409,0.0,0.023165405,0.11009024,0.0,0.0,0.04814122,0.048501335,0.0,0.22937465,0.0,0.0,0.20274195,0.0,0.016099602,0.08769535,0.0,0.0,0.0,0.0,0.19555084,0.10147712,0.0,0.025365908,0.0,0.075684205,0.046402138,0.031963237,0.0,0.22633262,0.0,0.14675152,0.0,0.021773878,0.035219625,0.0,0.0,0.12482998,0.0,0.08004913,0.0,0.0,0.0,0.0,0.022713937,0.09250918,0.0,0.08767812,0.0,0.0,0.062929235,0.10727024,0.19866265,0.20662084,0.0,0.16325359,0.031162595,0.0,0.062162463,0.08788982,0.13974348,0.014463918,0.0,0.12117399,0.039806902,0.0,0.1071655,0.29694834,0.10153741,0.0,0.0,0.06976884,0.0,0.028844545,0.06556233,0.0,0.0,0.0,0.055183563,0.14077947,0.0
lizard,0.04570292,0.078022435,0.0060875975,0.017687164,0.0,0.014472461,0.08548926,0.0,0.0,0.053521886,0.0,0.0,0.047658935,0.02280844,0.111899234,0.0,0.0,0.14307824,0.0,0.029777646,0.0,0.0,0.08129497,0.0004311651,0.0,6.048754e-05,0.04618804,0.17271054,0.19722372,0.18271543,0.0,0.048325844,0.014099494,0.10265622,0.13572201,0.0,0.017488796,0.01935691,0.0,0.058024548,0.06520658,0.17011909,0.0,0.0,0.06245991,0.18008736,0.0,0.02025539,0.0,0.0,0.058580376,0.0,0.056319468,0.0,0.0,0.0,0.11086683,0.091781735,0.0,0.11033434,0.08847069,0.0,0.0,0.04204917,0.06233278,0.0,0.08491797,0.0,0.0,0.0061979406,0.1698289,0.057684097,0.0,0.0,0.03287926,0.015905196,0.0,0.07970522,0.07829879,0.044771872,0.14213298,0.0,0.08661863,0.032381415,0.061379757,0.037824262,0.278539,0.0,0.03454411,0.035924803,0.0,0.0,0.003716074,0.0,0.0,0.13557982,0.0,0.0,0.04733553,0.032003857
turtle,0.04048368,0.0,0.052214585,0.030470002,0.036308188,0.060653694,0.09322053,0.039319087,0.14088765,0.07541671,0.09071559,0.020487472,0.0,0.017338999,0.090760864,0.0,0.0,0.19411445,0.0,0.0012257472,0.0,0.0,0.11632709,0.0,0.0,0.13246994,0.05391586,0.031264804,0.056752652,0.0,0.01928861,0.1288206,0.0,0.07623941,0.1586955,0.0,0.0,0.0126992725,0.0,0.11459117,0.021361304,0.07431194,0.0,0.0,0.027819443,0.079262435,0.0430808,0.0019393135,0.120267645,0.05210648,0.0023982618,0.0,0.0,0.0,0.0,0.038578182,0.04067017,0.057925437,0.0,0.04295876,0.0,0.0,0.0,0.0,0.0,0.0,0.034701154,0.0,0.0,0.10113619,0.036111068,0.06927507,0.18288934,0.0,0.057101667,0.0012787562,0.0,0.0,0.12512831,0.08262265,0.0,0.0,0.053893935,0.00073964894,0.0,0.0014970005,0.20005274,0.039980292,0.0229742,0.0,0.010809015,0.0,0.0,0.030425474,0.0,0.0692715,0.0,0.11993169,0.16241921,0.0
chameleon,0.22677884,0.0,0.0,0.055209033,0.15107584,0.002584775,0.031503446,0.0,0.0,0.18834525,0.0531609,0.013361092,0.0,0.061218433,0.09823183,0.0,0.0,0.030229267,0.0,0.12783153,0.0010535289,0.0,0.020860009,0.0,0.0,0.0,0.10575476,0.11847196,0.0,0.038494673,0.09367722,0.016936615,0.03697507,0.04484059,0.08621155,0.0,0.0,0.0,0.04891503,0.14008322,0.22593209,0.0,0.0,0.0,0.07546874,0.0,0.0,0.0,0.15909545,0.1172791,0.16173314,0.0,0.0521045,0.0,0.0,0.15771076,0.09437179,0.0,0.0,0.004437645,0.0,0.0,0.0,0.0,0.03292708,0.0,0.06719823,0.0,0.0,0.015772345,0.093486995,0.05327577,0.020229962,0.0,0.0,0.0,0.021164104,0.0,0.1204751,0.07819457,0.03028688,0.0,0.15127812,0.0,0.0,0.0,0.21511126,0.0,0.063514635,0.0,0.0,0.0,0.0,0.042772964,0.0,0.1130485,0.0,0.120771095,0.087594815,0.0
iguana,0.10202027,0.0992832,0.053097043,0.0,0.15733743,0.0,0.0,0.0021228287,0.0,0.060344756,0.027646156,0.0,0.0,0.0,0.02944391,0.0,0.0,0.10287181,0.0,0.05802353,0.0,0.056033965,0.06624365,0.0,0.004947655,0.0742221,0.02921553,0.051745497,0.011532156,0.0147303585,0.07062556,0.07114577,0.0,0.0,0.2082771,0.0,0.0214676,0.0,0.0,0.0,0.02645534,0.13711865,0.011842851,0.034050304,0.043962494,0.18466246,0.020619646,0.0,0.1434884,0.15890872,0.06736229,0.0,0.0138447955,0.0,0.0,0.0,0.011091494,0.0,0.0,0.16310592,0.0,0.0,0.0,0.0,0.0,0.0,0.04764273,0.0,0.0,0.11315583,0.0735805,0.25535798,0.12354505,0.0,0.05409866,0.0,0.0,0.008957131,0.04627061,0.19067612,0.0,0.0,0.038608182,0.037339393,0.0,0.09969762,0.21509331,0.29017183,0.0,0.0,0.006622744,0.051297866,0.04712694,0.0628508,0.0,0.0,0.0,0.08469744,0.2327891,0.0
caterpillar,0.19526455,0.0,0.03889864,0.027426366,0.110330574,0.0,0.005009208,0.0,0.0050339643,0.0037209801,0.0,0.02022142,0.0,0.0,0.13192895,0.0,0.0,0.05707224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07299998,0.014055889,0.0,0.0,0.0,0.0,0.10025549,0.0,0.06641102,0.093083166,0.0,0.0,0.060894255,0.0718314,0.058290027,0.05365535,0.014359703,0.011761956,0.0,0.044947766,0.0,0.04842846,0.0,0.056339435,0.09591733,0.030582339,0.0,0.09923549,0.02074227,0.0,0.18096781,0.090181395,0.0,0.0,0.04982172,0.0,0.035563353,0.0,0.0,0.0,0.06827389,0.1297695,0.035474844,0.0,0.08328203,0.071691066,0.046876352,0.059372608,0.028268415,0.033544756,0.0,0.0,0.0,0.049254593,0.103216514,0.0,0.0,0.028518643,0.0,0.0,0.016217448,0.03824976,0.017636323,0.023959225,0.0,0.0,0.0,0.0,0.024868252,0.0,0.046317752,0.0,0.020865634,0.0056269923,0.0
cockroach,0.16338752,0.026819475,0.0686477,0.009173773,0.0,0.0,0.17511691,0.040032335,0.12913455,0.0,0.07364043,0.0,0.0,0.0,0.29442883,0.0,0.0,0.0,0.0,0.053076066,0.0,0.0,0.0,0.0,0.0,0.11901803,0.045375988,0.107665025,0.0,0.063042015,0.07018049,0.2004641,0.08728573,0.0,0.37876937,0.0,0.0,0.0,0.12920761,0.13187233,0.0117269065,0.10063118,0.047922365,0.0,0.033758573,0.04029232,0.0,0.0,0.10521135,0.0,0.18792188,0.0,0.11141183,0.09392599,0.035680518,0.17298284,0.2896979,0.078247026,0.051221408,0.10444023,0.0,0.0,0.0,0.0,0.0,0.0,0.11368369,0.05339385,0.0,0.1831898,0.23431708,0.02054569,0.1752128,0.0,0.17475796,0.0,0.0,0.0,0.13569555,0.2705254,0.03268753,0.0,0.29819125,0.08158675,0.0,0.04983342,0.36472663,0.18263385,0.0,0.0,0.0,0.012876824,0.0,0.0,0.0,0.0,0.0,0.03684956,0.106716774,0.0
beetle,0.22384578,0.0,0.0,0.0,0.0,0.0,0.048496608,0.0,0.0,0.0,0.029357875,0.07559446,0.009417811,0.0,0.14999111,0.0,0.0,0.13714358,0.0,0.0,0.0,0.03126854,0.15089135,0.22260915,0.11649397,0.13060693,0.10848218,0.012636982,0.09151414,0.0,0.0664607,0.11976012,0.0,0.075380884,0.2006471,0.0,0.02762732,0.010962356,0.0,0.14895242,0.085721456,0.0,0.0,0.0,0.13662378,0.23278138,0.0,0.0,0.008841254,0.01849843,0.047631167,0.009027332,0.047094557,0.0,0.0,0.008898342,0.19256435,0.0,0.0,0.17663178,0.012113381,0.0,0.0,0.0,0.09042451,0.0,0.028057598,0.0,0.0,0.032309555,0.028957244,0.14535508,0.07103033,0.0,0.15266083,0.0243737,0.0,0.10520467,0.18269333,0.06391283,0.0,0.0,0.0,0.045662135,0.0,0.109047964,0.25117135,0.090781294,0.05051367,0.0,0.005152666,0.0060106963,0.0,0.05355279,0.0,0.0351709,0.0,0.16695046,0.19506064,0.0
spider,0.0,0.0,0.015352985,0.01005251,0.06895937,0.0,0.03084274,0.0,0.0,0.024429671,0.0,0.0,0.0,0.061134778,0.14539355,0.0,0.0,0.0068514002,0.0,0.07044254,0.0,0.041000966,0.0,0.0,0.0,0.07402958,0.0094486475,0.09110362,0.050901126,0.0,0.0,0.10271534,0.0,0.04302523,0.13532868,0.0,0.0,0.0,0.013333274,0.03092873,0.10559659,0.021364724,0.09153468,0.0,0.074627794,0.022067066,0.06748438,0.0,0.014222443,0.0,0.070422664,0.0,0.10293864,0.0,0.0,0.07392173,0.047825996,0.0,0.01635699,0.015506168,0.0034250244,0.0,0.0,0.0,0.0,0.0,0.08539043,0.034272037,0.0,0.056595534,0.056791466,0.08121599,0.14405982,0.0,0.037052505,0.035029292,0.0,0.043990858,0.14292988,0.12693115,0.026841352,0.0,0.07599297,0.043210067,0.0,0.025729943,0.11729763,0.12141825,0.0,0.011906665,0.04968328,0.0,0.0,0.0,0.0,0.059954718,0.0,0.0810451,0.08233741,0.0
moth,0.0,0.016370922,0.0,0.0,0.23100153,0.024065245,0.11357251,0.0,0.075022176,0.0,0.0,0.061948165,0.0,0.0,0.18651684,0.0,0.0,0.16863815,0.0,0.004342336,0.0,0.0,0.0,0.0,0.0,0.0,0.048049003,0.0,0.035203382,0.0,0.02508805,0.22459069,0.010300688,0.06508183,0.11845249,0.0,0.0,0.0015477054,0.14268687,0.17386428,0.28844714,0.067067206,0.0,0.10142575,0.08038061,0.12572801,0.039371945,0.0,0.10006663,0.13616997,0.11784594,0.0,0.01366378,0.0,0.0,0.04180396,0.0,0.05497059,0.0,0.17846224,0.0,0.024302714,0.0,0.0,0.07981124,0.040796675,0.038688798,0.1057036,0.0,0.12121921,0.07007575,0.087911725,0.0070239827,0.0,0.0,0.09860532,0.0,0.0,0.110701144,0.092310086,0.0,0.0,0.105660275,0.0,0.0,0.0,0.28805652,0.0,0.0,0.0,0.0,0.053340174,0.0,0.037420567,0.0,0.13683283,0.0,0.075929865,0.017321605,0.0
