,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037013754,0.045813464,0.0,0.0,0.0,0.035887696,0.0,0.043729044,0.028443273,0.0076784305,0.0,0.006570424,0.0,0.0,0.03355957,0.010661094,0.022933586,0.010609686,0.041555993,0.007133568,0.0,0.007788622,0.0,0.028251499,0.0,0.0,0.03520809,0.0,0.0,0.0,0.0,0.0,0.0,0.032174066,0.0,0.0,0.04284807,0.0,0.03648439,0.02465218,0.0,0.03114939,0.041476194,0.03699633,0.0,0.0,0.0,0.03139006,0.031663444,0.0,0.012043389,0.0,0.0,0.0,0.0,0.0,0.004860037,0.036998663,0.010188857,0.0,0.03900091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014003828,0.021889372,0.0,0.0063077323,0.0,0.0,0.0,0.016721409,0.0069801016,0.0,0.03535554,0.009570537,0.0,0.0,0.0020825788,0.027131516,0.0,0.0,0.0016518333,0.0,0.039029177,0.0,0.02826013,0.027424889,0.0035511302
lizard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036917645,0.045986783,0.0,0.0,0.0,0.035913266,0.0,0.04363976,0.02820671,0.0075067375,0.0,0.006767823,0.0,0.0,0.033502247,0.0108367,0.022535916,0.0108497795,0.041773267,0.0067292103,0.0,0.007655156,0.0,0.028009402,0.0,0.0,0.035498574,0.0,0.0,0.0,0.0,0.0,0.0,0.032198172,0.0,0.0,0.043020867,0.0,0.036548033,0.024912516,0.0,0.031431776,0.04122959,0.03679185,0.0,0.0,0.0,0.031383924,0.031532723,0.0,0.012117001,0.0,0.0,0.0,0.0,0.0,0.0047869077,0.03680511,0.010206403,0.0,0.038747128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014091804,0.02209536,0.0,0.0061158957,0.0,0.0,0.0,0.016751792,0.00717674,0.0,0.035399724,0.009431644,0.0,0.0,0.002184114,0.027212422,0.0,0.0,0.0020717839,0.0,0.039419,0.0,0.028319301,0.027444199,0.0034690243
turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036828447,0.045761917,0.0,0.0,0.0,0.03586406,0.0,0.043597423,0.028409708,0.007426395,0.0,0.0066100825,0.0,0.0,0.03367903,0.0106997555,0.022510126,0.011096038,0.041707713,0.006913808,0.0,0.007714073,0.0,0.028014328,0.0,0.0,0.035340272,0.0,0.0,0.0,0.0,0.0,0.0,0.0318192,0.0,0.0,0.04305686,0.0,0.036729485,0.0248263,0.0,0.031167485,0.04127925,0.036844,0.0,0.0,0.0,0.03140656,0.031643353,0.0,0.012049757,0.0,0.0,0.0,0.0,0.0,0.0047852797,0.036504336,0.010278885,0.0,0.038765207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01413998,0.022120135,0.0,0.006198476,0.0,0.0,0.0,0.016868617,0.0070942463,0.0,0.03545545,0.00941799,0.0,0.0,0.0021681343,0.027101636,0.0,0.0,0.0022940966,0.0,0.03940235,0.0,0.027958227,0.02722375,0.0036084752
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036909897,0.04564329,0.0,0.0,0.0,0.03580689,0.0,0.043616727,0.028295036,0.0074734874,0.0,0.0067664525,0.0,0.0,0.03369129,0.010449561,0.022503728,0.010920094,0.041883323,0.006911992,0.0,0.007881322,0.0,0.028037487,0.0,0.0,0.035464007,0.0,0.0,0.0,0.0,0.0,0.0,0.03149837,0.0,0.0,0.04282099,0.0,0.036526855,0.02482171,0.0,0.031498678,0.04103661,0.03683161,0.0,0.0,0.0,0.031298187,0.0316516,0.0,0.011947421,0.0,0.0,0.0,0.0,0.0,0.0050436594,0.03710698,0.0101346215,0.0,0.039063424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014124264,0.022041472,0.0,0.0058742156,0.0,0.0,0.0,0.016641786,0.007475802,0.0,0.035383724,0.008999502,0.0,0.0,0.0024296404,0.027417246,0.0,0.0,0.0022234563,0.0,0.039520785,0.0,0.028474955,0.027359433,0.003599641
iguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037085563,0.045645416,0.0,0.0,0.0,0.035748124,0.0,0.04367875,0.028262354,0.0075433413,0.0,0.0067060376,0.0,0.0,0.033584088,0.010405245,0.02261883,0.010735942,0.041790318,0.006907166,0.0,0.007719203,0.0,0.027977945,0.0,0.0,0.035458364,0.0,0.0,0.0,0.0,0.0,0.0,0.031815905,0.0,0.0,0.042964794,0.0,0.036437612,0.0246294,0.0,0.031152744,0.041053604,0.036914114,0.0,0.0,0.0,0.031370398,0.031678826,0.0,0.012123321,0.0,0.0,0.0,0.0,0.0,0.0047996407,0.037065383,0.010243373,0.0,0.03881006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014184643,0.02178314,0.0,0.0060320357,0.0,0.0,0.0,0.016768705,0.0074939406,0.0,0.035425786,0.009159667,0.0,0.0,0.0022508963,0.027307559,0.0,0.0,0.0020294795,0.0,0.03925593,0.0,0.0283645,0.027505387,0.003699399
caterpillar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03690061,0.045659058,0.0,0.0,0.0,0.035782762,0.0,0.04365419,0.0283674,0.007512654,0.0,0.006689509,0.0,0.0,0.033745144,0.010497005,0.022550222,0.010919157,0.041899048,0.007008462,0.0,0.007863779,0.0,0.02799901,0.0,0.0,0.035429154,0.0,0.0,0.0,0.0,0.0,0.0,0.03163048,0.0,0.0,0.042893805,0.0,0.036605097,0.024723858,0.0,0.031408455,0.041050076,0.03688881,0.0,0.0,0.0,0.03131518,0.03172421,0.0,0.011940186,0.0,0.0,0.0,0.0,0.0,0.004907935,0.03706169,0.01001296,0.0,0.03902901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014099459,0.021904264,0.0,0.005908887,0.0,0.0,0.0,0.01674419,0.007469829,0.0,0.035347335,0.009039945,0.0,0.0,0.002290117,0.02734961,0.0,0.0,0.0021378351,0.0,0.03952641,0.0,0.028598826,0.027408727,0.003676558
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036751397,0.045782242,0.0,0.0,0.0,0.035704855,0.0,0.04361351,0.028320245,0.007806657,0.0,0.0066660503,0.0,0.0,0.033570793,0.010742158,0.022879489,0.01071566,0.04157131,0.007010623,0.0,0.0076246066,0.0,0.028240412,0.0,0.0,0.03541824,0.0,0.0,0.0,0.0,0.0,0.0,0.03212638,0.0,0.0,0.042853832,0.0,0.036542155,0.024928447,0.0,0.031051377,0.04127295,0.036634877,0.0,0.0,0.0,0.031235483,0.031557232,0.0,0.012008825,0.0,0.0,0.0,0.0,0.0,0.0046007605,0.036819246,0.010208948,0.0,0.038645092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013982171,0.022148026,0.0,0.0062282793,0.0,0.0,0.0,0.01662437,0.0073358305,0.0,0.035208702,0.009433793,0.0,0.0,0.0020801234,0.027269136,0.0,0.0,0.0018908614,0.0,0.039246026,0.0,0.028266689,0.027383372,0.003505395
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037170682,0.04576435,0.0,0.0,0.0,0.035797887,0.0,0.043817025,0.028278857,0.007239122,0.0,0.006825778,0.0,0.0,0.033506315,0.0109396,0.022474691,0.010882778,0.041731156,0.007081119,0.0,0.007659369,0.0,0.02792754,0.0,0.0,0.035274923,0.0,0.0,0.0,0.0,0.0,0.0,0.031970013,0.0,0.0,0.042940654,0.0,0.03658861,0.02466518,0.0,0.031227482,0.04140293,0.036856014,0.0,0.0,0.0,0.031386964,0.031712875,0.0,0.012251068,0.0,0.0,0.0,0.0,0.0,0.0049307514,0.03661012,0.0104174875,0.0,0.03886464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013988193,0.021915784,0.0,0.0061756605,0.0,0.0,0.0,0.016992226,0.007156655,0.0,0.035316005,0.009246949,0.0,0.0,0.0021962794,0.027041433,0.0,0.0,0.0020913756,0.0,0.03945604,0.0,0.028152592,0.027346032,0.003641253
spider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036821082,0.045720268,0.0,0.0,0.0,0.03604357,0.0,0.043781254,0.028226143,0.007701721,0.0,0.0068572285,0.0,0.0,0.03340699,0.010786919,0.022728022,0.010761054,0.041497026,0.0070438934,0.0,0.007536915,0.0,0.028106634,0.0,0.0,0.035193842,0.0,0.0,0.0,0.0,0.0,0.0,0.03199925,0.0,0.0,0.04314169,0.0,0.036598116,0.024877217,0.0,0.031127725,0.041413892,0.036903746,0.0,0.0,0.0,0.03119202,0.031619456,0.0,0.011938492,0.0,0.0,0.0,0.0,0.0,0.0046494016,0.036536545,0.010146707,0.0,0.038778007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01413213,0.022231698,0.0,0.006263992,0.0,0.0,0.0,0.016542163,0.007233574,0.0,0.035119884,0.009368723,0.0,0.0,0.0023035244,0.026980655,0.0,0.0,0.0021817787,0.0,0.039532363,0.0,0.028106779,0.027167374,0.003410397
moth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03692668,0.045687865,0.0,0.0,0.0,0.035830013,0.0,0.043679643,0.028222565,0.0076496257,0.0,0.0065878863,0.0,0.0,0.033522654,0.010604296,0.022717709,0.010626031,0.041620936,0.0069526616,0.0,0.007766081,0.0,0.028109647,0.0,0.0,0.035371628,0.0,0.0,0.0,0.0,0.0,0.0,0.03184359,0.0,0.0,0.042867813,0.0,0.036632553,0.024711398,0.0,0.031119585,0.041208584,0.03680356,0.0,0.0,0.0,0.03149753,0.03174885,0.0,0.012109224,0.0,0.0,0.0,0.0,0.0,0.0047319094,0.036974657,0.010139109,0.0,0.03887412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014088944,0.021950481,0.0,0.0061679427,0.0,0.0,0.0,0.016707674,0.007373219,0.0,0.03534445,0.009412516,0.0,0.0,0.0022758306,0.02722527,0.0,0.0,0.002136732,0.0,0.039399594,0.0,0.028138533,0.027347647,0.0034995847
