,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.06962918,0.0,0.0,0.0,0.0,0.0,0.021953389,0.0,0.051654413,0.14145942,0.07627918,0.023647096,0.0,0.03722871,0.0,0.03403206,0.019711226,0.03942185,0.29416797,0.0,0.09711842,0.0,0.1354209,0.116709545,0.0,0.011829203,0.0,0.0,0.08008404,0.06223935,0.0,0.13578548,0.05557331,0.07790043,0.0,0.06379484,0.0,0.0,0.0,0.04299535,0.06631341,0.09869203,0.15994662,0.0,0.1652254,0.0,0.0,0.06591299,0.0,0.0,0.0,0.07240446,0.0,0.0,0.0,0.054825183,0.0,0.0,0.0,0.0,0.06345538,0.0,0.0,0.0,0.2060565,0.0,0.017574716,0.0,0.0,0.09341949,0.0,0.0,0.035450973,0.0,0.12527804,0.22096832,0.11139455,0.10491346,0.0,0.0,0.0,0.15065363,0.021026902,0.022864819,0.08250246,0.0,0.25171325,0.0,0.13704741,0.06588089,0.0,0.0,0.10182425,0.0,0.0,0.12286684,0.0,0.0,0.0,0.087806314
lizard,0.0,0.0,0.0,0.0,0.0,0.0,0.025488129,0.0066338987,0.018626094,0.2089608,0.022829209,0.10760304,0.0,0.0,0.0,0.02049927,0.0,0.27573705,0.048206277,0.0076050423,0.0,0.0,0.08202043,0.012694908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07464596,0.047055993,0.116714165,0.0,0.0,0.088370726,0.0,0.0,0.010009281,0.072640225,0.09456584,0.0,0.0075462116,0.18782546,0.0,0.010153297,0.0,0.0,0.007931057,0.023078725,0.015266102,0.0,0.0,0.0,0.0,0.01775304,0.0,0.0,0.13758004,0.0,0.040512048,0.0,0.0,0.036653444,0.0,0.08647604,0.03065947,0.0,0.01765313,0.10516529,0.0,0.042379864,0.0,0.023990817,0.37982458,0.092419825,0.01554492,0.0,0.0063932743,0.008720746,0.0,0.08125912,0.0,0.07142299,0.0,0.23542364,0.0,0.112786,0.0,0.0,0.005225299,0.03019024,0.010899149,0.022603633,0.0,0.0,0.0,0.0,0.09824308
turtle,0.0,0.052676037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581234,0.065899536,0.07111502,0.0,0.05380644,0.056512516,0.070766315,0.0018325299,0.13049653,0.097379304,0.028789217,0.0,0.0,0.039094597,0.20893702,0.11573753,0.027958969,0.0,0.0,0.020380031,0.0,0.0,0.13853332,0.0,0.10528341,0.0,0.0,0.03139735,0.0,0.00456944,0.06688795,0.0,0.1296168,0.0,0.01737601,0.13338473,0.0,0.0,0.19118093,0.049788117,0.059526943,0.0,0.0,0.0,0.0,0.017672589,0.0,0.0,0.05512763,0.0,0.08743188,0.031525746,0.016956128,0.0,0.0032924293,0.11209898,0.0,0.07428147,0.04122435,0.0,0.0,0.05288896,0.0,0.0,0.0,0.0,0.0502434,0.10750205,0.05528069,0.026092388,0.07928995,0.0,0.049527798,0.0,0.051970422,0.044210352,0.0,0.18742758,0.0,0.0,0.01614387,0.094336234,0.0,0.03337475,0.07997894,0.017119212,0.0996684,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0422479,0.0,0.07617022,0.12476911,0.15688953,0.06336127,0.0,0.1319356,0.023881258,0.05408296,0.08850768,0.04714626,0.30443627,0.07056772,0.0,0.0,0.025153512,0.053432323,0.048428763,0.0,0.0,0.0,0.0,0.0,0.0,0.06338112,0.0,0.14676487,0.0,0.0,0.0,0.0,0.03341631,0.100329824,0.0,0.09753568,0.0,0.0,0.09954087,0.0,0.037671354,0.10357003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066628054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2327975,0.0,0.095938444,0.07264094,0.0,0.030781884,0.0,0.0,0.12362949,0.0,0.0,0.27494884,0.0,0.20512635,0.011088274,0.10199514,0.12829752,0.02228012,0.12218423,0.0,0.057027645,0.0,0.14668027,0.0,0.09650405,0.0,0.037655607,0.0,0.034931384,0.07741545,0.06336367,0.0902462,0.0,0.0,0.0,0.026050007
iguana,0.0,0.094131574,0.0,0.0022688098,0.0,0.0,0.02747347,0.0,0.0332355,0.02829073,0.23636045,0.03176949,0.0,0.090731844,0.0,0.0,0.0,0.17339669,0.18734539,0.039292067,0.0,0.0048025995,0.099246316,0.17750949,0.0,0.0,0.0,0.046520393,0.06547317,0.0048026964,0.031149186,0.122532874,0.09014772,0.17409234,0.0,0.0,0.0,0.039172474,0.07955623,0.099109165,0.0,0.055794735,0.0,0.0607949,0.1979628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14207658,0.1305866,0.086855374,0.0,0.14582638,0.34316278,0.0,0.049016867,0.0,0.0,0.0,0.0,0.0,0.046802763,0.0,0.1341371,0.3625301,0.06138087,0.19620267,0.0,0.059756644,0.011012552,0.0,0.0,0.0,0.034626678,0.0,0.17017433,0.0,0.0,0.0,0.0,0.0,0.0,0.3145406,0.0,0.09405432,0.0,0.0,0.0,0.080849595
caterpillar,0.0,0.046973825,0.0,0.0,0.0,0.0,0.02811739,0.0,0.0,0.12225741,0.15906686,0.013917763,0.0,0.13074906,0.0,0.032373227,0.0,0.13776448,0.084273845,0.0,0.0,0.0,0.0,0.17450908,0.061703406,0.0,0.0,0.0,0.0,0.0,0.0,0.057624966,0.0,0.10424338,0.0021027364,0.009665484,0.015991405,0.025767047,0.009973381,0.089044414,0.0,0.059694633,0.049134,0.013445957,0.13264991,0.0,0.0,0.06672746,0.0,0.031238064,0.0,0.0058284327,0.0,0.0,0.03796163,0.036698412,0.0,0.0,0.0,0.049366497,0.033311866,0.0,0.0,0.006726318,0.005806688,0.0,0.15667048,0.05614995,0.0,0.0,0.010349395,0.0,0.019222338,0.0,0.0,0.22113922,0.0,0.069315925,0.0,0.0,0.017912278,0.012191907,0.13285767,0.0,0.055687547,0.0,0.109901294,0.036984205,0.0,0.08136657,0.0,0.0,0.060440686,0.059108328,0.036094718,0.0467633,0.0,0.0,0.0,0.0
cockroach,0.0,0.02214743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2487751,0.13761537,0.043482687,0.0,0.17023727,0.011070696,0.29420984,0.17566875,0.24531372,0.3314847,0.09337518,0.05549274,0.14833874,0.07846698,0.349157,0.0,0.0,0.0,0.119305775,0.0,0.0,0.0,0.040449776,0.13633338,0.23074795,0.0,0.05008639,0.04614307,0.1628079,0.14392896,0.045882832,0.0,0.20068438,0.058345467,0.0,0.029083705,0.0,0.0,0.052005265,0.0,0.0115968585,0.0,0.0,0.0,0.0,0.018418472,0.0,0.0,0.0,0.0,0.022417406,0.027690662,0.14079684,0.0,0.0,0.10307703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021364175,0.0428487,0.20021264,0.3774774,0.07325653,0.0,0.0,0.09098907,0.07202489,0.14033985,0.25526208,0.0,0.31334946,0.0,0.36089814,0.0,0.07379268,0.0,0.0,0.0,0.0021815524,0.12111413,0.0,0.0,0.0,0.0,0.0,0.11980711
beetle,0.0,0.053897433,0.0,0.0,0.11331819,0.0,0.015182335,0.14654611,0.07041634,0.07074951,0.0,0.090936825,0.0,0.0,0.0,0.08725615,0.0,0.21355596,0.10475279,0.0,0.0,0.0,0.105262704,0.18616048,0.090970054,0.0044427123,0.0,0.0,0.0,0.0,0.0,0.13378447,0.0,0.1898269,0.051195722,0.0,0.0,0.051305335,0.0,0.040359896,0.0,0.0,0.0,0.0,0.1589706,0.0,0.0,0.05488417,0.0,0.0,0.0,0.010537831,0.0,0.0,0.0,0.052034777,0.0,0.0,0.0,0.03782456,0.08607007,0.20769992,0.0,0.0,0.0,0.0,0.09764081,0.027606761,0.0,0.03401158,0.0,0.0,0.08232709,0.0,0.0,0.34151578,0.0020842291,0.16609043,0.023414642,0.0,0.0,0.0,0.01405121,0.0,0.096831225,0.0,0.20554061,0.0,0.13136414,0.09861947,0.0,0.0,0.10081234,0.0,0.0,0.0,0.0,0.0,0.0,0.21007136
spider,0.0019054115,0.0,0.0,0.0,0.0,0.0,0.093020156,0.020732494,0.013837756,0.0,0.09457666,0.1872643,0.0,0.122963645,0.0,0.039398234,0.05138083,0.08891405,0.16746664,0.0,0.0,0.027347963,0.0,0.14067274,0.114543155,0.033296086,0.0,0.0,0.0,0.086498536,0.0,0.059026297,0.06299776,0.053575054,0.08479425,0.06373684,0.05216925,0.013708748,0.0,0.15103869,0.075551234,0.12585098,0.04774759,0.020494994,0.0,0.0,0.0,0.14489856,0.0,0.0,0.009890113,0.029587876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13372804,0.0,0.109982945,0.0,0.0,0.1114401,0.018881362,0.042658042,0.045861587,0.0,0.0,0.0,0.10044722,0.026093516,0.0,0.007207053,0.17905189,0.0,0.055968434,0.0,0.0,0.0,0.0,0.06407933,0.0,0.1345386,0.0,0.12723371,0.0,0.15812564,0.02385885,0.1091082,0.0,0.040859,0.052513383,0.08836383,0.039985683,0.0,0.0,0.0,0.06943793
moth,0.0,0.07787086,0.0,0.039957203,0.03833722,0.0,0.0,0.01446975,0.035425477,0.22621894,0.116129324,0.051302906,0.0,0.040819995,0.0,0.04010655,0.18997796,0.0864179,0.26041692,0.018260067,0.06137803,0.03531279,0.0,0.16316053,0.0,0.0,0.0,0.0,0.049093027,0.054400943,0.0,0.04707312,0.0,0.031014012,0.033157256,0.018130582,0.0,0.0,0.0,0.0,0.0,0.1585972,0.02019582,0.0,0.036134683,0.0,0.0,0.13371107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018451586,0.0,0.096831776,0.11785915,0.17276102,0.0,0.0,0.33572116,0.0,0.043132845,0.0,0.0,0.0,0.0,0.041983694,0.30745888,0.0,0.12899286,0.39927155,0.0,0.0,0.056552224,0.0635548,0.09222055,0.0,0.0,0.06131378,0.12196282,0.0,0.18230999,0.0,0.071805514,0.104577005,0.0,0.04700494,0.0,0.0,0.055132225,0.0,0.0,0.0,0.0,0.0
whale,0.0,0.0075768884,0.03599464,0.0,0.0,0.0,0.0,0.0,0.16803657,0.15441427,0.07744926,0.18597652,0.0,0.16854191,0.09237804,0.12192106,0.15748212,0.23142721,0.36125615,1.7531216e-05,0.0,0.0,0.01851174,0.24079153,0.0,0.0,0.0,0.0,0.0,0.12715504,0.0,0.0,0.0,0.15209901,0.122197166,0.013516593,0.0,0.044062383,0.0,0.19651249,0.16360883,0.024249122,0.013125502,0.090948574,0.09836609,0.0,0.0,0.008734409,0.0,0.0,0.0011433065,0.0,0.010205719,0.0,0.0,0.099700704,0.0,0.0,0.0,0.1399589,0.09009036,0.0,0.0,0.0,0.1831519,0.0,0.07158394,0.0031898802,0.0,0.053370863,0.0,0.0073451027,0.0,0.0,0.0,0.109317794,0.0,0.27266067,0.0,0.07838058,0.0,0.106370166,0.0,0.010840099,0.19971786,0.0,0.17311537,0.0,0.07208991,0.0,0.0,0.16521226,0.19811806,0.07811952,0.17116839,0.010158615,0.0,0.0,0.0,0.10005731
