,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.01846677,0.036647644,0.0,0.0,0.0,0.0,0.0,0.15809792,0.16106936,0.1680025,0.0,0.0,0.0,0.16850695,0.012331614,0.10089919,0.0,0.18238424,0.10358111,0.0074695367,0.0,0.13904661,0.03635218,0.06765492,0.0,0.0,0.038820077,0.0,0.0827762,0.0,0.0,0.073157,0.0,0.0,0.19584693,0.044666808,0.05367041,0.07428691,0.0,0.0,0.0,0.0,0.0386386,0.0,0.0,0.0,0.0,0.0,0.023804715,0.0,0.0,0.0,0.0,0.0,0.08480993,0.0,0.05981615,0.0,0.0,0.031225251,0.08253233,0.0,0.0,0.07208942,0.036848977,0.03486561,0.04808423,0.0,0.087551616,0.06657821,0.0,0.0,0.23954198,0.10479601,0.16512492,0.0,0.06402452,0.0,0.27233988,0.0,0.03450136,0.093165495,0.0,0.0,0.070545346,0.0,0.054049015,0.0,0.0,0.1037624,0.0,0.0,0.07978885,0.06781748,0.14396203,0.12942505,0.0,0.0,0.064903095,0.0
lizard,0.0,0.0,0.0,0.0,0.0,0.0,0.09795131,0.19140741,0.1987556,0.14664496,0.16691704,0.0,0.17615956,0.06041026,0.0,0.064608485,0.096909344,0.012117036,0.07773554,0.050615843,0.0,0.11310576,0.0,0.08614023,0.0,0.0,0.050636318,0.0,0.019912928,0.0,0.0,0.0,0.0,0.0,0.19523546,0.0,0.087484285,0.11220722,0.0,0.0,0.0,0.0,0.0,0.008931566,0.06148091,0.04053329,0.0,0.0,0.19123957,0.0,0.0,0.0,0.0,0.0,0.10090201,0.0,0.0,0.0,0.0,0.018683193,0.16343927,0.0,0.0,0.02905683,0.0,0.03496921,0.0,0.036262754,0.054802794,0.21887858,0.0,0.0,0.0,0.0,0.07264069,0.0,0.049285136,0.0,0.23551527,0.0,0.0,0.14190584,0.0,0.0,0.087235436,0.0,0.06699269,0.0,0.0,0.051628135,0.0,0.06107021,0.07733597,0.17703524,0.0,0.0,0.0,0.0,0.06222491,0.0
turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2345372,0.09334348,0.0,0.021186639,0.0,0.03399969,0.027891668,0.0,0.039106123,0.0,0.0,0.22937256,0.010699015,0.0,0.07156762,0.06935859,0.07587822,0.0,0.0,0.0,0.0,0.10135812,0.0,0.0,0.010915142,0.0,0.0,0.06422217,0.0,0.053499315,0.05331104,0.0,0.0,0.0,0.0,0.04422196,0.0,0.017247982,0.0,0.0,0.0,0.0534589,0.0,0.0,0.0,0.050166488,0.0,0.046528842,0.0,0.0025815256,0.0,0.024026625,0.03629204,0.08582868,0.0,0.050183058,0.0,0.03397486,0.0,0.0,0.0,0.049911037,0.14962517,0.004265163,0.0,0.0,0.0,0.025988065,0.032863386,0.06668653,0.0,0.16492221,0.0,0.0,0.049777396,0.0,0.0,0.049718883,0.0,0.0,0.0,0.0,0.17486499,0.024939595,0.0064887824,0.0,0.0,0.014068914,0.062926084,0.0,0.0,0.042395085,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783334,0.066747524,0.0,0.0,0.0,0.0,0.045214865,0.0,0.0,0.058262695,0.13699006,0.063516684,0.016503131,0.0,0.06730373,0.057394683,0.065094605,0.0,0.0,0.0,0.0,0.1675333,0.0,0.0,0.13657564,0.0,0.0,0.06875287,0.0,0.06653434,0.17421442,0.02373887,0.0,0.0,0.0,0.10744489,0.0,0.0,0.0052570403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058443803,0.0,0.120974265,0.0,0.0,0.0,0.08828843,0.0,0.0,0.0,0.047045216,0.0,0.0,0.041467786,0.20658965,0.20405391,0.008111947,0.0,0.124055125,0.016692713,0.09153633,0.06611056,0.12087587,0.008269839,0.056853022,0.0,0.0,0.14433426,0.0,0.0,0.0465016,0.0,0.11198917,0.0,0.0,0.043198206,0.0,0.0,0.0,0.0,0.06793088,0.064599134,0.06991775,0.037182905,0.065113544,0.0
iguana,0.0,0.0,0.0,0.0,0.0,0.0,0.081820965,0.24546692,0.15281351,0.06960848,0.0,0.019317074,0.0,0.0,0.0,0.09396896,0.025528956,0.1303563,0.12511325,0.0,0.0,0.27300966,0.04757028,0.13769382,0.0,0.0,0.0,0.0,0.05445292,0.0,0.0,0.31550366,0.0,0.0,0.02808641,0.0,0.0,0.14119636,0.0,0.0,0.0,0.0,0.10925912,0.0,0.006097367,0.13892567,0.0,0.0,0.039024793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17131342,0.08033098,0.0,0.0,0.006602669,0.1725429,0.0,0.0,0.0,0.06276205,0.10936366,0.046198618,0.0,0.21849412,0.0,0.075296655,0.055057265,0.054924898,0.0,0.106973305,0.0,0.0,0.12904882,0.0,0.0,0.07102358,0.12712395,0.22479291,0.0,0.0,0.02473959,0.0,0.06802193,0.095455766,0.0,0.1482718,0.045411415,0.016397513,0.17838115,0.0,0.0
caterpillar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11207402,0.10868674,0.0,0.0,0.022959353,0.0,0.06069043,0.0091155935,0.0,0.027715571,0.0,0.11649049,0.0,0.0,0.1295056,0.0,0.0761884,0.0,0.0,0.0,0.0,0.065114565,0.0,0.0,0.021844465,0.0,0.0,0.10351074,0.0,0.07419625,0.102923065,0.012646632,0.0049724504,0.0,0.0,0.018088955,0.024935992,0.0,0.08637245,0.0,0.0,0.040492646,0.0,0.0,0.0,0.0,0.0,0.006417826,0.0,0.0017556269,0.0,0.0,0.00059575535,0.063363835,0.0,0.0,0.0,0.0611708,0.059637636,0.0030365298,0.0,0.08704138,0.06830408,0.0,0.0,0.052554525,0.0,0.08687207,0.056650456,0.103048645,0.0,0.08309892,0.0,0.0,0.05262728,0.0,0.0,0.0012555867,0.040102966,0.028034292,0.0,0.0,0.11589727,0.018016387,0.0,0.0,0.024147466,0.06637973,0.033072654,0.0020545572,0.06648969,0.0,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.022976764,0.2708646,0.26430112,0.07825714,0.022861112,0.07050916,0.08032081,0.29626426,0.0,0.08705819,0.20612068,0.11813265,0.20829776,0.037281353,0.0,0.017471764,0.0,0.0,0.0,0.0,0.0,0.009223182,0.09904081,0.0,0.0,0.15747367,0.0,0.0,0.1482833,0.0,0.0,0.2602019,0.0,0.13791516,0.0,0.0,0.14129378,0.087412395,0.036009543,0.0,0.06110939,0.07028395,0.031647906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1027918,0.0,0.0,0.0,0.23150918,0.0,0.0,0.0,0.04201495,0.14037271,0.10084197,0.0,0.22087477,0.11445689,0.11667331,0.0,0.14023966,0.0,0.047958568,0.0,0.09409696,0.0,0.10634561,0.0,0.0,0.12095658,0.0,0.009387143,0.022788707,0.05308748,0.2893246,0.0,0.0,0.27221155,0.04209608,0.0,0.0,0.14492217,0.100870654,0.15604562,0.036561385,0.0955056,0.11332663,0.0
beetle,0.0,0.010250803,0.0,0.0,0.0,0.0,0.04927075,0.0,0.089003034,0.0,0.0,0.0,0.0,0.1470451,0.0,0.09432386,0.14109641,0.0,0.074229755,0.0,0.0,0.20977879,0.012121659,0.05064738,0.07371001,0.0,0.10125977,0.0,0.127654,0.0,0.0,0.03020701,0.0,0.0,0.18065429,0.0,0.11306442,0.23396593,0.059782647,0.1503362,0.0,0.0,0.19889277,0.0,0.0,0.04176612,0.0,0.0,0.20397805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1493069,0.0,0.17991486,0.0,0.037850566,0.0,0.071864426,0.15491173,0.0,0.0,0.112605676,0.098491,0.0,0.0,0.31349957,0.15100127,0.027836945,0.10739661,0.050471894,0.0,0.23841897,0.0,0.0,0.17491746,0.0,0.0,0.06754105,0.0,0.0,0.0,0.10848027,0.10311273,0.0,0.0,0.0,0.0,0.28728336,0.1635074,0.0141547695,0.0,0.0,0.0
spider,0.0,0.0,0.0,0.039783373,0.0,0.0,0.0994441,0.06174553,0.047610216,0.0,0.0,0.0,0.07745839,0.19807053,0.032229617,0.09601177,0.0,0.10777953,0.121781476,0.0,0.0,0.13475719,0.05175849,0.0,0.0,0.0,0.0,0.0,0.033145394,0.0,0.0,0.0035700272,0.0,0.0,0.0,0.0,0.13249668,0.1976392,0.0,0.0,0.0,0.0,0.0,0.0,0.08578861,0.012981255,0.0,0.032769676,0.027932355,0.0,0.0,0.0,0.043291107,0.0,0.0,0.0,0.0,0.0727614,0.0,0.034531564,0.049361207,0.0,0.0,0.033116385,0.082214326,0.1459296,0.05038094,0.0,0.16954911,0.20843233,0.0,0.0,0.005261734,0.0,0.07316795,0.10125337,0.068347216,0.0,0.12528746,0.0,0.0,0.0,0.0,0.0,0.09243293,0.01229893,0.079792686,0.0,0.0,0.13839784,0.013435947,0.0,0.0,0.0,0.045614053,0.0005416535,0.066557586,0.0,0.0,0.0
moth,0.0,0.0,0.0,0.0,0.0,0.030702773,0.0,0.22370538,0.1530263,0.0,0.039781597,0.0,0.0,0.19391581,0.0,0.0,0.0,0.024290321,0.123651035,0.0,0.0,0.09793466,0.09248712,0.093872145,0.0,0.0,0.0,0.0,0.17808928,0.0,0.0,0.113437176,0.0,0.0,0.14290716,0.0,0.0041475333,0.10701637,0.0,0.0650347,0.0,0.0,0.0,0.011320626,0.042903885,0.0,0.0,0.0,0.0034728143,0.0,0.0,0.0,0.014357248,0.0,0.14211251,0.0,0.045626465,0.0,0.089853086,0.0,0.28338775,0.0,0.0,0.0,0.16807169,0.002523549,0.0,0.0,0.1619785,0.1844908,0.0,0.0,0.077340685,0.087794915,0.070568055,0.0,0.0065128654,0.0,0.017040696,0.0,0.0,0.04782424,0.0,0.0,0.07806437,0.042262204,0.15560287,0.0,0.0,0.010713445,0.0,0.14060014,0.0,0.0,0.12889391,0.0032365806,0.02011557,0.0,0.2512902,0.0
