head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
10,11,13,13,Validation,2.0,3a43681b0a4600dd,9.131999969482422,0.14499998092651367,1670129153.187,11,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/10.jpg' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/11.JPEG' />,11.JPEG,13.JPEG,10.jpg,13.JPEG,11.JPEG,171.54108214378357,2022-12-04T04:45:53.187000,1670128981.645918,1,1
0,6,11,11,Validation,3.0,3a43681b0a4600dd,2.370000123977661,0.1549999713897705,1670129155.715,6,<img src='/static/targets/6.JPEG' />,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/0.JPEG' />,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/6.JPEG' />,6.JPEG,11.JPEG,0.JPEG,11.JPEG,6.JPEG,174.06908202171326,2022-12-04T04:45:55.715000,1670128981.645918,2,2
15,16,13,16,Validation,4.0,3a43681b0a4600dd,2.422999858856201,0.16100001335144043,1670129158.314,13,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/15.jpg' />,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/13.JPEG' />,16.JPEG,13.JPEG,15.jpg,16.JPEG,13.JPEG,176.66808199882507,2022-12-04T04:45:58.314000,1670128981.645918,3,3
1,10,8,8,Validation,5.0,3a43681b0a4600dd,1.6369998455047607,0.17300009727478027,1670129160.035,10,<img src='/static/targets/10.jpg' />,<img src='/static/targets/8.JPEG' />,<img src='/static/targets/1.JPEG' />,<img src='/static/targets/8.JPEG' />,<img src='/static/targets/10.jpg' />,10.jpg,8.JPEG,1.JPEG,8.JPEG,10.jpg,178.38908219337463,2022-12-04T04:46:00.035000,1670128981.645918,4,4
5,9,29,9,Validation,6.0,3a43681b0a4600dd,1.499000072479248,0.08500003814697266,1670129161.626,29,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/5.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/29.JPEG' />,9.JPEG,29.JPEG,5.JPEG,9.JPEG,29.JPEG,179.9800820350647,2022-12-04T04:46:01.626000,1670128981.645918,5,5
5,25,8,8,Validation,7.0,3a43681b0a4600dd,1.454999923706055,0.09100008010864258,1670129163.164,25,<img src='/static/targets/25.JPEG' />,<img src='/static/targets/8.JPEG' />,<img src='/static/targets/5.JPEG' />,<img src='/static/targets/8.JPEG' />,<img src='/static/targets/25.JPEG' />,25.JPEG,8.JPEG,5.JPEG,8.JPEG,25.JPEG,181.51808214187622,2022-12-04T04:46:03.164000,1670128981.645918,6,6
13,14,27,14,Validation,8.0,3a43681b0a4600dd,7.530999898910523,0.08599996566772461,1670129170.854,27,<img src='/static/targets/14.JPEG' />,<img src='/static/targets/27.JPEG' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/14.JPEG' />,<img src='/static/targets/27.JPEG' />,14.JPEG,27.JPEG,13.JPEG,14.JPEG,27.JPEG,189.20808219909668,2022-12-04T04:46:10.854000,1670128981.645918,7,7
21,29,16,16,Validation,9.0,3a43681b0a4600dd,103.8159999847412,0.16000008583068848,1670129274.854,29,<img src='/static/targets/29.JPEG' />,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/21.JPEG' />,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/29.JPEG' />,29.JPEG,16.JPEG,21.JPEG,16.JPEG,29.JPEG,293.2080821990967,2022-12-04T04:47:54.854000,1670128981.645918,8,8
27,25,26,25,Validation,10.0,3a43681b0a4600dd,0.8389999866485596,0.17799997329711914,1670129275.801,26,<img src='/static/targets/25.JPEG' />,<img src='/static/targets/26.JPEG' />,<img src='/static/targets/27.JPEG' />,<img src='/static/targets/25.JPEG' />,<img src='/static/targets/26.JPEG' />,25.JPEG,26.JPEG,27.JPEG,25.JPEG,26.JPEG,294.15508222579956,2022-12-04T04:47:55.801000,1670128981.645918,9,9
17,16,15,15,Validation,11.0,3a43681b0a4600dd,0.6820001602172852,0.12899994850158691,1670129276.592,16,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/15.jpg' />,<img src='/static/targets/17.JPEG' />,<img src='/static/targets/15.jpg' />,<img src='/static/targets/16.JPEG' />,16.JPEG,15.jpg,17.JPEG,15.jpg,16.JPEG,294.94608211517334,2022-12-04T04:47:56.592000,1670128981.645918,10,10
