,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.01273699,0.04107369,0.0,0.012136767,0.030957693,0.0,0.0,0.017924625,0.0016966001,0.027571904,0.0,0.041509494,0.011610261,0.0,0.02276467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00718397,0.0,0.03143537,0.0011723014,0.0,0.010569463,0.0,0.0,0.0,0.0,0.035426937,0.038056117,0.035692807,0.0,0.0,0.0,0.0,0.036327284,0.0,0.009675005,0.041722305,0.0066931965,0.029214751,0.0,0.041296054,0.010657666,0.0,0.0,0.0328282,0.0,0.032854356,0.025556285,0.0,0.0,0.0,0.019915309,0.0,0.0092125125,0.022920722,0.033984102,0.026220948,0.018796854,0.0,0.0,0.0,0.0,0.048568536,0.04972799,0.00011330919,0.042691164,0.0,0.016560644,0.0,0.0,0.020625798,0.0,0.0,0.0,0.0,0.0,0.0133428965,0.00906366,0.025456175,0.030044045,0.022120245,0.0,0.044201665,0.029797474,0.041960124,0.026459547,0.03752672,0.021977317,0.03214556,0.0,0.0
lizard,0.012675993,0.040991962,0.0,0.012356851,0.030822774,0.0,0.0,0.017698158,0.0018094913,0.027071804,0.0,0.04132351,0.011427444,0.0,0.022462446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00700151,0.0,0.03186743,0.0011168824,0.0,0.0103728315,0.0,0.0,0.0,0.0,0.03526218,0.038476303,0.03541057,0.0,0.0,0.0,0.0,0.036475286,0.0,0.00940183,0.042129815,0.0066711036,0.02907946,0.0,0.041387767,0.0104253255,0.0,0.0,0.032455944,0.0,0.032508913,0.025626909,0.0,0.0,0.0,0.019569423,0.0,0.009070902,0.022546086,0.033979494,0.026216784,0.018812183,0.0,0.0,0.0,0.0,0.047994994,0.049595773,0.00051800074,0.042505693,0.0,0.016608858,0.0,0.0,0.020609425,0.0,0.0,0.0,0.0,0.0,0.013516686,0.008791397,0.025121722,0.029787414,0.02252118,0.0,0.044477604,0.02934545,0.04212465,0.02639801,0.0375296,0.021855962,0.032344095,0.0,0.0
turtle,0.012707864,0.040779747,0.0,0.012370393,0.030869976,0.0,0.0,0.017624207,0.0018966636,0.027253058,0.0,0.04142402,0.011764561,0.0,0.02239363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071184817,0.0,0.03157598,0.0011198526,0.0,0.010395631,0.0,0.0,0.0,0.0,0.035101287,0.038465634,0.035367567,0.0,0.0,0.0,0.0,0.036866996,0.0,0.009780154,0.04166306,0.0066462886,0.029191805,0.0,0.041329306,0.010001005,0.0,0.0,0.03284653,0.0,0.032519624,0.025446832,0.0,0.0,0.0,0.019670619,0.0,0.009670884,0.022620529,0.03403854,0.02612309,0.018694539,0.0,0.0,0.0,0.0,0.048193745,0.049612917,0.0,0.042456053,0.0,0.01629307,0.0,0.0,0.020505896,0.0,0.0,0.0,0.0,0.0,0.01375342,0.0087205395,0.025376465,0.03000287,0.022655878,0.0,0.044303767,0.02962858,0.04213991,0.026098358,0.037366465,0.021802649,0.032229375,0.0,0.0
chameleon,0.012887701,0.040996946,0.0,0.0121538555,0.030625882,0.0,0.0,0.017693928,0.0019272184,0.027157053,0.0,0.041528393,0.012078381,0.0,0.022184124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006820371,0.0,0.031815104,0.0010848185,0.0,0.010357767,0.0,0.0,0.0,0.0,0.03500883,0.038154203,0.035448823,0.0,0.0,0.0,0.0,0.036992792,0.0,0.009323184,0.042393155,0.006752846,0.028840907,0.0,0.040915534,0.010617823,0.0,0.0,0.032086264,0.0,0.032389943,0.025674084,0.0,0.0,0.0,0.019601285,0.0,0.008755866,0.022627605,0.03391047,0.026587892,0.018610805,0.0,0.0,0.0,0.0,0.048071213,0.049611356,0.0004435273,0.0421451,0.0,0.016536975,0.0,0.0,0.020445619,0.0,0.0,0.0,0.0,0.0,0.013321804,0.00853669,0.025457067,0.029695729,0.02275701,0.0,0.04446969,0.029333042,0.042156123,0.02628643,0.037819907,0.022361726,0.032043938,0.0,0.0
iguana,0.012628198,0.040801067,0.0,0.012158077,0.030670332,0.0,0.0,0.017566565,0.0018737162,0.027292995,0.0,0.041636933,0.011726867,0.0,0.02222206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006803532,0.0,0.03170047,0.0011231137,0.0,0.010340345,0.0,0.0,0.0,0.0,0.03521251,0.0385212,0.03565602,0.0,0.0,0.0,0.0,0.03683795,0.0,0.009421134,0.042043574,0.0069716796,0.02908367,0.0,0.04116471,0.010683658,0.0,0.0,0.032406256,0.0,0.032399807,0.025549246,0.0,0.0,0.0,0.0197137,0.0,0.008911692,0.022742862,0.033818945,0.026575614,0.018699087,0.0,0.0,0.0,0.0,0.04820148,0.0495011,0.00030631857,0.042531822,0.0,0.016541114,0.0,0.0,0.020504016,0.0,0.0,0.0,0.0,0.0,0.013354176,0.0086850105,0.025343662,0.03002908,0.022607034,0.0,0.044383414,0.029775845,0.04217701,0.026302762,0.037518438,0.022088548,0.032206073,0.0,0.0
caterpillar,0.01287351,0.0409085,0.0,0.0121525545,0.030604424,0.0,0.0,0.017564818,0.0018194907,0.027119689,0.0,0.041652784,0.011943196,0.0,0.022232912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006726669,0.0,0.031827286,0.0009891272,0.0,0.01043872,0.0,0.0,0.0,0.0,0.035024565,0.03832069,0.03544485,0.0,0.0,0.0,0.0,0.036960855,0.0,0.009329787,0.04226985,0.0067558484,0.028889257,0.0,0.040947154,0.010610513,0.0,0.0,0.0322698,0.0,0.032343153,0.025533449,0.0,0.0,0.0,0.019560043,0.0,0.008750436,0.022635316,0.033953574,0.026472934,0.018509293,0.0,0.0,0.0,0.0,0.048012182,0.049652368,0.00040602143,0.042236503,0.0,0.016538754,0.0,0.0,0.02046652,0.0,0.0,0.0,0.0,0.0,0.013376791,0.008604667,0.02537612,0.02984257,0.02275269,0.0,0.044535656,0.029474344,0.042192042,0.026389938,0.0378228,0.022286378,0.03205453,0.0,0.0
cockroach,0.012579756,0.041183285,0.0,0.01231732,0.030811092,0.0,0.0,0.017777067,0.001642822,0.027145263,0.0,0.04138551,0.011514285,0.0,0.022489749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007234412,0.0,0.03134233,0.0011885709,0.0,0.010464271,0.0,0.0,0.0,0.0,0.035591703,0.03830168,0.035613477,0.0,0.0,0.0,0.0,0.036401954,0.0,0.009658289,0.042017512,0.0068089794,0.028854262,0.0,0.041254077,0.01048518,0.0,0.0,0.03272574,0.0,0.032595284,0.025846494,0.0,0.0,0.0,0.019983295,0.0,0.009176293,0.022611164,0.03382782,0.02642615,0.01892664,0.0,0.0,0.0,0.0,0.048185237,0.04973096,0.0003782055,0.042606857,0.0,0.01661278,0.0,0.0,0.020647472,0.0,0.0,0.0,0.0,0.0,0.01356322,0.0087492075,0.025128268,0.029986747,0.022111006,0.0,0.044262495,0.029550813,0.042005353,0.026474172,0.03730538,0.021776665,0.03232774,0.0,0.0
beetle,0.012818127,0.04095371,0.0,0.012241682,0.030962124,0.0,0.0,0.017685859,0.0018819035,0.027047085,0.0,0.04140904,0.011557801,0.0,0.022237659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069950256,0.0,0.03156779,0.0010260753,0.0,0.010303935,0.0,0.0,0.0,0.0,0.035395585,0.038376007,0.035584472,0.0,0.0,0.0,0.0,0.036638193,0.0,0.009632435,0.041816235,0.0068458887,0.02910986,0.0,0.041375723,0.010424529,0.0,0.0,0.03258966,0.0,0.032445256,0.025650028,0.0,0.0,0.0,0.019689914,0.0,0.009017196,0.022636296,0.03386371,0.026260648,0.018672887,0.0,0.0,0.0,0.0,0.04804722,0.049726497,6.74107e-05,0.04226298,0.0,0.016596466,0.0,0.0,0.020478122,0.0,0.0,0.0,0.0,0.0,0.013488068,0.008819319,0.025280777,0.029838344,0.022660209,0.0,0.04426769,0.029582499,0.041917548,0.026188707,0.037507325,0.021891873,0.032363337,0.0,0.0
spider,0.01274156,0.040891718,0.0,0.012471735,0.03081007,0.0,0.0,0.017883776,0.0016506494,0.027710672,0.0,0.04175049,0.011638414,0.0,0.022355102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073439544,0.0,0.031532172,0.0011555362,0.0,0.010358325,0.0,0.0,0.0,0.0,0.035289977,0.038497902,0.035003647,0.0,0.0,0.0,0.0,0.036598463,0.0,0.009630928,0.04204776,0.0067805126,0.029103773,0.0,0.04138092,0.010183279,0.0,0.0,0.032794774,0.0,0.032748714,0.025618728,0.0,0.0,0.0,0.019524472,0.0,0.009400727,0.022652809,0.033948746,0.026547693,0.018735591,0.0,0.0,0.0,0.0,0.048051335,0.049364127,0.0,0.04262535,0.0,0.016323863,0.0,0.0,0.020714011,0.0,0.0,0.0,0.0,0.0,0.013598385,0.008512121,0.025196828,0.029700797,0.02241632,0.0,0.04419722,0.029832229,0.042327035,0.026461575,0.0373528,0.02179321,0.03238788,0.0,0.0
moth,0.012659749,0.04084852,0.0,0.012003263,0.030833416,0.0,0.0,0.017713953,0.0018178811,0.027119119,0.0,0.04168098,0.011641238,0.0,0.02233289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069829887,0.0,0.03161346,0.0011675035,0.0,0.010442711,0.0,0.0,0.0,0.0,0.03512287,0.038504686,0.035828922,0.0,0.0,0.0,0.0,0.036637034,0.0,0.009521465,0.041995965,0.0069751292,0.029248383,0.0,0.04132567,0.010694107,0.0,0.0,0.03264969,0.0,0.03254894,0.025519138,0.0,0.0,0.0,0.019714857,0.0,0.008952364,0.022775251,0.033876546,0.026291747,0.018605292,0.0,0.0,0.0,0.0,0.048206277,0.049604632,8.932577e-05,0.042385865,0.0,0.016548494,0.0,0.0,0.020410623,0.0,0.0,0.0,0.0,0.0,0.013397954,0.0085501745,0.025331238,0.030153215,0.02239038,0.0,0.044424027,0.029642224,0.042172182,0.026487995,0.037509054,0.022124339,0.03225394,0.0,0.0
