,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.0,0.0,0.057713233,0.0,0.0,0.111520655,0.15657474,0.0,0.17876212,0.2741749,0.0,0.0,0.056897186,0.3752924,0.16603135,0.0,0.1397729,0.0,0.06496696,0.0,0.0,0.0,0.017964061,0.013990767,0.04747658,0.0,0.1282968,0.0,0.0,0.0,0.0,0.0,0.026151296,0.22166723,0.1280053,0.0,0.01723419,0.14206016,0.0,0.0,0.036831483,0.0,0.0,0.0,0.015495371,0.0,0.105620526,0.02186949,0.0,0.088842645,0.0,0.038758695,0.0,0.032676406,0.10602435,0.16462004,0.0,0.10233187,0.0,0.0,0.036370613,0.022774978,0.0873557,0.314667,0.037270658,0.042380024,0.0,0.0,0.0752874,0.14522952,0.0,0.014141853,0.0,0.15016875,0.0,0.0,0.065364026,0.009545436,0.01817558,0.0,0.097741194,0.10179208,0.060174473,0.056856215,0.07504477,0.0030846633,0.0,0.07684428,0.0,0.1775553,0.014340747,0.023267109,0.0,0.13351387,0.16450554,0.0615174,0.03424914,0.09236584,0.0,0.030599054
lizard,0.0,0.071909636,0.0,0.0,0.0,0.09386862,0.052883312,0.13869067,0.13546272,0.3140354,0.0,0.0,0.06507027,0.36435908,0.10373464,0.0,0.0991209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06336012,0.0,0.0,0.0,0.05839116,0.19616236,0.31728405,0.0,0.0,0.07940108,0.15763329,0.18902265,0.034452446,0.03111935,0.0,0.0,0.0,0.20994295,0.148403,0.19207244,0.027133383,0.0,0.10274795,0.0,0.0,0.0,0.11350993,0.022846183,0.09136409,0.0,0.053478815,0.043548834,0.12831378,0.0,0.0,0.016566671,0.0042970106,0.0,0.0,0.0,0.0,0.023330007,0.07722144,0.102897584,0.061970275,0.0,0.03211822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16856672,0.11741335,0.0,0.03761921,0.0,0.0,0.08638498,0.0,0.21324363,0.005091615,0.0,0.0,0.047016524,0.1034466,0.14652482,0.0,0.04101383,0.0,0.21500544
turtle,0.0,0.0,0.0889784,0.022892267,0.0,0.041134994,0.16055396,0.0438612,0.039111592,0.18644051,0.0,0.027314864,0.052539453,0.24329987,0.050088093,0.10936938,0.0,0.0,0.0,0.0,0.0,0.0055300556,0.0,0.0,0.039042287,0.09554479,0.0,0.11868865,0.0,0.0,0.0,0.03254466,0.0,0.15358956,0.0,0.0,0.053570606,0.0,0.004479012,0.03731891,0.03662769,0.0,0.0,0.0,0.0,0.0,0.0551003,0.0,9.327661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.10083149,0.0,0.0,0.0,0.031135153,0.0,0.0,0.0,0.10902334,0.0,0.0,0.0,0.108571514,0.031993367,0.0,0.023193445,0.05151744,0.0,0.0,0.0044219997,0.0,0.06326873,0.0,0.0,0.002170342,0.0,0.08112678,0.01434039,0.0,0.0,0.18650404,0.057190996,0.012153482,0.0,0.0495318,0.07656507,0.0,0.0,0.011243584,0.11064413,0.0,0.0,0.0,0.0,0.14532253
chameleon,0.0,0.0,0.024436552,0.0,0.0,0.0,0.1259324,0.21847714,0.059951536,0.22787566,0.010021934,0.0,0.052895367,0.30941883,0.018202858,0.0,0.06890439,0.0,0.03531787,0.011777211,0.0,0.0,0.0,0.062028043,0.0,0.08885078,0.0058429297,0.0,0.0,0.0243123,0.0,0.0,0.09188393,0.062125314,0.0,0.0,0.16743405,0.12001794,0.1570451,0.0009537712,0.07798441,0.019221723,0.022378083,0.03140546,0.068546936,0.0,0.23305407,0.0,0.0,0.17429681,0.0,0.0,0.0,0.059174843,0.06996761,0.0,0.0,0.002151383,0.0,0.013245221,0.07123532,0.0,0.0020041168,0.12461992,0.089962475,0.03352525,0.017743107,0.0563888,0.0077212323,0.07554379,0.0,0.11145511,0.0,0.042440698,0.0,0.0,0.09912698,0.06974946,0.0,0.08286977,0.045810983,0.0,0.0,0.0,0.0,0.07810925,0.0,0.07313451,0.0,0.0,0.0,0.15491576,0.055589736,0.036322705,0.15561499,0.09620543,0.050428517,0.037238132,0.0015562251,0.15459856
iguana,0.0,0.0,0.0,0.0,0.0,0.08944058,0.105048835,0.20344475,0.0,0.2959566,0.0,0.0,0.054755304,0.31997895,0.018609561,0.00914022,0.0988992,0.0,0.03984845,0.022945995,0.0,0.0,0.0,0.21059763,0.05310698,0.15254685,0.094372764,0.15237984,0.0,0.0,0.0,0.0,0.09526472,0.2132794,0.0,0.0,0.18570137,0.10001804,0.019046145,0.032804035,0.0,0.0,0.012741961,0.0,0.16533546,0.0,0.22475174,0.020078216,0.0,0.1919716,0.0,0.09782452,0.0,0.05258715,0.0,0.003126325,0.07737559,0.11792842,0.0,0.073245406,0.0,0.08379614,0.0,0.0,0.1438454,0.0,0.0,0.17168367,0.0,0.16950929,0.0,0.101058945,0.0,0.078250736,0.0046450365,0.0,0.13497281,0.11593105,0.0,0.02887487,0.04469753,0.14840692,0.053333748,0.0,0.004351519,0.2917112,0.0,0.08583802,0.0,0.02813891,0.0,0.0,0.0,0.1261195,0.1561483,0.04984787,0.0,0.100715004,0.0,0.09701115
caterpillar,0.0,0.047419008,0.0,0.0,0.0,0.04145752,0.1491563,0.12599953,0.0,0.16790944,0.0,0.0,0.04129172,0.18073434,0.011792125,0.0,0.01684967,0.0,0.0063994788,0.03110602,0.0,0.0,0.0,0.0,0.015344136,0.0,0.058887027,0.047338247,0.0,0.0,0.0,0.0,0.0029898547,0.15268937,0.061150856,0.0,0.0,0.0892308,0.07134284,0.12887959,0.0013107723,0.0,0.0,0.01704602,0.064680174,0.0,0.18116271,0.0,0.0,0.09634565,0.0,0.0,0.0,0.08803681,0.0,0.008449899,0.020876423,0.047772758,0.0,0.0,0.0,0.0,0.01093775,0.19412431,0.0,0.042975254,0.023137253,0.022225127,0.052141562,0.001186063,0.0,0.027669163,0.0,0.06821499,0.0,0.0,0.0,0.0,0.0,0.0,0.11834701,0.045799155,0.11065913,0.0,0.0,0.096407115,0.0,0.0,0.0011809729,0.06863914,0.0,0.010040153,0.0,0.11213617,0.026254978,0.05298315,0.0,0.005350479,0.0,0.073745206
cockroach,0.04757217,0.0,0.0,0.0,0.0,0.0,0.18105552,0.083649084,0.0,0.17531036,0.0,0.0,0.0,0.3105923,0.0,0.0,0.18143232,0.0,0.0,0.0,0.0,0.0,0.03149665,0.0,0.0,0.16066653,0.12547469,0.061274853,0.0,0.013927819,0.0,0.0,0.033520762,0.1786311,0.0,0.0,0.23539627,0.0445867,0.028015658,0.038075235,0.0,0.0,0.11133686,0.013489399,0.13715498,0.0,0.3038824,0.013045823,0.0,0.0,0.0,0.09433097,0.0,0.0,0.0,0.0,0.0,0.0800508,0.0,0.0,0.0,0.0691997,0.0,0.2695802,0.0,0.06391334,0.0,0.0,0.0,0.14976369,0.024322793,0.0,0.0,0.16684067,0.05069951,0.0,0.14181009,0.018038021,0.0,0.0,0.0,0.072232425,0.11198651,0.0,0.0,0.24143566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16423558,0.14584823,0.0,0.0,0.0,0.14014485,0.24575903
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.11050179,0.19065718,0.11762269,0.23641787,0.0,0.029986827,0.05432717,0.3482817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008393324,0.10835194,0.08854199,0.08140549,0.0,0.0,0.0,0.0,0.027031094,0.026929703,0.11849921,0.0,0.18711819,0.1629269,0.11567162,0.0,0.0,0.0,0.0,0.045325328,0.0,0.0,0.09276019,0.04841246,0.0,0.02462804,0.0,0.068609096,0.0,0.07011936,0.08662809,0.0,0.0,0.07909034,0.0,0.0,0.10671394,0.11584665,0.0,0.10939856,0.0,0.0,0.0,0.15676893,0.0,0.03555987,0.15967812,0.1451056,0.0,0.06669131,0.0,0.0,0.062185824,0.06235729,0.0,0.08934775,0.031807557,0.091921896,0.16539419,0.0,0.05983702,0.08468139,0.0,0.04547843,0.0,0.1485216,0.0,0.03888082,0.0,0.13281478,0.22451147,0.0,0.037648223,0.010651353,0.0,0.0990355
spider,0.0,0.0,0.0,0.005237137,0.0,0.0062414333,0.17061627,0.17919298,0.08903273,0.13986272,0.0,0.065946564,0.09807994,0.25413343,0.0,0.0038835183,0.0,0.0,0.055015687,0.0,0.0,0.0,0.0,0.0,0.040856626,0.016476607,0.041050903,0.0,0.0,0.036892056,0.0,0.0,0.09336824,0.18692282,0.0,0.0,0.19962108,0.03476625,0.0,0.00955634,0.0,0.0,0.052747328,0.0,0.0,0.00035367347,0.20772219,0.0,0.0,0.0127252955,0.0,0.019679211,0.0,0.033745974,0.04166477,0.13259338,0.027570017,0.09694844,0.0077544637,0.10114905,0.0,0.06326841,0.0,0.06790371,0.043460727,0.015484131,0.06271371,0.07039404,0.0,0.0013749856,0.0,0.002884891,0.0,0.0,0.0,0.0,0.15091583,0.0,0.01364203,0.06472979,0.015647722,0.019618515,0.1310406,0.03084476,0.05333156,0.13531125,0.0,0.0,0.0,0.07473063,0.12478995,0.0,0.08380073,0.030448336,0.16730961,0.0,0.033580944,0.0,0.0,0.095662445
moth,0.0,0.025190294,0.048058636,0.0,0.0,0.0,0.029665584,0.08576448,0.013181036,0.2147898,0.0,0.0042248815,0.08883224,0.14875698,0.0,0.0,0.0,0.0,0.035602827,0.08574592,0.0,0.0,0.0,0.060063474,0.015559451,0.08662739,0.0,0.0,0.0,0.0,0.0,0.018986855,0.09297484,0.20247671,0.0,0.0,0.03977619,0.12634583,0.045933723,0.0,0.049957763,0.0,0.012073912,0.01757935,0.17059804,0.0,0.0745139,0.0,0.0,0.0,0.0,0.0,0.0,0.133448,0.0,0.1111935,0.0,0.102545895,0.0,0.0,0.0,0.0,0.0,0.11084854,0.0,0.0,0.07635632,0.12857315,0.0,0.0,0.0,0.1282087,0.0,0.0,0.0,0.0043866243,0.0,0.0,0.0,0.0,0.15451935,0.13849904,0.13888042,0.0,0.078240596,0.0,0.0,0.0,0.0,0.12172542,0.171119,0.0,0.0,0.0,0.1999691,0.0,0.0,0.021013252,0.0,0.09558438
