,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.17862171,0.0,0.0,0.14962813,0.12449323,0.054094948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03110848,0.0,0.0,0.029160969,0.0,0.0,0.0026851315,0.11242426,0.0,0.12879522,0.017727965,0.0,0.114746295,0.0,0.020915495,0.02466047,0.05977187,0.19677779,0.0,0.02462895,0.15316051,0.035439707,0.013825819,0.034660537,0.07166768,0.0,0.15446547,0.045637734,0.0,0.0,0.025379173,0.0,0.07576354,0.0,0.0,0.028257262,0.0,0.03504844,0.10261418,0.0,0.0,0.11354274,0.0,0.06731434,0.09523469,0.017041415,0.0,0.0,0.0,0.0,0.041639395,0.0,0.13120109,0.026745103,0.08759787,0.10321243,0.0,0.08855331,0.09279019,0.0,0.16338956,0.0,0.0,0.0095909145,0.0,0.07736616,0.075174525,0.0,0.0,0.11233557,0.0,0.03926045,0.01337846,0.009618377,0.006900886,0.040356513,0.0,0.00550963,0.0,0.0,0.0,0.0,0.0,0.14054818,0.026488423,0.0,0.0
lizard,0.10673831,0.0,0.0,0.16667241,0.048813947,0.0,0.0,0.043282192,0.2640389,0.0,0.0,0.0,0.0,0.18255146,0.04808084,0.052251752,0.15271503,0.0,0.054242983,0.00036294945,0.29699588,0.06389364,0.034334492,0.0,0.024315767,0.049980722,0.015906952,0.007884556,0.10676144,0.05621556,0.28900474,0.045517858,0.0,0.0,0.0598492,0.030073393,0.0,0.057629503,0.0,0.047849998,0.0,0.0,0.09985922,0.043926813,0.0,0.0012844168,0.0030208472,0.0,0.084213525,0.01015665,0.0,0.18900587,0.0,0.0,0.17558068,0.0,0.12702492,0.031203486,0.017772805,0.023769407,0.0,0.0,0.0,0.045859184,0.0,0.123914,0.18911673,0.06852338,0.20156968,0.0,0.14507455,0.059730433,0.0,0.01604837,0.0,0.049442824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14580522,0.0,0.0,0.0,0.06013309,0.0,0.18676987,0.0,0.0,0.0,0.0,0.053479265,0.012287414,0.13000682,0.0,0.0033072792
turtle,0.03261659,0.03820174,0.0,0.14971529,0.07606519,0.05323654,0.082499936,0.0,0.03280092,0.0,0.0,0.0,0.0,0.024029948,0.014019601,0.0,0.06851541,0.0,0.0,0.015912268,0.00014297105,0.052690823,0.08568619,0.0,0.0,0.18709695,0.0020670854,0.03129664,0.0,0.0,0.049145475,0.0,0.11158367,0.032651305,0.07369757,0.03394227,0.0,0.08535959,0.0,0.02156967,0.0,0.0,0.0,0.15112486,0.0,0.083011664,0.0,0.0,0.20920274,0.014292926,0.101788186,0.14912021,0.0022038594,0.0,0.20283924,0.04612142,0.04738963,0.051674966,0.0,0.0,0.0,0.045066815,0.0035148216,0.14383808,0.0006382009,0.11539979,0.044035316,0.0,0.16926564,0.0,0.0,0.092620894,0.0,0.0,0.0,0.054684427,0.06177552,0.09214412,0.0113069415,0.0,0.0,0.044855528,0.0,0.0,0.08095776,0.0074682757,0.028587904,0.0,0.0,0.0,0.2766702,0.0,0.0,0.0,0.00820116,0.0,0.0,0.03813817,0.09598106,0.020920698
chameleon,0.0,0.0,0.0,0.0,0.0,0.047000483,0.0008549341,0.0,0.057978094,0.0,0.0,0.0,0.016133571,0.018514939,0.07226649,0.008977789,0.012713578,0.0,0.0,0.0,0.0,0.028703926,0.17376453,0.0,0.0,0.18471654,0.0,0.0,0.12203783,0.0,0.0,0.06022198,0.0,0.0,0.055301514,0.03281038,0.03879901,0.00046605617,0.016926711,0.11479621,0.0,0.052881304,0.077721685,0.0,0.0,0.014810307,0.056757025,0.044508584,0.083351865,0.017000638,0.004043496,0.17606893,0.0075705126,0.0,0.18373926,0.0,0.14376158,0.030944746,0.0,0.09101129,0.006887432,0.0,0.0,0.0034567574,0.0,0.107520856,0.0,0.07008538,0.26086107,0.0,0.042565946,0.054355025,0.0,0.12947267,0.0,0.12095006,0.040536664,0.0,0.01822121,0.0,0.026947793,0.0,0.0019364441,0.0,0.0,0.037680767,0.0,0.0,0.009139076,0.0,0.1343061,0.0,0.0,0.0,0.0,0.0790354,0.0,0.13663663,0.0,0.0
iguana,0.065115884,0.0,0.0,0.07249151,0.109505236,0.0,0.0,0.09984017,0.08736826,0.0,0.0,0.0,0.04912713,0.1644295,0.0,0.0,0.17237067,0.0,0.0,0.0117785875,0.10293802,0.0,0.2505022,0.0,0.0,0.0,0.0,0.0,0.07287156,0.0,0.28992417,0.025023561,0.05926343,0.0,0.004911527,0.0,0.10761225,0.0,0.069252886,0.0,0.0,0.106041,0.032725576,0.009729056,0.013579134,0.14756645,0.13535795,0.06881487,0.14522055,0.0,0.14257398,0.01596783,0.0,0.0,0.23703411,0.0,0.14610472,0.078572094,0.0,0.089367405,0.0,0.0,0.0,0.15363948,0.088136174,0.01724554,0.0,0.04137034,0.08999097,0.0,0.14889786,0.012043603,0.0,0.13549665,0.0,0.17063138,0.06606865,0.0,0.0,0.0,0.0,0.01218196,0.0,0.0,0.0,0.0,0.013377175,0.0,0.03744655,0.0,0.19677696,0.0,0.0,0.0,0.0,0.0,0.04243812,0.05235195,0.0,0.054512024
caterpillar,0.13082245,0.0,0.010691483,0.088484965,0.03308382,0.0,0.0,0.0,0.009687461,0.0,0.0,0.0,0.0,0.026714113,0.0,0.0,0.016889852,0.02301268,0.0,0.0,0.12546773,0.048414778,0.15144186,0.02983677,0.004251656,0.086171016,0.0,0.0,0.0,0.0,0.0,0.050903056,0.06422254,0.010439575,0.12973285,0.012351241,0.0,0.0,0.0,0.0,0.0,0.06469324,0.094643705,0.0,0.0,0.030179001,0.0866676,0.0,0.10140705,0.041425813,0.0,0.029324045,0.0286952,0.0,0.079348914,0.0,0.06627729,0.011067633,0.0,0.0,0.0,0.0,0.0,0.078642495,0.024128713,0.07226573,0.0,0.054466605,0.11538221,0.0,0.1564185,0.070017576,0.03795594,0.04620879,0.08274581,0.021966334,0.0,0.0,0.0,0.0,0.0,0.0075948983,0.0,0.0,0.07515507,0.0,0.0,0.0,0.0,0.0,0.15337579,0.0,0.0,0.0,0.0,0.0,0.024877883,0.01532484,0.0,0.10266408
cockroach,0.065208524,0.0,0.0,0.0,0.024390342,0.0,0.0,0.08967812,0.0057367943,0.0,0.0,0.0,0.0,0.30593592,0.094730385,0.0,0.44496867,0.0,0.0,0.0,0.032554314,0.061569702,0.2578427,0.015139967,0.0,0.10330913,0.0,0.18459184,0.08009601,0.0,0.19790658,0.01284903,0.028546011,0.094671294,0.026754696,0.04425056,0.0,0.071785755,0.044762023,0.007147717,0.0,0.0020832978,0.0,0.036540084,0.0,0.090865135,0.10733004,0.22633335,0.12758774,0.0,0.162368,0.0,0.0,0.0,0.46789587,0.0,0.22508956,0.12494443,0.0954335,0.29179162,0.0,0.0,0.0,0.17428723,0.048986617,0.17798676,0.0072146114,0.0,0.22410442,0.0,0.19057289,0.12359609,0.0,0.050489888,0.10996418,0.0,0.0383507,0.0,0.036962103,0.0,0.0,0.0,0.007884786,0.0,0.24232437,0.17727794,0.037696965,0.0,0.04797836,0.0,0.22404295,0.0,0.0,0.0,0.0,0.0,0.024219986,0.011498271,0.0,0.0
beetle,0.1779588,0.07506871,0.016621124,0.0,0.072797745,0.0,0.0,0.022257878,0.22868773,0.022770138,0.0,0.0,0.0,0.0,0.0,0.068109736,0.11863024,0.0,0.0,0.11814401,0.036948003,0.0,0.053510457,0.012591664,0.05663088,0.08757844,0.0,0.0,0.13922465,0.0,0.1334288,0.04850213,0.05003058,0.0,0.005171649,0.0,0.023028266,0.10808252,0.0,0.053926986,0.0,0.0,0.0,0.11959991,0.0,0.13801546,0.096301556,0.0,0.17118189,0.09012318,0.0,0.0,0.05181915,0.0,0.29967415,0.0,0.042131748,0.11183843,0.0,0.0,0.0,0.0,0.0,0.14774671,0.10953932,0.07953629,0.07997632,0.05945804,0.23821889,0.0,0.013224434,0.0,0.0,0.118441805,0.0,0.06861149,0.0,0.001233045,0.07322073,0.0,0.0,0.0,0.0,0.0,0.08236915,0.0,0.008272914,0.0,0.0,0.0,0.17921841,0.016060364,0.0308339,0.0,0.0,0.032756414,0.07895788,0.16920869,0.0,0.0
spider,0.0,0.017457705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078719154,0.0,0.0,0.1076236,0.0,0.0,0.0,0.0,0.0033616163,0.21373475,0.033368487,0.0,0.1594679,0.0,0.0,0.057602435,0.0,0.053167094,0.046027165,0.0,0.0,0.038085856,0.0,0.0,0.1428501,0.0,0.033321157,0.0,0.0,0.004302975,0.074981004,0.0,0.014879787,0.0,0.14184129,0.121080264,0.09588426,0.109457776,0.027993845,0.0,0.0,0.13113503,0.0,0.19651395,0.0,0.059254825,0.0,0.0,0.0,0.0,0.109087914,0.010911256,0.048548557,0.04313645,0.0,0.0,0.0,0.018302817,0.021429682,0.0059079733,0.21108636,0.0,0.025127456,0.0,0.0,0.06695235,0.0,0.0,0.0,0.0,0.0,0.108683385,0.012013538,0.0,0.0,0.0,0.0,0.19867596,0.0,0.0,0.0,0.0,0.0,0.0,0.08395937,0.02066316,0.0
moth,0.16241683,0.0,0.0,0.0,0.0,0.051189654,0.0,0.0,0.21352705,0.0,0.0,0.0,0.0,0.0,0.0,0.02959612,0.0,0.0,0.0,0.0,0.033486478,0.0,0.20444548,0.0,0.0,0.063475855,0.0,0.11640279,0.14513427,0.0,0.035514347,0.0,0.0,0.0,0.013521731,0.039902072,0.0,0.055465966,0.0,0.047815353,0.0,0.019211657,0.0,0.032222547,0.0,0.0,0.13097934,0.0,0.17257789,0.002922386,0.0982468,0.0,0.0,0.0,0.07124721,0.0,0.08214818,0.0,0.0,0.0,0.0,0.0,0.085248426,0.062106393,0.0,0.063891016,0.0,0.0,0.19011913,0.0,0.11490909,0.00485868,0.009524493,0.102531165,0.0,0.08850925,0.0,0.0,0.04752736,0.0,0.0,0.0,0.0,0.0,0.108976774,0.14383204,0.0,0.0,0.22418755,0.08380206,0.28634813,0.02093995,0.0,0.0,0.03352316,0.0,0.034573868,0.0,0.05263179,0.02834146
