,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
airplane,0.0,0.011429865,0.0,0.0,0.0034423436,0.13438995,0.0,0.0,0.12223886,0.0,0.03244348,0.080614075,0.041222673,0.0,0.0,0.0,0.12581131,0.0,0.0,0.0,0.30609065,0.0,0.09666082,0.008030297,0.0,0.06401265,0.0,0.099483,0.0,0.14086305,0.0,0.0,0.0,0.016856499,0.11446472,0.0,0.07274756,0.0,0.0,0.042615637,0.0,0.21249896,0.0,0.06763305,0.0,0.0,0.06370172,0.11776074,0.0,0.0,0.0,0.0,0.10672452,0.1497822,0.18918009,0.19712092,0.0,0.0,0.0,0.15558821,0.04628258,0.0,0.0,0.0,0.019376898,0.0,0.033447012,0.008470897,0.09311353,0.10803494,0.0,0.2822491,0.04502336,0.0,0.14115551,0.054693133,0.0,0.0,0.0,0.0,0.0,0.0729203,0.0,0.20308958,0.0,0.0,0.010835569,0.06171527,0.0,0.0,0.06566662,0.07992539,0.0,0.022211354,0.034760974,0.0,0.0,0.0,0.19167401,0.14557862
alligator,0.13024732,0.0,0.0,0.0,0.107509114,0.17910504,0.074529715,0.0,0.0,0.0,0.0,0.0,0.13480726,0.0,0.0,0.03856182,0.15427567,0.0,0.0,0.05896367,0.1035198,0.0,0.0,0.0,0.039324354,0.0,0.0,0.040284686,0.087392,0.0,0.03037135,0.0,0.0,0.0,0.19842184,0.0,0.0264903,0.0,0.014110312,0.0,0.0,0.31654677,0.0,0.11887054,0.0,0.0,0.19469044,0.11443857,0.0,0.0,0.10151751,0.0,0.05613134,0.044792987,0.027053883,0.027333964,0.0,0.015874907,0.0,0.10619615,0.0,0.0,0.04080128,0.07137282,0.05392173,0.0,0.10778999,0.0,0.07535616,0.042168245,0.0,0.012234796,0.0,0.15537694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08456596,0.11131938,0.12385604,0.033874873,0.0,0.0,0.107004896,0.2175404,0.054041497,0.07844982,0.0,0.0,0.033474553,0.0,0.025208626,0.0,0.0,0.1609496,0.01793427
ant,0.0,0.014862096,0.0,0.0017520823,0.16896388,0.044265054,0.12118293,0.0,0.0,0.009077281,0.091114275,0.004336278,0.0,0.07308734,0.0,0.052064482,0.19750288,0.0,0.0,0.0,0.07623564,0.0,0.04096014,0.07173263,0.080955476,0.024846714,0.0,0.0,0.019429993,0.08011552,0.0,0.026125379,0.0,0.019016454,0.04979635,0.0,0.0,0.0,0.0,0.0556513,0.0,0.17292503,0.0,0.07930447,0.0,0.017963586,0.024336617,0.08445353,0.0,0.0,0.06686509,0.0,0.065641575,0.17017274,0.1063514,0.013119438,0.02229432,0.040466085,0.0,0.027454177,0.0,0.09236678,0.0,0.0,0.0,0.0,0.031340983,0.0,0.010791911,0.092558235,0.0,0.16152638,0.1447585,0.09858542,0.0,0.039572388,0.0,0.09325622,0.0062841172,0.0,0.092698164,0.067741215,0.0,0.083239555,0.0,0.02596867,0.064574465,0.087748215,0.045993324,0.07602534,0.11517652,0.13871178,0.0,0.0,0.0056651644,0.0,0.038961947,0.07273527,0.0992724,0.0038684935
anvil,0.0,0.013947278,0.0785277,0.12221697,0.0014693683,0.14939684,0.041111257,0.0,0.0,0.1187521,0.0,0.0,0.06394592,0.028698314,0.0,0.0,0.0,0.0,0.0,0.0,0.015235372,0.03756063,0.08956563,0.0,0.07832214,0.0,0.0,0.0,0.0,0.11672763,0.041144744,0.0,0.0,0.0,0.08642291,0.0,0.0,0.0,0.0,0.013820695,0.0,0.022099525,0.0,0.03619677,0.0075062825,0.0,0.0674503,0.057545856,0.0,0.0,0.0,0.0,0.17105195,0.15467498,0.0,0.03949675,0.0008575618,0.0,0.0,0.040346976,0.0,0.0,0.0,0.0029170774,0.0041695926,0.0,0.0,0.0093011875,0.0,0.1563848,0.0,0.055187546,0.055613473,0.022778481,0.0,0.0,0.0,0.0,0.0,0.0,0.17102826,0.0,0.03516057,0.17594346,0.0,0.07102561,0.033620544,0.03161569,0.074633636,0.08051684,0.122429304,0.10657984,0.005639561,0.0,0.0,0.056966603,0.0,0.0,0.0,0.031840287
axe,0.0,0.0,0.0,0.024613349,0.11648038,0.010514744,0.023841165,0.0,0.0,0.11017034,0.0,0.0,0.1361291,0.0,0.0,0.043730594,0.039002564,0.0,0.010945223,0.022578567,0.120175645,0.0,0.0055535566,0.009911621,0.112567976,0.019893724,0.0,0.0,0.014400575,0.044933952,0.07450336,0.005797807,0.0,0.07041016,0.076474234,0.0,0.1548901,0.0,0.0,0.040896103,0.0,0.0023849355,0.0,0.032960232,0.0,0.0,0.058259517,0.093200274,0.0,0.0,0.029020028,0.09634124,0.096473,0.062184356,0.048929486,0.036623884,0.0,0.0,0.0,0.11319203,0.0,0.0,0.0,0.0,0.0,0.015923582,0.036603298,0.0,0.0,0.05093882,0.0,0.23522651,0.0,0.104023136,0.047593933,0.027090548,0.0,0.003344982,0.040506613,0.0,0.06424155,0.0,0.02779372,0.085224085,0.0,0.0771617,0.009627351,0.18502185,0.11460445,0.0,0.0,0.077573396,0.0,0.0,0.0,0.0,0.0,0.0,0.055477027,0.0
beaver,0.0,0.056827087,0.0,0.056333005,0.15405591,0.105923936,0.015284333,0.0,0.022149708,0.04041563,0.092782885,0.0,0.010328963,0.079267174,0.0037619509,0.1275786,0.019019153,0.0,0.0,0.004137121,0.27118912,0.0,0.0,0.0,0.07128486,0.01704834,0.01528717,0.0,0.05476002,0.021385286,0.0,0.12828553,0.0,0.0,0.05416304,0.0,0.0,0.0,0.0,0.0,0.0,0.241902,0.0,0.0032560509,0.0,0.008581165,0.009117845,0.0,0.021194827,0.0,0.12039442,0.0,0.058128014,0.026766768,0.11094101,0.25978157,0.0,0.0,0.0,0.008698752,0.0,0.0,0.0,0.0,0.026902437,0.0,0.0,0.0699531,0.030297926,0.12464847,0.0,0.12391189,0.04172115,0.027795335,0.0,0.118330404,0.0,0.0,0.032001816,0.0,0.16007201,0.0014642365,0.09202359,0.10824843,0.0,0.0,0.0,0.11231084,0.23708715,0.014939684,0.037630983,0.2347476,0.0139799975,0.0,0.0,0.0,0.0,0.0,0.044828203,0.040421117
beetle,0.0,0.0,0.0,0.02592027,0.110048346,0.0,0.017086457,0.0,0.08446781,0.11328283,0.07411434,0.0,0.22582532,0.0,0.033931367,0.0,0.09875223,0.0,0.015242018,0.0,0.11192618,0.0,0.0,0.0,0.0053159855,0.0,0.018676737,0.13961776,0.0,0.18633007,0.027332965,0.0,0.08955836,0.04353326,0.1011794,0.0,0.0,0.0,0.0,0.058425047,0.0,0.24726419,0.0,0.0,0.0,0.050617717,0.030414317,0.013517791,0.0,0.07223491,0.0,0.0,0.12643647,0.13723743,0.06516752,0.007890857,0.0,0.0,0.0,0.04208108,0.0,0.0,0.0,0.049797304,0.14642127,0.0,0.20819059,0.108416766,0.0,0.11615482,0.04755689,0.10190006,0.019082904,0.17476799,0.0,0.07431264,0.07908493,0.0,0.0,0.0,0.16150483,0.0,0.0,0.21310112,0.05490268,0.040170833,0.11469112,0.065773055,0.075483516,0.17148982,0.0035070702,0.032043196,0.0,0.09613922,0.0,0.041106313,0.05049442,0.0,0.09385454,0.0
bicycle,0.0,0.0,0.08239755,0.0,0.053073417,0.047498673,0.06485866,0.05692736,0.0,0.15907016,0.0,0.08812989,0.07029635,0.0,0.0,0.0,0.1312044,0.0,0.107549965,0.048781395,0.20767678,0.0,0.0,0.0,0.07844269,0.0,0.0,0.015438652,0.0,0.16255498,0.12683082,0.0,0.0,0.0940386,0.08725158,0.0,0.0,0.0,0.0,0.004338898,0.0,0.35805663,0.0,0.10896397,0.016143419,0.0,0.089327574,0.013379401,0.0,0.0,0.07910691,0.027683958,0.123387784,0.20661677,0.03801407,0.11772573,0.0038851872,0.067003295,0.0,0.06756395,0.0,0.0,0.0,0.0,0.0,0.0,0.09120302,0.0,0.04694338,0.19331,0.0,0.02815374,0.0,0.05309803,0.0,0.12496136,0.11907384,0.0,0.0,0.0,0.20785916,0.0,0.0,0.062476665,0.0,0.04156405,0.0325679,0.041257992,0.2840692,0.082560316,0.120270185,0.10361941,0.060785662,0.0806486,0.0,0.0,0.0,0.13530105,0.12206624,0.137327
bison,0.0,0.0,0.05033116,0.04796555,0.0,0.16119449,0.0,0.0,0.078025445,0.0025153048,0.01727347,0.0,0.0,0.0,0.0,0.023038361,0.053975474,0.010647541,0.0669465,0.0,0.016079266,0.0,0.12608276,0.025066162,0.049762074,0.09562229,0.047256537,0.0,0.08629684,0.03938999,0.054591388,0.0,0.06023635,0.10184568,0.20019114,0.0,0.05491948,0.0,0.0,0.0,0.0,0.0021437397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1104559,0.0,0.15168203,0.0,0.0,0.0,0.0,0.0,0.005779214,0.0,0.011827346,0.0,0.031296156,0.006107066,0.0,0.107030086,0.1858072,0.0,0.20098579,0.014997328,0.17066467,0.0,0.17700662,0.0,0.038867656,0.032466475,0.0,0.0913859,0.0,0.047639456,0.10000466,0.0,0.06715904,0.0,0.2775097,0.2859849,0.0,0.04240689,0.13063745,0.0,0.0,0.04765304,0.0068979543,0.0,0.0,0.10014191,0.0627221
boat,0.0,0.0,0.0,0.0,0.14626819,0.16342044,0.06323473,0.0,0.0,0.014898451,0.101498194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06565784,0.23921676,0.0,0.05941663,0.04908085,0.062523946,0.0,0.00455519,0.0,0.0,0.026387716,0.03896659,0.08215688,0.0,0.00351917,0.024913602,0.0,0.13110997,0.0,0.02908221,0.055069637,0.0,0.10319625,0.0,0.04278523,0.0,0.0,0.0,0.092309855,0.0,0.0,0.044539206,0.04101871,0.0159219,0.0,0.054333642,0.05498881,0.0,0.099158496,0.0,0.016541015,0.0,0.091976635,0.0,0.0,0.08933584,0.0,0.048020724,0.052685842,0.0,0.0,0.0,0.11783299,0.012575092,0.0761394,0.0,0.050478548,0.0,0.0,0.0,0.0,0.0,0.035118666,0.0,0.03991937,0.0,0.0,0.0487584,0.07747023,0.12005908,0.0,0.08339997,0.065438256,0.0,0.0,0.0,0.0,0.0,0.070517294,0.14097255,0.0
