,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.073266745,0.0,0.016491234,0.055774264,0.058583565,0.0,0.0,0.007438872,0.0,0.004869537,0.0,0.16558337,0.058299728,0.07329761,0.0,0.087679625,0.070803404,0.14510623,0.20301072,0.0,0.011871349,0.028623573,0.0,0.0,0.0,0.08894575,0.0,0.004462223,0.03918036,0.0,0.002654992,0.07243863,0.1579271,0.0,0.0,0.024335891,0.0,0.011432996,0.0,0.071954034,0.16378242,0.25268617,0.0,0.0,0.0,0.0,0.036055006,0.08250041,0.0,0.28695294,0.0963822,0.0,0.0,0.087510146,0.0,0.24912593,0.15033819,0.06250391,0.0,0.0,0.03712491,0.1865032,0.16268098,0.0,0.019442145,0.0,0.10712542,0.17281379,0.33310196,0.029216662,0.012504581,0.0,0.14726011,0.0,0.15270598,0.0,0.0,0.14185347,0.0,0.0,0.027350564,0.0,0.11997078,0.11087003,0.0,0.0,0.0,0.07909514,0.0,0.072879694,0.07693888,0.11895094,0.054070767,0.08843076,0.09159542,0.0,0.0,0.0,0.10292809,0.17082419
lizard,0.118733525,0.0,0.0,0.0,0.16115494,0.0,0.0,0.0029499717,0.114073604,0.0,0.0,0.19277214,0.0,0.09678236,0.0,0.20693347,0.0,0.0,0.0,0.02180459,0.016526606,0.0029300004,0.0,0.0,0.0,0.103535324,0.046332955,0.0,0.0,0.0,0.0,0.0,0.089879215,0.003097662,0.012626883,0.0,0.112263165,0.0,0.0,0.09151547,0.23719025,0.19925424,0.07083015,0.0,0.0,0.018634822,0.06733838,0.0,0.0,0.07244678,0.040395636,0.06713319,0.0,0.12602285,0.054150328,0.114077404,0.20486455,0.0,0.0,0.039309405,0.05095893,0.0,0.06309019,0.0,0.0,0.0,0.0,0.16549955,0.2514759,0.0,0.0,0.0,0.0,0.0,0.26683223,0.0,0.0,0.18125679,0.0,0.08079679,0.0,0.0,0.0,0.0037197983,0.11010867,0.0,0.0,0.086029544,0.0,0.0,0.0,0.157869,0.060587417,0.21189877,0.0,0.0,0.0,0.0,0.14190887,0.106018856
turtle,0.0,0.0,0.0,0.0,0.10717944,0.0,0.0,0.027606789,0.0,0.0,0.0,0.1326614,0.0,0.0,0.0,0.14457467,0.06635452,0.072574235,0.08930457,0.0,0.0,0.0,0.0,0.0,0.0,0.021697812,0.0,0.010726813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016638916,0.02902041,0.0,0.032381468,0.030700414,0.071791045,0.12352966,0.0,0.0,0.0,0.0,0.020291476,0.0035702437,0.0065816734,0.010580443,0.019394476,0.0,0.0,0.1103357,0.0,0.024034224,0.0059995097,0.012821147,0.0,0.009043144,0.061038703,0.0,0.11589133,0.017147312,0.0,0.03238142,0.0,0.03831591,0.1365054,0.0,0.023217913,0.0,0.07015355,0.0,0.04649295,0.0015970903,0.0,0.15320621,0.0,0.0,0.014324974,0.0,0.0,0.059820846,0.0,0.0,0.0,0.04784302,0.0,0.0,0.0,0.09399883,0.0,0.103484035,0.0,0.0,0.0,0.0,0.10909039,0.028040905
chameleon,0.05820379,0.0,0.0,0.0055002347,0.106891245,0.0,0.0,0.0,0.03549437,0.0,0.09350733,0.06076571,0.016628215,0.08670606,0.0,0.1475218,0.0,0.09974264,0.10603083,0.0,0.0,0.0,0.025018834,0.0,0.0,0.09014079,0.015888473,0.0,0.17146374,0.0,0.0,0.0,0.14201224,0.10002374,0.028259967,0.0,0.14836869,0.004678592,0.024336701,0.20719121,0.034102485,0.06399851,0.1374054,0.0,0.0,0.0,0.10037093,0.039933972,0.0,0.09866443,0.1866842,0.0,0.0,0.0,0.0,0.07112538,0.10066409,0.0,0.083906084,0.0,0.0,0.0,0.028432757,0.0,0.025683861,0.0,0.0,0.016554562,0.31892103,0.15019937,0.036293507,0.0,0.0,0.0,0.14107598,0.022695353,0.0,0.25531018,0.0,0.044956956,0.030152425,0.0,0.02333678,0.106701,0.0,0.0,0.0,0.021425877,0.0,0.01972637,0.0,0.17082174,0.03800718,0.18719539,0.0,0.0,0.0,0.048035964,0.044046547,0.065574795
iguana,0.021327559,0.0,0.0,0.0,0.05292149,0.0,0.0,0.0,0.074433535,0.04644877,0.0,0.12706529,0.0,0.099986956,0.0,0.16711915,0.024140714,0.18695308,0.0,0.0,0.0,0.0,0.066820756,0.0,0.0,0.0,0.0,0.1055967,0.004521683,0.0,0.0,0.0,0.084472656,0.1178106,0.0,0.0,0.0,0.0,0.0,0.023804618,0.0994974,0.11992803,0.03261433,0.0,0.07555496,0.0,0.09975831,0.051671483,0.0,0.20396231,0.07762465,0.0,0.0,0.0,0.0,0.02676531,0.0768598,0.0,0.042551674,0.0,0.0,0.0,0.0,0.0,0.16893344,0.0,0.02882072,0.03552541,0.29211274,0.069289766,0.025993548,0.0,0.022488128,0.00089232624,0.33379886,0.0,0.0,0.20485045,0.0,0.036681548,0.0056429617,0.0,0.0,0.12850843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2690718,0.0080594085,0.23208036,0.057264272,0.0,0.0,0.0,0.12623185,0.08695939
caterpillar,0.0,0.0,0.0,0.0,0.17899354,0.0,0.0,0.0,0.0,0.0,0.059457462,0.076297164,0.0,0.050607298,0.0,0.09276491,0.0,0.04553833,0.06687502,0.0,0.0,0.0,0.04274611,0.0,0.0,0.06517497,0.0,0.0,0.0,0.0,0.0,0.0,0.012822099,0.098494045,0.0,0.0,0.12038407,0.0,0.0,0.17571229,0.0,0.09954347,0.024120178,0.0,0.0072980532,0.0,0.0,0.0057134796,0.0,0.040488828,0.08804101,0.0,0.0,0.05751785,0.0,0.020006336,0.0045366264,0.018532475,0.08236878,0.0,0.035602026,0.025337903,0.0595008,0.0,0.0,0.019316725,0.0,0.036740467,0.16564076,0.027729308,0.0,0.0,0.0,0.0,0.05628173,0.0,0.0,0.12139757,0.0,0.0,0.0,0.0,0.014446741,0.07380859,0.0,0.0028754622,0.0,0.050282557,0.0,0.0,0.0,0.08937541,0.0,0.15559734,0.050045375,0.0,0.0,0.0,0.02374715,0.06872378
cockroach,0.18610895,0.0,0.0,0.0,0.32220402,0.0,0.0,0.23193929,0.0,0.0,0.0,0.0,0.0,0.015410643,0.0,0.20802656,0.0,0.14039804,0.0,0.20439409,0.0,0.0,0.0,0.0,0.0,0.24655586,0.0,0.0,0.0,0.08757533,0.0,0.056463756,0.40001237,0.25111312,0.0,0.0,0.11082863,0.010119589,0.0,0.3208264,0.24670792,0.27297243,0.1076128,0.0,0.04498403,0.0,0.14234298,0.0,0.0,0.21370624,0.3164041,0.054602668,0.0,0.13042557,0.0,0.00789576,0.081916116,0.20290506,0.0,0.0,0.0,0.0,0.0,0.0,0.0796798,0.0,0.0,0.13144444,0.32700032,0.058799073,0.027202401,0.0,0.0,0.1279663,0.28914264,0.0,0.0,0.40709534,0.019834923,0.09243922,0.0510604,0.0,0.0,0.25939667,0.0,0.0,0.0,0.07735835,0.0,0.0,0.0,0.39363366,0.13441513,0.29261437,0.0,0.0,0.0,0.033435002,0.075588,0.13744904
beetle,0.025898341,0.0,0.0,0.0,0.26187727,0.058716938,0.0,0.0,0.0040396117,0.0,0.014516856,0.0087751765,0.05955498,0.0,0.0,0.0,0.003274778,0.08947193,0.0,0.0,0.0,0.032892123,0.0,0.0,0.0,0.0,0.0,0.06565622,0.0,0.0,0.0050149783,0.0,0.26201773,0.0,0.07708338,0.03997103,0.0,0.029469693,0.0,0.06704036,0.16903128,0.09911333,0.0,0.0,0.0,0.0,0.15831183,0.0,0.0,0.026858762,0.0374539,0.0,0.0,0.0,0.029156564,0.20638347,0.19108397,0.0,0.06312199,0.057976432,0.15789697,0.02270914,0.014730152,0.17344917,0.0,0.0,0.04393558,0.08560719,0.27156672,0.0,0.0019962825,0.0,0.0072749257,0.0,0.0,0.0,0.0,0.19349799,0.0,0.099511355,0.0,0.0,0.09708829,0.0,0.030520225,0.0,0.0,0.12154241,0.0,0.0,0.0,0.28475785,0.0,0.028676126,0.009360348,0.0,0.0,0.00077800266,0.21272948,0.063909285
spider,0.04139391,0.0,0.0,0.0,0.12645258,0.007927208,0.0,0.0,0.0906474,0.0,0.0,0.17363605,0.0,0.029913763,0.0,0.12931259,0.017754292,0.026665855,0.1020561,0.113462746,0.0,0.1488916,0.031235013,0.0,0.0,0.099939175,0.0,0.0,0.0,0.0,0.0,0.0,0.10964468,0.0,0.0,0.0,0.0533026,0.0,0.32277095,0.06802871,0.05632641,0.22996661,0.0,0.0,0.028796036,0.0,0.0,0.0,0.0,0.16778472,0.14294215,0.0,0.0,0.10789301,0.0,0.0647129,0.1762541,0.018944304,0.1422598,0.0,0.14280796,0.09120124,0.0,0.0,0.15376596,0.1427879,0.1546518,0.13061525,0.3405964,0.0,0.0,0.0,0.0,0.0,0.15782599,0.032131996,0.0,0.08855319,0.010677112,0.09472187,0.0,0.0,0.0,0.045424256,0.082309335,0.0,0.0,0.0,0.014970883,0.0,0.03211631,0.06021264,0.0,0.14851093,0.023835436,0.0,0.0,0.0,0.26051325,0.0456981
moth,0.0,0.0,0.024891946,0.0,0.10583991,0.07429508,0.20946342,0.0,0.0,0.0,0.0,0.3390346,0.0,0.05240819,0.049482383,0.16293037,0.0,0.04742607,0.05566152,0.1552829,0.0,0.026123956,0.20957999,0.0,0.0,0.11359289,0.054915313,0.0,0.058948904,0.0,0.0,0.0154791195,0.13647833,0.042776585,0.0,0.17608398,0.08196307,0.17474283,0.08162123,0.09226558,0.0,0.22237992,0.08201234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056511167,0.0,0.0,0.0,0.0,0.17713428,0.2932908,0.043319784,0.12666507,0.03563095,0.0,0.0,0.082421355,0.0,0.0,0.1491789,0.0,0.13118774,0.4335573,0.0,0.04004963,0.0,0.0,0.0,0.05434857,0.0,0.0,0.20561667,0.0,0.090477884,0.002956435,0.0,0.09204049,0.17342854,0.015395962,0.0,0.0,0.0,0.0,0.0,0.0,0.15839589,0.0,0.118531436,0.016758408,0.0,0.0,0.0,0.0,0.0
