,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.0,0.017958194,0.036520768,0.11266866,0.0704866,0.14147322,0.027486296,0.037272833,0.13719746,0.0764694,0.12316105,0.0,0.022857226,0.1707162,0.05448967,0.014248766,0.19297254,0.088696115,0.00086200424,0.0,0.006991254,0.0,0.0,0.04246864,0.0,0.0,0.0,0.029787343,0.023796353,0.0,0.0,0.1147336,0.0054371366,0.0,0.0,0.23937784,0.01966526,0.014999006,0.04681877,0.13601436,0.07062241,0.0,0.14330973,0.048215795,0.040052384,0.08152239,0.16036649,0.019181302,0.21139643,0.0,0.005650824,0.028924292,0.0,0.11558226,0.0,0.0,0.23831804,0.0,0.07606516,0.0800468,0.040782206,0.0,0.0,0.0,0.0,0.064829394,0.06446041,0.0,0.0,0.0,0.075192,0.019682316,0.18346061,0.046961047,0.12304135,0.0,0.08527838,0.0,0.046455845,0.0,0.0,0.0,0.16238555,0.0,0.056656197,0.0,0.0,0.12323893,0.0,0.0023003109,0.0,0.0,0.0,0.18995033,0.0,0.09703341,0.0,0.0,0.05375607,0.0
lizard,0.098332606,0.0,0.104414836,0.15719064,0.053759754,0.33236554,0.18568416,0.0,0.037768625,0.09717368,0.26058915,0.13415308,0.0,0.16928914,0.10290002,0.0,0.21462056,0.01955157,0.09746219,0.0,0.012576232,0.0,0.0,0.04684574,0.0,0.0,0.0,0.0,0.10246565,0.0,0.117755935,0.0,0.075071454,0.0,0.0,0.11197418,0.05874922,0.0,0.0,0.029954605,0.0,0.05690975,0.022358375,0.064841375,0.08259789,0.03697454,0.06866792,0.087020636,0.021484181,0.0,0.0,0.1210374,0.12493282,0.0,0.032698758,0.0,0.25825346,0.0,0.0,0.0,0.16491142,0.02163162,0.0,0.0,0.0,0.037784364,0.01118773,0.0,0.08729764,0.0,0.0,0.023901565,0.024736814,0.05084179,0.088019766,0.0,0.0,0.1137179,0.14621344,0.0,0.0,0.0,0.03481952,0.0,0.056188826,0.0,0.0,0.2397818,0.034285326,0.15470037,0.0,0.0,0.039122414,0.3039034,0.0,0.0,0.004876351,0.05870813,0.16076954,0.22453675
turtle,0.15775175,0.0,0.090570405,0.19026671,0.014088411,0.13899867,0.0,0.041199386,0.02230877,0.0,0.014898893,0.022740353,0.0,0.094835676,0.0,0.0,0.061519396,0.0,0.13269246,0.0,0.016699234,0.0,0.0,0.021197762,0.0,0.0,0.0,0.025317274,0.031955257,0.0,0.0,0.113171645,0.07744516,0.0,0.0,0.07235089,0.08580491,0.0,0.008896848,0.06581189,0.0,0.0,0.0,0.14610216,0.0,0.082542874,0.20428686,0.111228645,0.016207427,0.0,0.0,0.08694897,0.0,0.09040561,0.0,0.0,0.10262708,0.0,0.0,0.0,0.10399477,0.0,0.10454211,0.00044710934,0.0,0.082883485,0.0,0.0,0.0045437384,0.0,0.03494525,0.0,0.098316446,0.0832981,0.13924584,0.0,0.07568785,0.0,0.03327042,0.0,0.044498377,0.08141486,0.0,0.0,0.016702693,0.0,0.0,0.1377379,0.0,0.11892918,0.0,0.0,0.06239925,0.25777408,0.0,0.04081877,0.15802957,0.008030135,0.07441047,0.017557222
chameleon,0.0,0.15313418,0.0,0.20574419,0.0,0.005441906,0.25652477,0.01316116,0.03553496,0.10837634,0.044434685,0.0,0.006020963,0.018984308,0.0897741,0.0,0.10336502,0.0,0.0,0.0,0.040199704,0.0,0.0,0.13039598,0.0,0.0,0.0,0.0,0.12987433,0.0,0.0,0.07910614,0.0,0.0,0.0,0.20489596,0.0,0.0,0.064768866,0.0,0.041934937,0.0,0.04231844,0.02538747,0.0,0.10669448,0.08584204,0.040093463,0.1287831,0.0,0.0,0.11322161,0.096668676,0.0,0.12337622,0.0,0.07813822,0.0,0.013922555,0.0,0.06155157,0.044333577,0.12971729,0.0,0.0,0.18182793,0.0067996923,0.0,0.0,0.025906727,0.0,0.0,0.049064644,0.22911397,0.15074694,0.0,0.0,0.0,0.05092366,0.0,0.0,0.0,0.0,0.0,0.077284984,0.0,0.0,0.18765694,0.0,0.20082547,0.0,0.0,0.016653955,0.0,0.0,0.0075041465,0.0,0.0,0.20830937,0.19273931
iguana,0.0,0.0,0.0,0.2660439,0.03047342,0.17417312,0.08089402,0.0,0.057898812,0.0,0.15848605,0.0,0.0,0.116711505,0.0,0.0,0.17278796,0.117959,0.044803306,0.01630926,0.0,0.0,0.0,0.08611967,0.0,0.0,0.0,0.06639021,0.10166175,0.0,0.0,0.11054773,0.047164496,0.0,0.0,0.26677972,0.0243029,0.0,0.04719282,0.18687573,0.060314577,0.08546656,0.009442912,0.06313221,0.0,0.1175257,0.13834326,0.0,0.19337784,0.0,0.0,0.17192696,0.15007597,0.038832996,0.012790708,0.0,0.22829652,0.0,0.11441944,0.0,0.07727212,0.0,0.2737152,0.0,0.0,0.15745704,0.0,0.0,0.072653435,0.0,0.005473339,0.0,0.10074546,0.030847274,0.20620136,0.0,0.056037597,0.08817357,0.10111342,0.0,0.0,0.0011100657,0.0,0.0,0.0,0.0,0.0,0.3528873,0.0,0.010523129,0.0049817637,0.0,0.0,0.17614727,0.0,0.0,0.0,0.038231466,0.0,0.21709242
caterpillar,0.0,0.0,0.06086671,0.076656036,0.123748824,0.1028498,0.05074104,0.053681377,0.009057541,0.0,0.18378799,0.0,0.0,0.05770693,0.024076087,0.0,0.11479375,0.0,0.0,0.078082286,0.04016976,0.0,0.019353904,0.105668396,0.0,0.0,0.0,0.0,0.13655081,0.0,0.048380096,0.04961603,0.08292162,0.0,0.0,0.13237356,0.11345566,0.0,0.0,0.021581411,0.08303925,0.0,0.03705456,0.14175646,0.0,0.043751378,0.043439094,0.051794108,0.01059946,0.0,0.0,0.0,0.018651571,0.071557045,0.00925879,0.0,0.18601908,0.0,0.021588419,0.0,0.0,0.0,0.045771934,0.0,0.0,0.078173354,0.0,0.0,0.0,0.0,0.0045424867,0.0,0.102739975,0.06281482,0.13344915,0.0,0.029621713,0.009324385,0.0,0.0,0.0,0.0,0.02631141,0.0,0.0,0.079325736,0.0,0.1457276,0.032807294,0.12553163,0.00682538,0.0,0.06876244,0.0,0.0,0.07659219,0.0,0.0,0.058520112,0.058144607
cockroach,0.0,0.0,0.13296238,0.18665607,0.1618831,0.16053423,0.28154007,0.0,0.22236295,0.0,0.1335902,0.06676884,0.0,0.11988773,0.024229847,0.0,0.17549606,0.023742149,0.0008661989,0.0,0.0,0.0,0.0,0.09524001,0.0,0.0,0.0,0.040022705,0.14436539,0.0,0.0,0.122309454,0.0,0.0634413,0.027461048,0.12222231,0.041746136,0.06046999,0.0,0.105131514,0.0,0.0,0.01658373,0.16976853,0.0,0.3470671,0.0,0.06130852,0.13159391,0.0,0.0,0.0,0.0068362127,0.19095723,0.076642044,0.0,0.31797233,0.032310795,0.0,0.0,0.09065245,0.0032105092,0.14895621,0.0,0.0,0.14104387,0.09991802,0.0,0.0,0.0,0.0,0.0,0.1970416,0.0,0.0060347095,0.0,0.12579396,0.117625356,0.0,0.0,0.01227482,0.21654966,0.08088768,0.0,0.0,0.0,0.0,0.27969173,0.0,0.11249277,0.08304292,0.0,0.02696265,0.0,0.0,0.016128866,0.0,0.0,0.21636981,0.09085133
beetle,0.0,0.0,0.14659217,0.12571907,0.038425848,0.09580448,0.098524846,0.0,0.07105371,0.0,0.0,0.0,0.07426758,0.027233126,0.0,0.0,0.083986014,0.21941374,0.08427349,0.0,0.0,0.0,0.0,0.2670204,0.033615887,0.074668154,0.0,0.0,0.1617165,0.0,0.0,0.06386104,0.0,0.0,0.0,0.3477794,0.14326473,0.0,0.051545985,0.020231068,0.0,0.06021064,0.14824305,0.34174404,0.11312795,0.07022001,0.044325657,0.18884058,0.19474225,0.0,0.0,0.0,0.0,0.02629026,0.0028953813,0.0,0.3654262,0.0,0.0,0.0,0.25234735,0.0,0.012071056,0.0,0.0,0.04303976,0.060949482,0.0,0.0,0.0,0.0,0.0,0.0,0.14839658,0.0,0.0,0.18531317,0.078118846,0.028710539,0.10678423,0.0,0.11385009,0.053510036,0.0,0.0,0.0,0.0,0.27097657,0.0,0.04356098,0.019680485,0.0,0.026623402,0.18516585,0.0,0.0,0.0,0.0,0.061336536,0.0697182
spider,0.15749766,0.0,0.08484642,0.11886652,0.12923759,0.20390823,0.0,0.09578714,0.04270921,0.085539445,0.07869749,0.0,0.0066614803,0.051300764,0.10350814,0.0,0.08124173,0.0,0.13281481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03244257,0.0,0.0,0.07316566,0.032815963,0.08027919,0.0,0.18201604,0.040512405,0.0,0.0,0.0,0.053446006,0.0,0.0,0.057347294,0.027856974,0.16401277,0.22953647,0.00486676,0.05099521,0.0,0.0,0.09572599,0.0,0.064753264,0.15423302,0.0,0.22619101,0.0,0.0,0.0,0.15755183,0.071484804,0.17672253,0.0,0.0,0.1232152,0.0,0.0,0.0,0.0,0.0631914,0.0,0.13579455,0.0,0.22575669,0.0,0.0,0.09148569,0.05605132,0.0,0.0063192816,0.05360413,0.0,0.0,0.069117464,0.0,0.0,0.17944863,0.0,0.07364161,0.0356225,0.0,0.0,0.057426427,0.0,0.0,0.054202203,0.021401804,0.15263312,0.055431627
moth,0.0,0.14378482,0.15112945,0.11805914,0.0,0.17357692,0.15349413,0.13460432,0.003646181,0.03754127,0.11313695,0.11398418,0.0,0.15860301,0.09142166,0.0,0.21281318,0.17616975,0.03839448,0.040416658,0.0,0.0,0.0,0.119374245,0.03676565,0.0112757385,0.0,0.023502968,0.030888204,0.0,0.0,0.007891908,0.0,0.028504461,0.0,0.21780251,0.0,0.0,0.034639552,0.0,0.055048104,0.11991732,0.16321605,0.059827518,0.05738689,0.0,0.055355236,0.041267134,0.11945343,0.0,0.16748132,0.0061823525,0.14776215,0.0,0.0,0.0,0.17227034,0.0,0.14749414,0.0043653655,0.02344121,0.0,0.08703604,0.0069719516,0.0,0.10939497,0.0,0.0,0.0,0.0,0.09564639,0.026075156,0.09418747,0.005334737,0.15459457,0.0,0.04889317,0.0,0.13634305,0.0,0.0,0.0,0.0057210084,0.060239576,0.032909952,0.0,0.0,0.26043975,0.0,0.049366694,0.0,0.0,0.091118515,0.061438244,0.0,0.019852193,0.0,0.0,0.06761086,0.20246825
