,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
airplane,0.03796878,0.1244479,0.0,0.0,0.015195938,0.087635785,0.0,0.0,0.09584116,0.0,0.1041622,0.25720716,0.027545858,0.0,0.0,0.0,0.053120963,0.0,0.0617344,0.0,0.0,0.034702703,0.0,0.20631565,0.021984648,0.12735139,0.0,0.0,0.0,0.0,0.0,0.04286548,0.0,0.05418256,0.0,0.0,0.0,0.07488921,0.00195599,0.0,0.0964429,0.029444952,0.12852715,0.0,0.0,0.17521772,0.0,0.2410558,0.048419222,0.0,0.0,0.0,0.0,0.0,0.0,0.09011752,0.18624654,0.058521856,0.0,0.0,0.0,0.0,0.0,0.0,0.08729276,0.0,0.12362729,0.011414556,0.10798647,0.0,0.054823995,0.38194066,0.09933,0.0,0.0,0.07733754,0.0,0.022024997,0.0,0.12626706,0.0,0.21756673,0.0,0.0,0.10875991,0.019263878,0.12890421,0.039466217,0.0,0.23725891,0.0,0.0,0.13744581,0.0,0.062207103,0.05703643,0.058394864,0.14830725,0.0,0.0
alligator,0.0,0.0,0.0,0.03082944,0.0,0.0,0.013729313,0.0396616,0.1166981,0.0,0.110194996,0.16929741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03417904,0.09429335,0.17067584,0.018035036,0.22923274,0.0,0.0,0.0,0.010881435,0.0,0.006144382,0.064552225,0.0,0.0,0.0,0.15694681,0.004023269,0.0,0.0011575054,0.0,0.0,0.0,0.0,0.0,0.23617914,0.0,0.15587986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055806555,0.0,0.011480663,0.0,0.0,0.0,0.0,0.09670006,0.0,0.035795607,0.032497667,0.09723233,0.0,0.0,0.074128866,0.0,0.25871667,0.24708913,0.0015737191,0.0,0.08840135,0.0,0.0,0.0,0.036852684,0.123133965,0.1010073,0.0,0.052062817,0.27817515,0.17241721,0.07250182,0.04267779,0.056504283,0.21856909,0.0,0.05651627,0.19246948,0.0,0.0,0.0,0.14448836,0.08596386,0.0,0.0
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054195303,0.039843224,0.0,0.050159115,0.0719507,0.0,0.0074801333,0.0,0.0,0.0,0.0,0.013805,0.022746297,0.0,0.061189838,0.009326061,0.064327866,0.009945106,0.05382809,0.0022441186,0.0,0.028729133,0.0,0.0,0.02462107,0.0,0.12296535,0.0,0.0,0.0,0.16628584,0.10470528,0.0,0.0019396469,0.0,0.0,0.0,0.010568194,0.01932562,0.05023133,0.12984742,0.0147988275,0.0,0.0,0.0,0.0,0.005764935,0.03831871,0.007898169,0.011073213,0.055889163,0.06559988,0.0,0.0,0.007051767,0.0760684,0.0,0.04868143,0.08446473,0.028873198,0.035894476,0.12547933,0.0,0.0,0.25766492,0.0,0.0,0.0,0.041947223,0.0,0.040839985,0.0,0.0894166,0.07338645,0.0807997,0.075529724,0.0,0.012448039,0.0,0.046822254,0.0,0.0,0.16730589,0.0,0.0,0.11775175,0.0,0.0,0.0,0.0,0.031616107,0.030254455,0.028117284
anvil,0.08407128,0.067359,0.0,0.026620826,0.0,0.0,0.0,0.026654582,0.049163133,0.0,0.027208317,0.25730973,0.0,0.0,0.0,0.0,0.07034247,0.0,0.021884734,0.0,0.0,0.15919167,0.0,0.049796887,0.062634915,0.007812202,0.0,0.0,0.0,0.043512914,0.0,0.0,0.0,0.1196257,0.0,0.0,0.0,0.03781104,0.05271984,0.0,0.12855864,0.0,0.0,0.0,0.0,0.08483442,0.0,0.13772777,0.051527865,0.0,0.0,0.0,0.0,0.0,0.027854674,0.07266831,0.015678443,0.038769227,0.022875443,0.0,0.0,0.12578009,0.0075614285,0.0,0.10683088,0.0,0.06283043,0.0682238,0.13051768,0.0,0.0,0.17797562,0.068695575,0.0,0.0,0.04079233,0.0,0.13068558,0.0,0.108665526,0.0,0.07847946,0.0067757443,0.0,0.0,0.0,0.029320538,0.0,0.043504026,0.09135244,0.0,0.10616699,0.0571624,0.0,0.0,0.0,0.0,0.07340386,0.026821995,0.107993126
axe,0.09847696,0.095207244,0.0,0.0,0.07564081,0.112301365,0.0,0.034149542,0.19883002,0.0,0.20604074,0.21051465,0.05764076,0.0,0.0,0.0,0.0,0.0,0.08085329,0.0,0.0,0.035929486,0.0,0.0,0.0637203,0.033538282,0.0,0.0,0.0,0.0,0.0,0.011343196,0.0,0.03929662,0.0,0.0,0.0,0.07389127,0.057980277,0.0,0.0,0.0,0.0,0.0,0.07584877,0.10170166,0.0,0.2317551,0.17064543,0.018062718,0.0,0.0,0.0,0.0,0.011032714,0.052977435,0.0,0.030721996,0.0,0.0,0.0,0.12120265,0.0,0.0,0.060426347,0.0,0.0,0.0,0.09873539,0.0,0.0,0.25220585,0.0,0.0,0.0,0.02908389,0.0,0.0,0.0,0.15549871,0.10163618,0.08908939,0.109299645,0.0,0.049036484,0.0,0.052311428,0.0,0.05281323,0.25331044,0.08194202,0.02528574,0.1448831,0.0,0.0,0.0,0.0,0.14864847,0.1182541,0.0
beaver,0.11358957,0.076033324,0.0,0.0,0.055146627,0.0,0.04093584,0.06578621,0.20952895,0.0,0.052926768,0.22708608,0.0,0.0,0.0,0.0,0.0,0.0,0.023870276,0.0,0.0,0.0,0.004723139,0.0,0.060797844,0.0,0.0,0.0,0.0,0.0,0.0,0.0029455535,0.14102067,0.028290093,0.0,0.03786101,0.0,0.03897518,0.10155741,0.0,0.0,0.0,0.0,0.0,0.0,0.033847462,0.0,0.18092056,0.103175245,0.0,0.0,0.0,0.0,0.016392931,0.0,0.0,0.0,0.0,0.0066479407,0.0,0.0,0.0,0.0,0.0,0.12460938,0.0,0.0,0.0,0.0,0.0,0.0,0.20732188,0.084403545,0.03464848,0.0,0.0,0.0,0.0,0.0,0.0,0.0841511,0.12180926,0.0,0.0,0.030200224,0.0,0.09532505,0.015559411,0.010805613,0.255391,0.0,0.05013101,0.15525289,0.0,0.0,0.07023717,0.05598053,0.053096145,0.15204746,0.046385687
beetle,0.093226895,0.0,0.0,0.0,0.21633947,0.0,0.0,0.11823936,0.0868167,0.0,0.0,0.19415297,0.0,0.004271131,0.115996,0.0,0.0,0.0,0.04334514,0.0,0.07186054,0.07979143,0.06408125,0.0,0.0,0.0,0.0,0.0,0.0,0.0036109127,0.0,0.0,0.0,0.10378821,0.0,0.067536615,0.24082816,0.11977722,0.06818226,0.063985266,0.03872537,0.022869423,0.047357872,0.0,0.0,0.23350416,0.0,0.09123726,0.028191803,0.0,0.0,0.0,0.0,0.0,0.18926123,0.11849318,0.12884551,0.010585446,0.06488727,0.030000076,0.006481749,0.063082725,0.0,0.0,0.0,0.0,0.0,0.0,0.15962401,0.07055713,0.0,0.16116738,0.22621444,0.04236071,0.0,0.07318703,0.0,0.0,0.0,0.14728452,0.096852794,0.17416228,0.0,0.049036965,0.24559878,0.0,0.0,0.0,0.0,0.26086143,0.0,0.0,0.10989152,0.0,0.0,0.0,0.1254198,0.24419871,0.0,0.0
bicycle,0.09887728,0.08429489,0.0,0.0,0.007461585,0.04917312,0.0,0.008278059,0.2030089,0.0,0.1268916,0.026141062,0.054236785,0.009515036,0.016765416,0.0,0.039961215,0.0,0.062490515,0.014228115,0.0,0.15432653,0.038725056,0.013018155,0.0,0.087059796,0.0,0.0,0.0,0.0,0.0,0.0,0.017663805,0.050756186,0.0,0.0,0.0,0.17317826,0.019935468,0.013494151,0.18664381,0.04581567,0.0,0.0,0.07522668,0.063360915,0.0,0.26578024,0.03525386,0.0,0.0,0.0,0.044451576,0.0,0.0,0.0,0.0,0.04089633,0.08131089,0.0,0.0,0.06791078,0.0,0.0,0.0038256533,0.0,0.0057490356,0.0,0.09574488,0.0,0.0,0.06476045,0.050944615,0.0,0.0,0.0,0.0,0.016223975,0.0,0.18048956,0.0,0.05207523,0.0,0.0,0.0,0.0,0.06878775,0.0,0.0,0.12492461,0.050462678,0.101692244,0.0,0.0436117,0.0,0.0,0.0,0.29794106,0.0,0.033219494
bison,0.07131075,0.18106192,0.0027483106,0.0,0.17577308,0.0,0.0,0.060448166,0.13101979,0.0,0.0,0.20444852,0.020991076,0.0,0.078463554,0.0,0.0,0.026467089,0.085930616,0.0,0.0,0.07015658,0.0,0.0,0.020685026,0.040784046,0.0,0.003018245,0.0,0.0,0.0,0.0,0.0,0.09162675,0.0,0.011660532,0.0,0.10329455,0.0,0.0,0.051357877,0.0017556613,0.0,0.07114112,0.0,0.17060497,0.054705016,0.16147892,0.0,0.0,0.0,0.0,0.0,0.0,0.016417533,0.0,0.0,0.111316055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025074344,0.0,0.0,0.0,0.0,0.19081172,0.08572541,0.0,0.0,0.0,0.0,0.0,0.0,0.008982994,0.059888795,0.12088245,0.0,0.0,0.0,0.0,0.039455216,0.06746222,0.0,0.20481183,0.057294674,0.0,0.10232783,0.0,0.0,0.0,0.14504662,0.003960347,0.09928017,0.10560699
boat,0.043808028,0.15995973,0.0,0.0,0.005141426,0.2330644,0.070961095,0.05469952,0.115660936,0.0,0.15809026,0.13657786,0.0,0.0,0.0,0.0,0.0,0.0,0.067319386,0.0,0.0054505244,0.12728457,0.16080338,0.0,0.12616435,0.066713735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20038097,0.0,0.0,0.0,0.018182654,0.024929151,0.0,0.0,0.1509822,0.0,0.25875756,0.0011211056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066085696,0.055054624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18196598,0.0,0.0,0.24136342,0.21977597,0.0,0.0,0.0,0.0,0.074727185,0.0,0.017089926,0.0,0.10237631,0.0,0.0,0.0,0.0,0.12830707,0.0636534,0.0,0.22167157,0.0,0.061470117,0.18209405,0.0,0.081004255,0.033530667,0.0,0.005663029,0.10175426,0.0
