,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
airplane,0.06256362,0.0,0.0,0.015055401,0.13462496,0.14660226,0.0,0.0,0.075606465,0.13749354,0.0,0.0,0.05133006,0.0,0.0,0.0,0.0,0.042429015,0.0,0.16038011,0.0,0.06543673,0.0,0.3434316,0.0,0.0,0.0,0.0,0.0,0.0,0.06977297,0.0033075009,0.0,0.0,0.0,0.22755997,0.0,0.0,0.0,0.0,0.25524437,0.0023769997,0.0,0.0818765,0.0894703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013302863,0.16769357,0.0,0.0,0.023775855,0.0,0.0,0.00223268,0.0,0.0012305677,0.011142306,0.0,0.0,0.0,0.027525388,0.008159672,0.114111334,0.028478717,0.0,0.19454883,0.0,0.0,0.3058914,0.1931441,0.3029511,0.0,0.17736077,0.0,0.0,0.13447462,0.08396509,0.14745949,0.017598262,0.0,0.050741848,0.08341486,0.0,0.081250615,0.28955048,0.0,0.003429363,0.106716365,0.13380754,0.011043536,0.0,0.0,0.0
alligator,0.025967851,0.0,0.0,0.019915635,0.15483932,0.03626798,0.0,0.0,0.070896484,0.094036244,0.0,0.0,0.085100636,0.028780526,0.0,0.0,0.0,0.0,0.0,0.038144637,0.0,0.11343192,0.0,0.17555818,0.0,0.0,0.0,0.04306255,0.0,0.0,0.08866271,0.0,0.0,0.011179114,0.0,0.17418179,0.0,0.09523897,0.045131706,0.04698345,0.19137606,0.08376047,0.0,0.098477535,0.08855216,0.0,0.12823002,0.0,0.0,0.07589962,0.13576698,0.0,0.0068244413,0.0,0.10378698,0.0,0.0,0.023810584,0.10810892,0.0,0.0011572335,0.0,0.006402623,0.083068736,0.033753812,0.0,0.0,0.07923125,0.018602658,0.19576125,0.14271522,0.0,0.2290528,0.0,0.0,0.123978734,0.16751802,0.23082292,0.0,0.019501565,0.0,0.0,0.23243064,0.094739385,0.0,0.14711857,0.0872287,0.16698696,0.2295081,0.0,0.0338367,0.20537394,0.0,0.088970885,0.023492767,0.17777902,0.0,0.0,0.0,0.0
ant,0.017488167,0.009963916,0.0,0.10102937,0.0,0.111825205,0.0,0.0,0.17897286,0.14174081,0.09433383,0.024989575,0.0,0.0,0.025603132,0.0,0.0,0.0,0.033238668,0.030221822,0.0,0.08386018,0.0,0.041540295,0.0,0.11690946,0.034568742,0.0,0.0,0.0,0.09703353,0.0,0.0,0.0,0.0,0.13480213,0.0,0.05673505,0.045854744,0.007255681,0.0,0.0,0.0,0.009609627,0.04819707,0.0,0.025192538,0.0,0.0,0.020125864,0.0,0.0,0.056387514,0.0,0.0,0.0,0.0,0.061430685,0.0,0.0,0.009305242,0.0,0.0,0.083909094,0.0,0.0,0.0,0.0,0.0,0.042990945,0.0,0.0,0.038513213,0.059411272,0.0,0.14958657,0.07575433,0.24803261,0.0,0.044414632,0.0,0.0,0.09080617,0.015825104,0.0008866191,0.08680942,0.0,0.0,0.12668279,0.0,0.092677936,0.2020365,0.0,0.0,0.096968584,0.01940318,0.023191141,0.0,0.0823353,0.0
anvil,0.0,0.0,0.06605665,0.029537572,0.12603018,0.037967943,0.0,0.0,0.044090685,0.2287574,0.000106524676,0.0,0.10246804,0.0,0.0,0.0,0.0,0.031823568,0.037344255,0.13630162,0.0,0.22926082,0.015591085,0.07137914,0.0,0.0,0.0,0.0,0.0,0.0,0.0071460567,0.0,0.0,0.0,0.0,0.05420848,0.0,0.0,0.0,0.0,0.08916716,0.0,0.0,0.09245214,0.04468866,0.015698312,0.0,0.007742823,0.0,0.0,0.0,0.0,0.0,0.0,0.11262414,0.0,0.0,0.0,0.054617103,0.0,0.0,0.0,0.0,0.03947532,0.0,0.0,0.042377416,0.0,0.0,0.099222586,0.0,0.0,0.08630872,0.0,0.0,0.009644572,0.074769124,0.03279187,0.0,0.028245548,0.0,0.0,0.022288524,0.0016417913,0.046561763,0.2311112,0.0006017387,0.1226376,0.1058183,0.0,0.030213086,0.12530904,0.0,0.06742605,0.12198522,0.029316226,0.0,0.0,0.0,0.030158514
axe,0.0,0.0,0.0,0.04936208,0.11224285,0.006373424,0.0,0.0,0.08852603,0.19410287,0.0,0.0,0.11655003,0.068083405,0.0,0.0,0.0,0.0,0.07336901,0.0,0.05632423,0.32344705,0.07139774,0.12988722,0.0,0.0,0.0,0.0,0.0,0.0,0.15429027,0.0,0.0,0.0,0.0,0.14776622,0.0,0.0,0.0,0.0,0.052408166,0.0,0.0,0.0,0.0,0.0,0.0,0.042654302,0.0,0.06457509,0.0,0.017908465,0.0,0.0,0.0074989405,0.0,0.0,0.0,0.0,0.0046817176,0.0,0.0,0.023307934,0.09026028,0.062279753,0.0300804,0.0,0.0,0.0842938,0.13351858,0.0,0.0,0.10140833,0.0,0.0,0.06663139,0.11004911,0.12600899,0.0,0.0,0.0,0.0,0.076829895,0.116638325,0.02057383,0.11984136,0.050459653,0.103472605,0.16019782,0.0,0.10394609,0.12811875,0.0,0.19055636,0.0068222303,0.059967007,0.046125174,0.0,0.0033045663,0.0
beaver,0.008861765,0.08517833,0.028197557,0.0,0.0,0.128349,0.0,0.042476,0.163374,0.21806882,0.063578516,0.0,0.16711612,0.0,0.0,0.0,0.0,0.0,0.1651229,0.0922381,0.0,0.26545623,0.0,0.15703653,0.0,0.0,0.051104464,0.0,0.0,0.0,0.0,0.0,0.080107704,0.0,0.032145757,0.20198153,0.0,0.14701284,0.0,0.0,0.07113883,0.07955583,0.0,0.0,0.16152374,0.0,0.104657754,0.021545231,0.0,0.0,0.0,0.0,0.0,0.13117827,0.010164024,0.0,0.0,0.0,0.04542244,0.13133776,0.11638442,0.0,0.0,0.15933715,0.0,0.0,0.0,0.08322379,0.0,0.18875696,0.027672252,0.0,0.19195817,0.0,0.0,0.028671231,0.00022078119,0.1026115,0.0,0.13777399,0.0,0.0,0.11183694,0.0,0.057057343,0.0,0.07172408,0.08563216,0.12959787,0.0,0.005034566,0.071617655,0.0,0.08785004,0.12987247,0.20208259,0.13610496,0.06873833,0.02516111,0.0
beetle,0.0,0.022706572,0.0,0.07858367,0.10326183,0.10138177,0.0,0.0,0.2296447,0.21773937,0.2117867,0.0,0.0,0.07584138,0.0,0.031491596,0.0,0.0,0.23187616,0.09595418,0.0,0.018497026,0.05487874,0.2039539,0.0,0.0,0.21760193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17693257,0.0,0.0,0.0,0.0,0.037009932,0.0,0.0,0.030491183,0.0,0.0,0.033854507,0.0,0.0,0.06778294,0.025469735,0.0,0.066728726,0.013683334,0.0,0.0,0.07355758,0.0,0.054672424,0.0,0.009147102,0.0,0.0,0.087428965,0.0,0.0,0.0,0.049181744,0.12521112,0.17754929,0.014239365,0.0,0.24600382,0.010281549,0.0,0.24492721,0.22917005,0.18486853,0.0,0.26908326,0.0,0.0,0.0,0.07326437,0.0,0.10348776,0.047995597,0.056578275,0.26228568,0.0,0.13693236,0.22081792,0.0,0.23525843,0.0,0.11553995,0.0,0.042596206,0.09972394,0.0
bicycle,0.0,0.0,0.0,0.11245551,0.0,0.053958625,0.0,0.0,0.21697447,0.006412585,0.14977187,0.0,0.0,0.0029719695,0.0,0.0,0.006193904,0.0,0.022581808,0.20939502,0.114216335,0.31791565,0.0,0.21685636,0.0,0.0,0.19246571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08330222,0.0,0.006447181,0.0,0.0380073,0.11324152,0.0,0.0,0.0,0.0,0.0,0.0,0.06507016,0.0,0.0835686,0.0,0.0,0.13538945,0.0,0.0,0.0,0.0,0.0,0.09097646,0.0,0.0,0.0,0.0,0.05716949,0.0,0.0,0.0,0.022648515,0.03466137,0.18388057,0.07923289,0.0,0.24242838,0.0,0.0,0.06593938,0.07077575,0.19947691,0.0,0.12590826,0.0,0.01978302,0.1304537,0.0,0.09822588,0.30152333,0.030350983,0.12034865,0.23471192,0.0,0.0,0.24334258,0.0,0.14293997,0.0,0.02072299,0.0,0.049655095,0.0,0.0
bison,0.0,0.0,0.009355846,0.0,0.02423885,0.13216162,0.0694844,0.0,0.20134474,0.20395322,0.10454479,0.02787928,0.028500007,0.0,0.0,0.0,0.0,0.0,0.047646523,0.1308176,0.0,0.1241431,0.0,0.16059715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1924332,0.0,0.029545072,0.0,0.0,0.14568049,0.0,0.0,0.0,0.23989925,0.0,0.08741698,0.0,0.0,0.0670607,0.0,0.0,0.0,0.0,0.007838698,0.030224146,0.0,0.0,0.057278473,0.07569737,0.079533055,0.0,0.0,0.2373306,0.0,0.0,0.0,0.15844059,0.06427966,0.11483022,0.0,0.0,0.12898016,0.050316386,0.0,0.14096706,0.006635174,0.21371686,0.09517676,0.078948125,0.0,0.0,0.0,0.040472582,0.057819717,0.0,0.0,0.18348928,0.18638206,0.0,0.10739139,0.025209641,0.0,0.1434746,0.1635029,0.10332231,0.0,0.07548864,0.01254587,0.04603395
boat,0.0066262186,0.0,0.0,0.0,0.0,0.0868083,0.0,0.0,0.04898877,0.06195689,0.044891752,0.0850528,0.07183175,0.032551844,0.0,0.002057355,0.0,0.0,0.0,0.010202676,0.029919999,0.021353519,0.0,0.08578435,0.0,0.0,0.04211276,0.0,0.0,0.0,0.0,0.0,0.0,0.008643275,0.0,0.14223863,0.0,0.0,0.008024732,0.011736456,0.078266025,0.0,0.0,0.049112413,0.0778964,0.0,0.05854386,0.0275767,0.0615564,0.038348075,0.0,0.0,0.04399599,0.0,0.0,0.0,0.0,0.0023007132,0.0,0.0,0.0,0.0,0.0,0.028152581,0.045458682,0.0,0.0,0.0,0.0,0.052663334,0.019865321,0.0,0.089782454,0.0,0.0,0.09862611,0.10194063,0.11354539,0.0,0.0,0.0,0.0,0.060770474,0.06823644,0.0,0.070887506,0.054669976,0.0,0.19530773,0.0,0.050574526,0.05854129,0.0,0.029238688,0.07858808,0.15995055,0.02038919,0.03541947,0.0,0.0
