,head,left,right,winner,count,total_count,accuracy,triplet_category
3877,lizard,train,snake,snake,22,22,1.0,cat_2
3624,guitar,violin,monkey,violin,27,27,1.0,cat_2
3592,train,iguana,tractor,tractor,26,26,1.0,cat_2
3593,jar,glass,guitar,glass,28,28,1.0,cat_1
3597,kangaroo,lion,drum,lion,25,25,1.0,cat_2
3609,cockroach,caterpillar,glass,caterpillar,32,32,1.0,cat_2
3612,caterpillar,moth,clarinet,moth,19,19,1.0,cat_2
3617,moth,caterpillar,bowl,caterpillar,36,36,1.0,cat_2
3621,snake,iguana,tractor,iguana,30,30,1.0,cat_2
3622,guitar,piano,whale,piano,24,24,1.0,cat_2
3628,lion,elephant,caterpillar,elephant,33,33,1.0,cat_1
3584,drum,snake,bowl,bowl,18,18,1.0,cat_4
3636,kangaroo,boat,chameleon,chameleon,27,27,1.0,cat_4
3639,glass,kettle,guitar,kettle,25,25,1.0,cat_1
3648,boat,train,lion,train,31,31,1.0,cat_2
3654,kangaroo,chameleon,monkey,monkey,32,32,1.0,cat_1
3656,piano,kettle,drum,drum,26,26,1.0,cat_1
3657,kangaroo,elephant,tractor,elephant,30,30,1.0,cat_2
3658,snake,chameleon,violin,chameleon,23,23,1.0,cat_2
3662,tractor,spider,hovercraft,hovercraft,28,28,1.0,cat_2
3590,glass,iguana,spoon,spoon,20,20,1.0,cat_2
3583,iguana,boat,monkey,monkey,25,25,1.0,cat_4
3486,monkey,train,lion,lion,24,24,1.0,cat_2
3517,caterpillar,airplane,moth,moth,25,25,1.0,cat_2
3490,iguana,monkey,boat,monkey,27,27,1.0,cat_4
3493,cockroach,kangaroo,turtle,turtle,25,25,1.0,cat_3
3496,snake,kettle,lion,lion,28,28,1.0,cat_4
3499,monkey,guitar,elephant,elephant,22,22,1.0,cat_2
3505,piano,drum,kettle,drum,25,25,1.0,cat_1
3533,airplane,train,turtle,train,22,22,1.0,cat_2
3551,piano,drum,beetle,drum,21,21,1.0,cat_2
3558,iguana,turtle,glass,turtle,30,30,1.0,cat_2
3561,monkey,moth,kettle,moth,21,21,1.0,cat_4
3572,clarinet,moth,airplane,airplane,24,24,1.0,cat_4
3674,boat,kangaroo,airplane,airplane,24,24,1.0,cat_2
3776,jar,guitar,glass,glass,23,23,1.0,cat_1
3784,tractor,boat,train,train,24,24,1.0,cat_0
3791,glass,hovercraft,bowl,bowl,28,28,1.0,cat_1
3793,caterpillar,clarinet,moth,moth,29,29,1.0,cat_2
3818,guitar,monkey,violin,violin,25,25,1.0,cat_2
3676,tractor,boat,glass,boat,30,30,1.0,cat_1
3820,clarinet,airplane,moth,airplane,29,29,1.0,cat_4
3827,snake,piano,moth,moth,26,26,1.0,cat_4
3839,caterpillar,moth,airplane,moth,25,25,1.0,cat_2
3851,moth,monkey,lizard,lizard,19,19,1.0,cat_3
3852,monkey,kettle,moth,moth,31,31,1.0,cat_4
3770,caterpillar,guitar,spider,spider,20,20,1.0,cat_2
3769,glass,spoon,iguana,spoon,32,32,1.0,cat_2
3684,monkey,lion,train,lion,27,27,1.0,cat_2
3688,drum,clarinet,boat,clarinet,24,24,1.0,cat_1
3701,snake,lizard,whale,lizard,22,22,1.0,cat_1
3725,caterpillar,spider,guitar,spider,31,31,1.0,cat_2
3734,spider,chameleon,monkey,chameleon,25,25,1.0,cat_3
3738,snake,lion,kettle,lion,25,25,1.0,cat_4
3750,kettle,drum,moth,drum,23,23,1.0,cat_4
3761,train,tractor,iguana,tractor,25,25,1.0,cat_2
3181,drum,cockroach,violin,violin,25,25,1.0,cat_2
3199,snake,tractor,iguana,iguana,22,22,1.0,cat_2
3212,tractor,hovercraft,spider,hovercraft,23,23,1.0,cat_2
3158,drum,bowl,snake,bowl,31,31,1.0,cat_4
3254,clarinet,piano,guitar,guitar,19,19,1.0,cat_0
3056,moth,bowl,caterpillar,caterpillar,16,16,1.0,cat_2
3094,piano,moth,clarinet,clarinet,26,26,1.0,cat_2
3133,cockroach,glass,caterpillar,caterpillar,21,21,1.0,cat_2
3859,kettle,bowl,piano,bowl,29,29,1.0,cat_1
4493,bowl,caterpillar,jar,jar,22,22,1.0,cat_2
7503,boat,piano,tractor,tractor,31,32,0.96875,cat_1
4843,tractor,airplane,bowl,airplane,31,32,0.96875,cat_1
5271,drum,guitar,kettle,guitar,29,30,0.9666666666666667,cat_1
2495,monkey,elephant,guitar,elephant,29,30,0.9666666666666667,cat_2
3549,snake,violin,chameleon,chameleon,29,30,0.9666666666666667,cat_2
1433,tractor,airplane,clarinet,airplane,28,29,0.9655172413793104,cat_1
2695,kettle,glass,beetle,glass,27,28,0.9642857142857143,cat_2
2701,guitar,whale,piano,piano,27,28,0.9642857142857143,cat_2
4686,moth,kangaroo,clarinet,kangaroo,27,28,0.9642857142857143,cat_4
7367,turtle,lizard,whale,lizard,27,28,0.9642857142857143,cat_1
7350,clarinet,boat,kettle,kettle,26,27,0.9629629629629629,cat_3
408,moth,elephant,kettle,elephant,26,27,0.9629629629629629,cat_4
5134,kettle,drum,turtle,drum,26,27,0.9629629629629629,cat_4
6253,kettle,moth,drum,drum,26,27,0.9629629629629629,cat_4
4594,lion,turtle,violin,turtle,26,27,0.9629629629629629,cat_4
4173,spider,beetle,kangaroo,beetle,26,27,0.9629629629629629,cat_1
5573,snake,moth,piano,moth,25,26,0.9615384615384616,cat_4
7598,train,iguana,clarinet,clarinet,25,26,0.9615384615384616,cat_4
6337,piano,clarinet,moth,clarinet,25,26,0.9615384615384616,cat_2
970,kettle,snake,bowl,bowl,25,26,0.9615384615384616,cat_2
5017,spoon,whale,clarinet,clarinet,25,26,0.9615384615384616,cat_4
501,spider,kangaroo,beetle,beetle,24,25,0.96,cat_1
3941,kangaroo,drum,lion,lion,24,25,0.96,cat_2
6311,lion,violin,turtle,turtle,23,24,0.9583333333333334,cat_4
7041,airplane,turtle,train,train,23,24,0.9583333333333334,cat_2
4829,kettle,piano,bowl,bowl,22,23,0.9565217391304348,cat_1
7253,turtle,jar,whale,whale,22,23,0.9565217391304348,cat_4
4452,chameleon,lizard,snake,lizard,22,23,0.9565217391304348,cat_0
197,caterpillar,kangaroo,cockroach,cockroach,22,23,0.9565217391304348,cat_1
1191,iguana,lizard,elephant,lizard,22,23,0.9565217391304348,cat_1
3089,violin,snake,glass,glass,22,23,0.9565217391304348,cat_4
3325,kettle,bowl,snake,bowl,22,23,0.9565217391304348,cat_2
7317,glass,bowl,hovercraft,bowl,21,22,0.9545454545454546,cat_1
5636,tractor,kettle,airplane,airplane,21,22,0.9545454545454546,cat_1
3640,boat,chameleon,guitar,guitar,21,22,0.9545454545454546,cat_4
1808,spider,lion,lizard,lizard,21,22,0.9545454545454546,cat_3
323,caterpillar,lion,kettle,lion,20,21,0.9523809523809523,cat_4
622,boat,lion,train,train,20,21,0.9523809523809523,cat_2
5999,lion,cockroach,snake,snake,20,21,0.9523809523809523,cat_3
7677,lion,jar,cockroach,cockroach,20,21,0.9523809523809523,cat_4
153,kangaroo,iguana,lion,lion,20,21,0.9523809523809523,cat_1
86,lion,cockroach,turtle,turtle,19,20,0.95,cat_3
2547,whale,monkey,kettle,monkey,19,20,0.95,cat_2
6331,tractor,bowl,airplane,airplane,18,19,0.9473684210526315,cat_1
551,iguana,glass,turtle,turtle,18,19,0.9473684210526315,cat_2
6478,boat,tractor,piano,tractor,17,18,0.9444444444444444,cat_1
959,kangaroo,monkey,chameleon,monkey,17,18,0.9444444444444444,cat_1
1253,bowl,jar,moth,jar,33,35,0.9428571428571428,cat_2
1430,bowl,moth,jar,jar,16,17,0.9411764705882353,cat_2
