,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.16260041,0.0,0.039139554,0.0,0.18993287,0.0,0.10931856,0.115686655,0.0,0.07491873,0.0,0.2242547,0.0,0.0,0.0,0.03530857,0.0,0.0,0.1691997,0.0,0.0,0.0,0.117748365,0.0,0.0,0.16586486,0.12178626,0.0,0.0,0.0,0.0,0.039589513,0.0,0.01958043,0.14881662,0.0,0.0073216856,0.0,0.0,0.0,0.0,0.11332937,0.0,0.0693088,0.027243033,0.07832017,0.17402342,0.012968391,0.0,0.16416171,0.0,0.22687797,0.0,0.14383473,0.0,0.0,0.08459031,0.0,0.08275858,0.023544833,0.061618295,0.0,0.04399169,0.0,0.22034061,0.19670886,0.06498232,0.0,0.11413794,0.06466959,0.08582705,0.0,0.0,0.30103326,0.007065257,0.0,0.0,0.09422675,0.032578483,0.0,0.2756692,0.0,0.0,0.0,0.060976755,0.0,0.15852466,0.009486647,0.099856056,0.0,0.10050401,0.0,0.0,0.046592575,0.052257933,0.118529946,0.0,0.08765022,0.13371663,0.0
lizard,0.26755872,0.0,0.16504045,0.023909261,0.17626582,0.0,0.14931332,0.19974184,0.06767675,0.0,0.0073258025,0.1681552,0.0,0.0,0.0,0.0,0.0,0.0,0.14659074,0.0,0.0,0.09662218,0.1146912,0.0,0.064337075,0.28272521,0.17040847,0.0,0.0,0.016121864,0.0,0.12064054,0.0,0.0,0.10144796,0.0,0.0,0.0,0.03606467,0.0,0.0031835008,0.002489696,0.0,0.0044713877,0.14619675,0.08709843,0.0,0.18301198,0.06971945,0.14285003,0.01178129,0.106689245,0.0,0.0,0.1536542,0.0,0.1157529,0.09834089,0.05271531,0.0,0.0,0.05926148,0.0,0.0133783,0.06724485,0.04960545,0.0,0.22870688,0.0,0.017904079,0.2643468,0.0,0.0,0.12553415,0.0,0.019598741,0.0,0.17390455,0.025977809,0.0,0.0,0.0,0.0007872456,0.0,0.1383398,0.22502626,0.18152693,0.0,0.1611076,0.028684184,0.0,0.0,0.0,0.0,0.0,0.04545436,0.0,0.04290732,0.0,0.0
turtle,0.105310544,0.0,0.0,0.0049348352,0.15639101,0.01113986,0.117871664,0.0,0.067753434,0.02559949,0.021247927,0.1397289,0.0,0.06641346,0.0,0.0,0.00061286613,0.0,0.19290307,0.08227603,0.0,0.0,0.0,0.0,0.0,0.15959556,0.032339863,0.0,0.0,0.027156886,0.0,0.0,0.0,0.07825058,0.110270135,0.0,0.0,0.030469682,0.082122564,0.0,0.0,0.0,0.032743085,0.014718045,0.0,0.043657865,0.09871562,0.0,0.09008482,0.15322395,0.0,0.16945711,0.0,0.04067114,0.044128288,0.0,0.01360496,0.02964051,0.083615065,0.0,0.038568847,0.014617473,0.0,0.023757134,0.06574092,0.12802221,0.0,0.041734155,0.15408935,0.042057984,0.10850165,0.0,0.0,0.0,0.029091228,0.051978193,0.0,0.037573535,0.0,0.0,0.1245515,0.0,0.08032753,0.0,0.16225334,0.04558572,0.10027175,0.0,0.039535347,0.053694807,0.0,0.0,0.0055087768,0.010806482,0.0,0.0,0.02074483,0.056008793,0.07058955,0.0
chameleon,0.12784842,0.002519736,0.08639141,0.0,0.022461452,0.0,0.11153929,0.17372355,0.033998016,0.0,0.0,0.17973682,0.0,0.0693898,0.0,0.0,0.03915565,0.035462566,0.054857288,0.0,0.0,0.0,0.0,0.07517138,0.0,0.16204286,0.22646601,0.031086247,0.0,0.15472317,0.087302946,0.0,0.0,0.081174195,0.19798535,0.0,0.0,0.039506707,0.14352605,0.0,0.0,0.00618775,0.05438491,0.049237523,0.054647163,0.05164569,0.18876705,0.036076177,0.033451505,0.15415415,0.014995623,0.017475858,0.0,0.0,0.13679215,0.0,0.09843932,0.0,0.12891653,0.0,0.09467807,0.007880092,0.0,0.012331527,0.0,0.0,0.0,0.10648853,0.048042543,0.11293027,0.017422453,0.0,0.0,0.14744912,0.0,0.0,0.0,0.066059306,0.057593662,0.023536108,0.03818781,0.0,0.0,0.0,0.13228203,0.069268934,0.11844922,0.068674535,0.10023034,0.0,0.0,0.0,0.0520667,0.038051825,0.034624793,0.11360103,0.045002215,0.035461687,0.059179097,0.0
iguana,0.15006828,0.0,0.21504335,0.0,0.0027347049,0.06056034,0.025923312,0.08251069,0.0,0.0038148682,0.057697818,0.093042225,0.0,0.0,0.0,0.0,0.00053000636,0.0,0.141605,0.016293237,0.045483544,0.0,0.095907256,0.017945819,0.0,0.121457204,0.0,0.0,0.0,0.14523217,0.05256722,0.011230773,0.0,0.0,0.15215382,0.0,0.0,0.092814416,0.092611216,0.0,0.0,0.0,0.0,0.0,0.08017156,0.11910033,0.06491284,0.0,0.11600128,0.15503693,0.0,0.07487618,0.0,0.0,0.051222418,0.0,0.059999026,0.013378125,0.0,0.0,0.007432391,0.0,0.002760098,0.0,0.01629515,0.026399883,0.0,0.013566386,0.05874169,0.07303505,0.104402475,0.0,0.0,0.14450277,0.0017557442,0.0,0.0,0.058287412,0.0,0.060333427,0.12416112,0.0,0.0,0.0,0.0,0.0420615,0.23534662,0.0,0.074355595,0.0,0.11817618,0.0,0.0,0.0,0.0,0.11548366,0.0,0.15898517,0.026411656,0.037367053
caterpillar,0.11554076,0.0,0.0,0.043961525,0.0496293,0.0,0.076491125,0.022576155,0.0,0.010484311,0.0,0.16808018,0.0,0.0,0.0,0.0,0.028241536,0.0,0.06173124,0.0,0.0,0.0,0.0,0.018438134,0.0,0.08029281,0.036586203,0.0,0.0,0.019054167,0.0857025,0.039276954,0.0,0.0,0.08124522,0.0,0.0,0.031753045,0.09353553,0.0,0.0,0.0,0.0,0.016221423,0.035399027,0.026442155,0.12001823,0.04929433,0.07249209,0.06852414,0.047038548,0.1672215,0.0,0.04725879,0.0,0.0,0.040407293,0.0,0.08805835,0.0,0.0,0.06196066,0.0,0.0,0.0,0.045857683,0.0,0.03736115,0.06793702,0.065078236,0.067929074,0.038224,0.0,0.12514955,0.021951005,0.027724829,0.0,0.11765039,0.0,0.0,0.048144728,0.0,0.0,0.0,0.10053541,0.009566207,0.049290042,0.0,0.015657116,0.0,0.056370985,0.0,0.0011949502,0.017264491,0.0,0.010217305,0.014189758,0.039898403,0.046128977,0.0
cockroach,0.0,0.0,0.08480478,0.0,0.13400218,0.0,0.12118273,0.028307937,0.22720012,0.0041948175,0.0,0.22168618,0.0,0.07656202,0.0,0.0,0.0,0.0,0.1400943,0.0,0.074264914,0.0,0.12716876,0.05941067,0.0,0.3051876,0.4133789,0.0,0.0,0.032784678,0.12989639,0.113710046,0.0,0.0,0.060223814,0.0,0.0,0.14535487,0.15175268,0.0,0.0924621,0.0,0.0,0.13192418,0.204728,0.100323096,0.3314408,0.14742646,0.14220025,0.33181584,0.0,0.06407341,0.0,0.11623226,0.048147034,0.038168408,0.2576408,0.11811901,0.14823464,0.1453704,0.07495819,0.0025010612,0.0,0.05127579,0.002662316,0.16083895,0.0,0.18505487,0.0,0.2562046,0.19258362,0.086345874,0.0,0.30849335,0.0,0.054424837,0.0,0.025057998,0.0,0.12986436,0.13931802,0.0,0.0,0.0,0.3271734,0.0135909775,0.37072504,0.3104342,0.0,0.027461031,0.20158105,0.0,0.0,0.0,0.12937583,0.14103362,0.17863162,0.04251103,0.0,0.0
beetle,0.20176235,0.0,0.0012814142,0.0,0.019326657,0.034747235,0.20260517,0.21947724,0.10568568,0.08556194,0.07375809,0.12433614,0.0,0.0026963577,0.0,0.0,0.0,0.0,0.14643788,0.0,0.15988424,0.0,0.02477803,0.0,0.0,0.11511078,0.010293363,0.0,0.0,0.13832656,0.0,0.0,0.0,0.053238533,0.16773129,0.0,0.0,0.0,0.07098084,0.036495402,0.0,0.0,0.0,0.21126035,0.07839539,0.0,0.14705953,0.06942064,0.0,0.13858394,0.0,0.21062095,0.0,0.15946701,0.12804642,0.0,0.20660476,0.1668154,0.2221142,0.06696396,0.0,0.0,0.0,0.03202591,0.0,0.20385294,0.0,0.0,0.2209561,0.0,0.1359262,0.0,0.0,0.041100677,0.013055608,0.024081202,0.0,0.0,0.0,0.0,0.108304374,0.056436773,0.0481507,0.0,0.112875834,0.08552563,0.28048477,0.16675241,0.10007406,0.021368662,0.11195861,0.0,0.0,0.0,0.0,0.03726884,0.06145759,0.021623023,0.054901976,0.0
spider,0.08811845,0.0,0.0,0.07718129,0.03425531,0.0,0.08679368,0.13660729,0.0,0.025129352,0.13832346,0.124932885,0.0,0.0,0.0,0.0,0.0,0.0,0.18676874,0.0,0.0,0.0,0.0,0.0,0.006753914,0.11661998,0.013584433,0.035928085,0.0,0.0,0.087640084,0.0,0.0,0.0,0.10975539,0.0,0.0,0.0,0.026753113,0.0,0.0,0.0,0.0056491997,0.08408454,0.028059505,0.0,0.21363401,0.0,0.19793269,0.21840309,0.0,0.15041101,0.0,0.08992158,0.0,0.0,0.10142749,0.015085883,0.11222406,0.0,0.0,0.0,0.0,0.0,0.10530362,0.0,0.0,0.018901728,0.0,0.07763475,0.19475341,0.018369937,0.0,0.032272954,0.0045931153,0.0,0.0,0.0886661,0.0,0.0,0.16875654,0.0,0.101620674,0.0,0.16588399,0.0,0.14957882,0.029846111,0.059488498,0.0,0.005288258,0.0,0.039944377,0.0,0.0,0.060274504,0.065937795,0.0,0.081614755,0.0
moth,0.14167805,0.0,0.006334061,0.02557736,0.15407984,0.14804202,0.116765454,0.087542616,0.0,0.0,0.0,0.22537863,0.0,0.0,0.0,0.0,0.0,0.0,0.19293755,0.065528005,0.0,0.12328485,0.10316637,0.0,0.0,0.07637755,0.10359699,0.0,0.0,0.12647822,0.0,0.0,0.0,0.0,0.18432024,0.0,0.0,0.0,0.0,0.0,0.0,0.012521732,0.0,0.047240485,0.0,0.0842511,0.087339625,0.0,0.19688568,0.16227265,0.0130600445,0.1476929,0.0,0.1082574,0.16142379,0.0,0.08560622,0.0,0.12139177,0.0,0.0,0.0,0.0,0.0,0.018781677,0.0,0.0,0.23113279,0.0024579987,0.0,0.22527795,0.041277863,0.0,0.106883414,0.0,0.0,0.0,0.112342134,0.0,0.0,0.12604372,0.0,0.004800933,0.0,0.041706905,0.0,0.25460583,0.071280204,0.26797694,0.085264504,0.0,0.0,0.0,0.0,0.0,0.033644177,0.0,0.10087269,0.065361574,0.0
