,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
airplane,0.0,0.0,0.1843566,0.0,0.0,0.0,0.08229391,0.061291978,0.0,0.0,0.0,0.0,0.0005879514,0.0057050157,0.20941454,0.1820378,0.0,0.0,0.0,0.0,0.0956015,0.14520593,0.12398568,0.0,0.0,0.0,0.0,0.030835638,0.050875314,0.0,0.0741076,0.0,0.07136271,0.0,0.0,0.089955464,0.0,0.015672892,0.07699618,0.18834981,0.0,0.0,0.036545377,0.0604667,0.2210899,0.0746296,0.0,0.0,0.32967904,0.0,0.0,0.0,0.0,0.00720182,0.117646046,0.0,0.1583996,0.12114477,0.0,0.0,0.19778565,0.08763372,0.0,0.0,0.0,0.056726187,0.15966164,0.18460682,0.018558692,0.21497694,0.0,0.0,0.08745654,0.33442768,0.0,0.21174186,0.0,0.0,0.0,0.22795889,0.0,0.0,0.0,0.23702712,0.0,0.0,0.0,0.0,0.086951315,0.0,0.030441873,0.05892324,0.0,0.0,0.0,0.14015748,0.13165137,0.0072572343,0.17926969,0.26510882
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075123794,0.0,0.0,0.0,0.23606683,0.069896005,0.0,0.12218464,0.0,0.007248601,0.044889513,0.049726233,0.102915674,0.0,0.0,0.036979225,0.0,0.18319362,0.0771975,0.0,0.09849169,0.0,0.012570899,0.0024154019,0.0,0.07549569,0.116741724,0.06408902,0.0,0.23296961,0.0,0.0,0.19894785,0.027014822,0.09189693,0.0,0.030122675,0.0,0.1954383,0.0,0.0,0.0,0.0,0.044068478,0.058417715,0.06099399,0.04007443,0.0,0.0,0.0,0.20832261,0.08665558,0.0,0.007820938,0.0,0.0,0.314447,0.0741092,0.13319835,0.30859375,0.0,0.0,0.1825395,0.28889146,0.0,0.074888475,0.01608467,0.0,0.07147941,0.25204504,0.14487343,0.0,0.0,0.08766122,0.0,0.0,0.0,0.0114462515,0.096955106,0.0,0.0,0.055991698,0.0,0.0,0.0,0.15182766,0.19483303,0.032215755,0.12997174,0.076561086
ant,0.0,0.0,0.04071245,0.0,0.0,0.0,0.0,0.0,0.0,0.06659681,0.014281282,0.0,0.0,0.0,0.0,0.09267285,0.0,0.081565395,0.0,0.0,0.0,0.005956365,0.12212619,0.0,0.0,0.02410717,0.0,0.035539985,0.0,0.0,0.023886386,0.0,0.0,0.011766063,0.0,0.06699698,0.0,0.0,0.0,0.16579816,0.0,0.0,0.11980069,0.0006754175,0.025744112,0.0,0.0,0.005196117,0.06932402,0.023023637,0.0,0.032148052,0.0,0.016008023,0.0,0.1317088,0.061612092,0.0,0.08507671,0.0,0.014897656,0.0,0.0,0.035874397,0.0,0.0,0.11758456,0.08954785,0.18700089,0.22537641,0.0,0.0,0.16946754,0.16217417,0.13361579,0.13648805,0.0,0.0,0.10904152,0.18976751,0.08503829,0.048436806,0.018233925,0.0,0.0,0.0,0.0,0.0,0.09404973,0.0,0.050276145,0.0,0.041431293,0.018149097,0.0,0.043338757,0.112137295,0.04385129,0.11202233,0.0
anvil,0.0,0.0,0.047635403,0.0,0.0,0.0,0.0,0.0,0.05264449,0.0,0.07921782,0.0,0.057479613,0.0,0.029834041,0.12907302,0.0,0.04920183,0.0,0.047363266,0.0,0.0,0.048566263,0.0,0.0,0.023350712,0.0081530865,0.0,0.0028607403,0.0,0.0658017,0.0,0.05131357,0.0,0.0,0.035045307,0.11922201,0.014673963,0.0,0.06514503,0.0,0.0,0.077222526,0.0,0.10488566,0.09689677,0.0,0.0,0.17367457,0.04546278,0.00016232207,0.0,0.0,0.0,0.0,0.04361818,0.0,0.0,0.0,0.0,0.0037322827,0.0,0.0,0.0,0.0,0.0,0.10261138,0.07098064,0.08683058,0.19183215,0.0,0.00028060703,0.12945959,0.12795685,0.028498549,0.0,0.030769845,0.002051156,0.043980632,0.14760374,0.0,0.03259401,0.052983515,0.0,0.0,0.0,0.0,0.0,0.027378477,0.04736114,0.052248847,0.01743175,0.0,0.006514488,0.05391562,0.08460286,0.11388192,0.020027686,0.0,0.0
axe,0.0,0.0,0.10229655,0.0,0.0,0.0,0.0046418873,0.0,0.0,0.08275283,0.0,0.0,0.08875166,0.0,0.31389028,0.09320911,0.0,0.0,0.0,0.0077728555,0.0044104047,0.016757132,0.0,0.003866163,0.0,0.08323534,0.0,0.07725242,0.0,0.0,0.0,0.0,0.068370685,0.03549519,0.0,0.0,0.07440099,0.0,0.0,0.32983938,0.0,0.0,0.1433123,0.112596326,0.35417005,0.010158768,0.0,0.0,0.12994604,0.0,0.0,0.0,0.0,0.0,0.0,0.12157106,0.07137695,0.07032059,0.0,0.0,0.12611634,0.19449359,0.0,0.0,0.0,0.108322576,0.39272347,0.1508584,0.27924758,0.13570891,0.0,0.0,0.19860837,0.21911675,0.0,0.0015725046,0.0,0.010342721,0.0,0.21533804,0.0,0.102945626,0.081076555,0.05156606,0.0,0.0,0.009424907,0.040839724,0.082277,0.0,0.017113864,0.07478185,0.07825814,0.0,0.029152822,0.05080174,0.15070008,0.071269855,0.0,0.0
beaver,0.006753003,0.0,0.019665435,0.04794351,0.0,0.0,0.0,0.0,0.05421324,0.0113073215,0.18161401,0.0,0.11239812,0.0,0.08779939,0.07209882,0.0,0.09593772,0.0,0.0,0.0,0.0,0.0,0.034648985,0.0,0.046354603,0.034391254,0.0,0.014090031,0.0,0.17177883,0.0,0.12511978,0.0,0.0,0.059032682,0.0,0.069832414,0.036470942,0.22543246,0.0,0.01482505,0.04529136,0.05239471,0.12115055,0.009721288,0.012758881,0.0,0.14343324,0.07861724,0.0,0.0,0.0,0.0,0.0,0.0,0.059489038,0.17626804,0.0,0.0,0.079431474,0.07065646,0.0,0.07806017,0.0,0.021598605,0.12621087,0.17266765,0.20212752,0.103675075,0.0,0.0,0.24407847,0.22010413,0.009770665,0.013995806,0.0,0.16433834,0.051459152,0.280384,0.0,0.0012969114,0.0,0.0,0.0,0.0,0.104613245,0.021093909,0.0,0.0,0.14937176,0.03644863,0.024539072,0.04925649,0.0,0.19996037,0.10167941,0.0,0.18124627,0.0
beetle,0.06827538,0.0,0.12394615,0.0,0.0,0.0,0.017016556,0.001480639,0.0,0.06879204,0.092962645,0.0,0.01053079,0.009444596,0.09544449,0.03241402,0.0,0.068174236,0.0,0.0,0.0,0.0,0.08073169,0.0,0.0,0.084965736,0.0,0.0,0.0,0.0,0.10825459,0.0,0.0,0.0,0.0,0.03864326,0.13030091,0.24981475,0.0,0.21634111,0.0,0.0,0.15282735,0.014331661,0.12900843,0.0,0.0,0.0,0.21929578,0.0,0.0,0.0,0.0,0.0,0.0,0.062312204,0.08616458,0.11512573,0.0,0.04842926,0.0,0.032627076,0.0,0.0,0.03149845,0.0,0.33694017,0.058166992,0.1442161,0.19508828,0.0,0.0,0.15253095,0.11200305,0.1191262,0.050385654,0.06474431,0.07587317,0.008130702,0.03014006,0.0,0.09539638,0.07377522,0.032618698,0.0,0.0,0.0,0.0,0.16702075,0.0,0.056315776,0.0,0.059737626,0.0,0.0,0.110417955,0.04091242,0.04607826,0.06274144,0.02056963
bicycle,0.0,0.0,0.11997659,0.0,0.0,0.0,0.12696834,0.0,0.0,0.0,0.042893864,0.0,3.760308e-05,0.0,0.16848297,0.042457115,0.0,0.0,0.0,0.0,0.040686082,0.00540301,0.0,0.0,0.0,0.0045770817,0.0,0.0,0.029583506,0.0,0.18707502,0.040412672,0.18379131,0.0,0.0,0.0,0.16424048,0.26927492,0.060047835,0.21970937,0.0,0.0,0.06479043,0.0017397106,0.1379595,0.0,0.0,0.0,0.013560845,0.0,0.03500475,0.0,0.0,0.0,0.0,0.06290554,0.14427775,0.16986941,0.0,0.0,0.06741095,0.0016885549,0.0,0.0,0.02047475,0.0,0.41579247,0.0,0.3570661,0.12890859,0.0,0.04287773,0.12575856,0.30753064,0.21253833,0.012081813,0.022718472,0.0,0.0,0.29979604,0.0,0.04533991,0.07572538,0.0791977,0.0,0.0,0.06426098,0.0,0.09822728,0.0,0.06726379,0.0,0.0,0.1191853,0.0,0.0,0.17314932,0.048026983,0.13320266,0.07641601
bison,0.0,0.0,0.1485018,0.03904885,0.0,0.0,0.06400362,0.0,0.049863413,0.019225301,0.09646176,0.0,0.11567849,0.0,0.11614036,0.09739051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13666826,0.027603975,0.0,0.006493118,0.0,0.021508064,0.0,0.004892323,0.0,0.11364351,0.08375427,0.0,0.03326229,0.039234415,0.23055503,0.0,0.0,0.18317455,0.029442027,0.090923876,0.0,0.011279959,0.0,0.118215755,0.0,0.009348433,0.0,0.0,0.0,0.058726676,0.0,0.0,0.17920308,0.0,0.0,0.0,0.02029019,0.0,0.0,0.12581378,0.01745111,0.13560939,0.094888926,0.26825887,0.15614547,0.013626356,0.0,0.11077003,0.0877842,0.076963484,0.0,0.022337874,0.0,0.0,0.16030982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07923952,0.0,0.004490449,0.0,0.03765258,0.0,0.0,0.075129665,0.12739547,0.0,0.106205665,0.1015662
boat,0.0,0.0,0.08593237,0.0,0.0,0.0,0.05450819,0.0,0.0,0.0,0.0,0.0,0.10585502,0.0,0.072830245,0.17689702,0.0,0.0048094485,0.0,0.0,0.0,0.03332723,0.04579801,0.0,0.0,0.08027248,0.0,0.0,0.0,0.0,0.07980093,0.0,0.0,0.16215979,0.0,0.09193005,0.012912191,0.0,0.13284302,0.20522252,0.0,0.0,0.009175163,0.10827912,0.030080482,0.0,0.0,0.0,0.073004365,0.0,0.0,0.07597097,0.0,0.010496408,0.16986279,0.14958885,0.022918707,0.0,0.0,0.0,0.10785674,0.030905569,0.0,0.030173948,0.0,0.0,0.1555474,0.050548732,0.06367207,0.13483143,0.0,0.0,0.08661502,0.07728718,0.0,0.034183495,0.021755105,0.053643446,0.0,0.15082,0.0,0.0,0.0,0.0025497405,0.0,0.0,0.0,0.10253177,0.0914596,0.048646677,0.101692155,0.0,0.0,0.03138545,0.0,0.040408004,0.11873538,0.055903066,0.09678415,0.0
