,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
snake,0.05252262,0.0,0.09211334,0.10050422,0.0,0.047194652,0.0,0.0,0.0,0.053332224,0.0,0.07058765,0.0,0.04574164,0.0,0.0,0.0,0.016691253,0.0,0.0,0.0,0.17911932,0.0036604442,0.1651372,0.0,0.0,0.16327433,0.0,0.20707148,0.0,0.0861381,0.04648211,0.0,0.0,0.0,0.0,0.10890016,0.0,0.0,0.0,0.0,0.0,0.06972492,0.0,0.0,0.0741519,0.0,0.0,0.0,0.0,0.08556846,0.2828901,0.028414018,0.057792455,0.0,0.0,0.0,0.06399388,0.020407375,0.0,0.0,0.0038800146,0.024019554,0.0,0.028158598,0.015281309,0.0,0.0,0.0,0.0,0.08449878,0.17794183,0.08565639,0.0,0.0,0.052529737,0.06877326,0.054827433,0.0,0.09651056,0.12132483,0.14830007,0.016074426,0.0,0.0,0.100294694,0.0,0.0,0.09837277,0.06441781,0.0,0.04825768,0.0,0.22660986,0.097837016,0.0,0.10196763,0.12261305,0.16422702,0.11750759
lizard,0.0,0.0,0.0,0.0,0.0,0.098375164,0.0,0.2424373,0.0,0.046157554,0.0,0.0,0.0,0.15821902,0.0,0.049099028,0.0,0.0,0.0,0.0,0.12976639,0.18413384,0.0,0.148078,0.0,0.1431313,0.24385507,0.122174114,0.20887432,0.0,0.13588192,0.03846632,0.0,0.0,0.030879103,0.0,0.0,0.04520099,0.0,0.0,0.0,0.0,0.011874795,0.0,0.0,0.07462196,0.0,0.0,0.0,0.029120304,0.0323267,0.25066367,0.0513829,0.0,0.1015049,0.0,0.0,0.057958156,0.0,0.0,0.14333652,0.0,0.0,0.0,0.06590761,0.029134572,0.0,0.03332938,0.09741893,0.0,0.0,0.1534921,0.0,0.039239697,0.0,0.030285122,0.052496947,0.0,0.17359464,0.08018312,0.21615511,0.010893462,0.0,0.040721558,0.0,0.0,0.040104948,0.10785838,0.09835343,0.16114315,0.0,0.020092223,0.0,0.07373287,0.16399112,0.0,0.04122001,0.0,0.10385044,0.022108514
turtle,0.0,0.0,0.0,0.084037334,0.0,0.058582522,0.11869483,0.09943641,0.026237622,0.068294115,0.0,0.020166066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022821302,0.05674526,0.16060464,0.06597422,0.1259797,0.15839922,0.08949617,0.02831096,0.0008121021,0.08533419,0.0,0.0010088691,0.012251055,0.0,0.0,0.024431193,0.03862612,0.0,0.0,0.0,0.0,0.0,0.0,0.05607637,0.034743715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1903476,0.020577021,0.05755233,0.039573528,0.0,0.0,0.047091916,0.10432184,0.0,0.0,0.0,0.0,0.0,0.0,0.059196178,0.06758879,0.0,0.03316395,0.0,0.0,0.06124221,0.0,0.012349614,0.0,0.043740846,0.035493486,0.0055369996,1.4621764e-05,0.14484426,0.13019758,0.090296045,0.0,0.0838019,0.0,0.09271215,0.027474334,0.019775294,0.10146796,0.18834038,0.0,0.029304897,0.0,0.113631085,0.10302696,0.0,0.0,0.002195213,0.062397357,0.0
chameleon,0.0036137737,0.04825106,0.0,0.08980352,0.0,0.0,0.0,0.0,0.0531202,0.12944788,0.0,0.11368837,0.0,0.008886185,0.0,0.0,0.0,0.0,0.0,0.0,0.026112175,0.015055604,0.0,0.07518796,0.06988088,0.124698035,0.115754165,0.012105081,0.06696901,0.0,0.10766182,0.0,0.07189102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08898803,0.0069793947,0.0,0.0,0.035608225,0.0,0.0,0.0,0.0,0.23011613,0.07337731,0.14755337,0.01489231,0.0,0.12720247,0.018538097,0.0,0.0,0.11455345,0.0,0.0,0.0,0.0,0.025739882,0.0022028498,0.028803322,0.0,0.0,0.017438665,0.15206821,0.06822464,0.0,0.0,0.10541676,0.04384132,0.0,0.04523202,0.109807074,0.12083076,0.0,0.0,0.0,0.0,0.0037070774,0.0,0.0,0.14022283,0.28970551,0.0,0.07055387,0.0,0.1508125,0.122446805,0.0,0.018268978,0.03749029,0.11103277,0.0
iguana,0.14895374,0.0,0.0,0.03620145,0.0,0.0,0.0,0.07587447,0.0,0.012591116,0.0,0.03675612,0.0,0.23982954,0.028672066,0.0,0.0,0.0,0.0,0.0,0.03937342,0.13932483,0.075146064,0.0,0.010725418,0.22617188,0.0,0.05251187,0.080432,0.0,0.0,0.062299445,0.0,0.0,0.0,0.03674411,0.10668447,0.0,0.0,0.0,0.0,0.0,0.0,0.083551064,0.0,0.0,0.0,0.0,0.0205373,0.0,0.0,0.13859126,0.08060838,0.027991656,0.1086296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031657875,0.0,0.063205734,0.40328297,0.02717466,0.004678169,0.0,0.0119737815,0.020735977,0.07834627,0.023162808,0.12779807,0.00785207,0.11456331,0.0,0.038852148,0.0,0.055743586,0.06710624,0.0,0.21969318,0.15116304,0.0,0.16626123,0.0688639,0.08359632,0.061892066,0.0,0.12357595,0.038398016,0.18995923,0.0
caterpillar,0.042872403,0.0,0.0,0.027581524,0.0,0.009310117,0.0,0.0,0.013534196,0.0037307367,0.035077095,0.11933566,0.0,0.055870295,0.048200063,0.0726286,0.0,0.0,0.0,0.0,0.0241767,0.059824243,0.018688504,0.07100352,0.0,0.06628108,0.08733545,0.098709196,0.120333746,0.0,0.0074538253,0.0,0.0,0.03840244,0.0,0.0,0.035286166,0.015584625,0.0,0.0,0.041604612,0.0,0.09026086,0.0,0.00163614,0.0,0.0,0.06879982,0.0,0.0,0.0017210171,0.16857606,0.0076549277,0.071472526,0.029874805,0.0,0.023588823,0.10499811,0.0,0.0,0.0,0.0076366216,0.012281358,0.0,0.0,0.0,0.035334907,0.0,0.0,0.0,0.0,0.13016981,0.0,0.034235477,0.0,0.0,0.13974574,0.056204475,0.0,0.03691464,0.14109936,0.11427088,0.0,0.0,0.0,0.08565816,0.0,0.062946945,0.13366811,0.15701644,0.0,0.07382217,0.0,0.112194955,0.11922525,0.0,0.015789205,0.031536244,0.10317846,0.03927881
cockroach,0.22943832,0.0,0.16227518,0.0,0.0,0.05119311,0.0,0.078565426,0.0,0.0,0.0,0.09643852,0.0,0.022330934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06761999,0.27073622,0.0041037425,0.049665354,0.13940868,0.143834,0.0,0.28625557,0.0,0.07677997,0.013746684,0.0,0.0,0.0,0.0,0.0,0.00754524,0.0,0.0,0.0050979736,0.0,0.0,0.0,0.034104243,0.062120743,0.0,0.0,0.0,0.0,0.0,0.13497229,0.117845386,0.24585661,0.1459388,0.0,0.0,0.16206795,0.1305908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21482483,0.0,0.0,0.21954945,0.10437602,0.02388724,0.0,0.38163093,0.0,0.075109884,0.00424565,0.16143063,0.0,0.17470548,0.0,0.0,0.0,0.053821232,0.029413814,0.015431486,0.25370732,0.30631116,0.0,0.0,0.0,0.1815564,0.0,0.0,0.11504329,0.3135145,0.3000708,0.0
beetle,0.0,0.0,0.040012684,0.06722291,0.0,0.16541706,0.12365751,0.0,0.11032754,0.25136486,0.0,0.18113057,0.0,0.027595695,0.0,0.0,0.0,0.052185286,0.0,0.13040951,0.0,0.0,0.13941337,0.03533472,0.0,0.029033143,0.0,0.0,0.13136987,0.0,0.029407423,0.0,0.0,0.0,0.0,0.0,0.0,0.013157466,0.02843348,0.0,0.08735752,0.067166395,0.16091312,0.0,0.0,0.0,0.0,0.0,0.10537756,0.0,0.092002496,0.29802352,0.28831157,0.0,0.021623405,0.0,0.0,0.0,0.017269421,0.0,0.0,0.06304748,0.0,0.0,0.0,0.0,0.0,0.05018236,0.010313807,0.0,0.0,0.108548835,0.0,0.0,0.0,0.0,0.19793883,0.0,0.026490793,0.20707765,0.08870682,0.14764062,0.184123,0.0,0.0521727,0.0,0.050011426,0.0076969266,0.16959468,0.1423371,0.0,0.13213292,0.0,0.117131285,0.061937124,0.0,0.021320354,0.13256447,0.14967348,0.0
spider,0.0,0.033966456,0.0,0.0,0.0,0.09827649,0.0,0.04568688,0.103616714,0.0278904,0.0,0.0007794462,0.0,0.0,0.02054068,0.14946777,0.0,0.0,0.0,0.0,0.07642598,0.09696469,0.0,0.08728171,0.019852696,0.0,0.101832345,0.0,0.19176117,0.0,0.0,0.12591839,0.0,0.0,0.0,0.08316407,0.0,0.0,0.022579435,0.0,0.0,0.0,0.05585824,0.010046449,0.0,0.0010593301,0.0,0.0,0.0,0.0,0.11025466,0.12436795,0.053610057,0.0812047,0.10267216,0.0,0.0,0.0,0.0,0.0,0.11493949,0.0,0.0,0.0,0.022230495,0.0,0.0,0.0,0.0,0.0,0.0,0.19838984,0.0,0.0,0.0,0.0,0.0,0.0120459795,0.0,0.06921227,0.20880002,0.043335702,0.038952805,0.016249105,0.061442826,0.06654757,0.07595151,0.0,0.19975187,0.24698791,0.0,0.08865272,0.025333669,0.11328672,0.107207954,0.0,0.18084496,0.0,0.06338923,0.0
moth,0.0,0.025296915,0.0,0.051342826,0.036119677,0.036472224,0.0,0.02058271,0.05576511,0.015235566,0.08034693,0.20939095,0.0,0.11573325,0.0,0.0,0.0,0.0,0.0,0.0,0.08902976,0.11401097,0.0,0.1932742,0.00045091799,0.06473123,0.0,0.041312207,0.20185542,0.0,0.0,0.18400998,0.0,0.0,0.0,0.0,0.0,0.0,0.09280226,0.0,0.0268321,0.0,0.12570317,0.038499847,0.0,0.0,0.064675294,0.0,0.0,0.0,0.0,0.11411691,0.048803307,0.012630383,0.012070976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085619524,0.0,0.0,0.0,0.0,0.025317237,0.0,0.32053962,0.0,0.035936885,0.0,0.0,0.0,0.0,0.0,0.1634012,0.08829692,0.13048889,0.0,0.0,0.0,0.19783615,0.008704605,0.0,0.12019354,0.19900757,0.0,0.1914002,0.0,0.20905402,0.12038289,0.0,0.043597244,0.0,0.09480834,0.0
