,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
airplane,0.29694486,0.0,0.0,0.0,0.0,0.055968344,0.0142108165,0.0,0.0,0.1934582,0.0,0.11798762,0.048755065,0.0,0.057268582,0.0,0.0,0.0702428,0.0,0.12786801,0.028082702,0.0,0.15354438,0.05219999,0.0,0.0,0.0,0.022984944,0.11439786,0.27749482,0.06061491,0.0,0.040880367,0.18410327,0.0,0.0,0.0,0.21306825,0.010019235,0.033280924,0.0,0.16607895,0.0,0.10554155,0.12171462,0.0,0.23246545,0.0,0.0,0.10587066,0.0,0.0793927,0.14536199,0.061586224,0.0,0.0,0.12701473,0.0,0.060699604,0.02378307,0.11163129,0.082538664,0.0,0.0,0.060058385,0.0,0.0,0.0,0.016535465,0.1657219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19122076,0.0,0.0,0.058487706,0.0,0.04069737,0.029682616,0.069065586,0.17352338,0.052515686,0.1016637,0.0,0.16713706,0.0,0.252339,0.04980059,0.012875481,0.0
alligator,0.0,0.109371975,0.0,0.0,0.0,0.2530694,0.0,0.0,0.0,0.27992088,0.0,0.0,0.061258625,0.025845036,0.053799935,0.0,0.102023706,0.0,0.03971244,0.10609564,0.0,0.0,0.22808716,0.0015881378,0.0,0.0,0.0,0.08626821,0.09453101,0.14271924,0.0,0.0,0.0,0.07511331,0.0,0.0,0.17972276,0.1777532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20117092,0.0,0.124435976,0.0,0.0074167857,0.033897664,0.28921324,0.0,0.0,0.0,0.17399961,0.0,0.18447939,0.0726247,0.13760039,0.0,0.0,0.0,0.07399084,0.0,0.0,0.0,0.05177241,0.27097017,0.0,0.0,0.0,0.055014398,0.0,0.0,0.0,0.0,0.0,0.109946296,0.024848357,0.0013688933,0.21129479,0.04670503,0.0,0.0,0.0,0.0,0.09919739,0.22026423,0.041060224,0.0,0.0,0.0,0.170189,0.0,0.14638674,0.12312788,0.13050255,0.0
ant,0.08552143,0.038677286,0.0,0.0,0.09272002,0.11815262,0.0,0.047996942,0.0,0.13199838,0.13677447,0.04068357,0.04546873,0.0,0.022779226,0.0,0.0455972,0.062678695,0.0,0.0,0.0,0.0,0.037048433,0.021312872,0.0,0.044216737,0.0,0.09959544,0.0,0.14923745,0.0,0.058762982,0.0,0.0,0.031475037,0.0,0.0,0.13235217,0.09854618,0.047339104,0.0,0.018346151,0.0,0.04233788,0.02014365,0.0,0.16714662,0.056976803,0.059270807,0.0,0.1346023,0.07003995,0.054985113,0.08015201,0.0,0.0,0.0,0.0,0.11180553,0.0,0.016522681,0.0,0.0,0.09208454,0.0,0.0,0.016687695,0.0,0.032235734,0.15819009,0.0,0.0,0.019945754,0.0,0.0,0.0,0.0,0.0,0.0,0.06337914,0.0,0.21986996,0.12102878,0.0,0.0,0.0987034,0.0,0.0,0.01473752,0.13814455,0.009272993,0.09220985,0.0,0.0,0.017440515,0.04384569,0.18058178,0.17069814,0.116990864,0.0
anvil,0.117455825,0.0,0.0,0.050147243,0.0,0.0,0.0,0.045483053,0.0,0.22074632,0.0,0.033223018,0.0,0.0,0.09054301,0.0,0.064937234,0.0,0.03664616,0.0,0.0,0.029660624,0.09934948,0.0,0.0,0.07194702,0.03506067,0.15336439,0.0,0.0,0.0,0.0,0.011247167,0.0037805159,0.0,0.0,0.02868776,0.11218766,0.0,0.0,0.0,0.025764793,0.0,0.09373794,0.0,0.0,0.1269204,0.0,0.012105314,0.026096571,0.119339034,0.022083681,0.0,0.0,0.0,0.0,0.021260388,0.0,0.1042793,0.064184055,0.0658196,0.12832057,0.06358803,0.036597177,0.07510455,0.0,0.0,0.0,0.0,0.06725535,0.0,0.0,0.0,0.043743882,0.0,0.0,0.0,0.0,0.0,0.0,0.070160136,0.09849157,0.17775115,0.03458827,0.0,0.0,0.0,0.0,0.0,0.0720932,0.0,0.03239099,0.0,0.0,0.08897364,0.0,0.1330853,0.17696074,0.16451035,0.0
axe,0.28884587,0.08444433,0.0,0.0,0.0,0.119651705,0.0,0.0,0.0,0.14434981,0.0,0.0,0.093383804,0.0,0.12357971,0.0,0.0,0.0,0.11966021,0.0073386207,0.0,0.07167435,0.19246452,0.09636409,0.0,0.14061084,0.0,0.107629046,0.08783513,0.07820433,0.056525555,0.0,0.029439678,0.12537448,0.0,0.0,0.065795586,0.33788586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28375968,0.05731263,0.05337684,0.17754376,0.0,0.0,0.0,0.02675125,0.0,0.0,0.00951452,0.0,0.10672553,0.083502464,0.20525579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030476827,0.0,0.0,0.04353619,0.008944479,0.0,0.0,0.0,0.0,0.0,0.028105065,0.0769618,0.0010822546,0.12597775,0.003424244,0.0,0.15836598,0.0,0.0,0.0,0.12632175,0.0,0.082227,0.0,0.0,0.2018046,0.09408833,0.15534689,0.08887587,0.100251734,0.0
beaver,0.04671632,0.035897885,0.0,0.0,0.06252451,0.13095109,0.0,0.0,0.08765544,0.18972607,0.08610892,0.019689748,0.10341321,0.0,0.09198529,0.0,0.008624602,0.008614078,0.17345566,0.008064989,0.0,0.0,0.098086916,0.0,0.0,0.0,0.0012768805,0.14564809,0.18518797,0.16013964,0.0,0.002679687,0.007240195,0.0,0.0,0.058759794,0.0,0.099193804,0.0,0.016295306,0.0,0.003885631,0.0,0.057780348,0.016958212,0.0,0.016452946,0.02442834,0.057186063,0.055019174,0.040973414,0.068223685,0.011746883,0.054707326,0.0,0.0,0.064732745,0.0,0.11144295,0.02252155,0.019179301,0.0,0.028707413,0.06779894,0.029518068,0.0,0.0,0.0,0.0,0.10794622,0.0,0.0,0.01937861,0.07448454,0.0,0.0,0.0,0.0,0.0,0.07488291,0.0,0.082415,0.07707955,0.12079505,0.0,0.0,0.0,0.0,0.045795053,0.090431705,7.4766576e-06,0.0,0.0,0.0,0.06182643,0.0,0.024791026,0.094507195,0.040085196,0.0
beetle,0.13556139,0.07295863,0.0,0.0,0.0,0.05564355,0.0,0.0,0.0,0.044794485,0.10339282,0.089938,0.0946434,0.0,0.041856855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005612116,0.020865211,0.0,0.096618354,0.029539611,0.15049425,0.06412134,0.14957498,0.0,0.08207355,0.07351707,0.03574623,0.0,0.0,0.0,0.07110577,0.13537583,0.0,0.0,0.14546797,0.0,0.0,0.06584649,0.0,0.17577742,0.07185323,0.040856622,0.1380123,0.0,0.0,0.0,0.1686922,0.0,0.0,0.06533186,0.0,0.15815744,0.005922663,0.0,0.03567712,0.0,0.0,0.0,0.0,0.0,0.0,0.025635242,0.067170724,0.0,0.026271738,0.0,0.0,0.027424045,0.0,0.071021274,0.0,0.0,0.10265064,0.106199086,0.13190332,0.17035134,0.0,0.0,0.09706982,0.0,0.13272291,0.16982661,0.25897342,0.0,0.0,0.009769248,0.0,0.063552804,0.0,0.3417932,0.00084458076,0.16229653,0.0
bicycle,0.0,0.0,0.0,0.0,0.01845276,0.020474711,0.0,0.0,0.019513385,0.2434746,0.06011932,0.0,0.07578123,0.0,0.011958606,0.0,0.08011638,0.0,0.122670054,0.0,0.0,0.026657246,0.012850024,0.08990649,0.043276265,0.06957828,0.13279857,0.25465587,0.17175525,0.16414677,0.0,0.06001451,0.06510039,0.00096665695,0.0,0.009139363,0.06045448,0.08761775,0.086131945,0.0,0.0,0.0,0.0,0.0033915918,0.12324586,0.0,0.36197272,0.09755497,0.0,0.0,0.07284177,0.07230697,0.0,0.0,0.0,0.037712462,0.049845394,0.0,0.2170152,0.0,0.06382848,0.14206316,0.0,0.0,0.10743675,0.0,0.0,0.0,0.0,0.16386196,0.0,0.0,0.0,0.0,0.041703776,0.0,0.0,0.0,0.0,0.0,0.046928342,0.07754714,0.18044396,0.0,0.0,0.0,0.0,0.04869894,0.2093907,0.11925866,0.0,0.01920688,0.0,0.0,0.019957798,0.0029112846,0.21708281,0.18631388,0.16935009,0.0
bison,0.1344858,0.0,0.0,0.0,0.0,0.16201381,0.0,0.0,0.020615384,0.17015393,0.0,0.0,0.08208932,0.014149736,0.0,0.0,0.0,0.040432043,0.0,0.0,0.00017618481,0.0,0.022428125,0.047675483,0.0,0.0,0.0,0.09184924,0.07165146,0.10263764,0.0,0.0,0.0,0.057296086,0.0,0.0019319709,0.0,0.18770586,0.0,0.0,0.0,0.0,0.0,0.0,0.03246983,0.0,0.02736034,0.0,0.0,0.13079895,0.039696243,0.08399194,0.0,0.0,0.0,0.0,0.0,0.0,0.07807528,0.01622206,0.0,0.06426537,0.0,0.024561241,0.04830718,0.0,0.03791806,0.0,0.0,0.15968178,0.0,0.0,0.0,0.055820946,0.0,0.0,0.0,0.0,0.0,0.0,0.0036036838,0.1502836,0.0,0.0,0.0,0.08121256,0.0,0.046814915,0.0,0.17797145,0.08640467,0.0,0.0036330577,0.0,0.0,0.0,0.13794795,0.054592423,0.073367104,0.0
boat,0.0,0.0,0.0,0.0049408916,0.084957674,0.05706933,0.0,0.0,0.0,0.24631134,0.0,0.0,0.041311443,0.0,0.0,0.0,0.0,0.045671627,0.0043533966,0.0,0.0,0.0,0.07095956,0.03597843,0.0034370609,0.0,0.0,0.2033818,0.087386005,0.21597813,0.07755672,0.011670405,0.0,0.08542098,0.0,0.0,0.011314943,0.18115284,0.0,0.00892619,0.0,0.0,0.0,0.0,0.07056599,0.0,0.086741775,0.11000066,0.07574853,0.098833226,0.07568218,0.0,0.09399561,0.0,0.0,0.0,0.029704083,0.0,0.14424118,0.011550603,0.01404687,0.0,0.0,0.030091465,0.025627635,0.0,0.03303617,0.0,0.0,0.11359222,0.0,0.0,0.024620347,0.06707862,0.0056584263,0.0,0.0,0.04927445,0.0,0.0,0.0,0.19928445,0.17567866,0.04586891,0.0,0.014265308,0.0,0.0,0.06718709,0.12504308,0.07303803,0.044406526,0.0,0.0,0.07858141,0.025139887,0.18724677,0.013878063,0.117592566,0.0
