,0,1,2,3,4,5
airplane,-0.017620048,0.008839449,0.009259802,-0.009631892,-0.018380404,0.002909947
alligator,-0.017881066,0.008531966,0.011373054,-0.010803994,-0.02024552,0.0024154368
ant,-0.018005101,0.008220696,0.007924974,-0.008625278,-0.016610626,0.0033113076
anvil,-0.016480323,0.0098786075,0.011235891,-0.0113711925,-0.019447187,0.002064207
axe,-0.0143513,0.011382567,0.012039062,-0.01231508,-0.020999985,0.003666126
beaver,-0.017916292,0.00931245,0.007934098,-0.009818154,-0.017383795,0.0040137395
beetle,-0.017135274,0.009548891,0.009102332,-0.009754058,-0.017739229,0.0020995717
bicycle,-0.016411982,0.009358719,0.009681925,-0.01159956,-0.019605726,0.0022479282
bison,-0.016903691,0.007936132,0.01045933,-0.009010067,-0.017685175,0.0038135462
boat,-0.019065473,0.008873463,0.009176685,-0.0096790185,-0.01773464,0.003539524
bottle,-0.016700752,0.007600232,0.009734352,-0.011114281,-0.020281598,0.0041967053
bowl,-0.017515337,0.009087389,0.011497502,-0.013545037,-0.019628368,0.0029828742
bumblebee,-0.017529994,0.009461748,0.008811213,-0.010031908,-0.019396985,0.0049278773
bus,-0.017041497,0.0094606755,0.009139349,-0.0094285915,-0.018636784,0.0037649139
car,-0.01664397,0.008785467,0.009134191,-0.011125849,-0.018615153,0.003710886
cat,-0.0179045,0.0076363245,0.009267117,-0.009641878,-0.018782733,0.0032209968
caterpillar,-0.017483393,0.010255801,0.009207822,-0.00947056,-0.017412981,0.0037324429
chameleon,-0.017597707,0.009612646,0.0088409465,-0.009858336,-0.01759607,0.0040872833
clarinet,-0.01771475,0.008857705,0.011669133,-0.012951324,-0.02082271,0.0018219156
cockroach,-0.017324168,0.010033131,0.011092965,-0.01185956,-0.01890055,0.0023244298
cow,-0.016204977,0.009739616,0.010793023,-0.012512302,-0.0202862,0.0019489403
crocodile,-0.016358173,0.009849898,0.008808249,-0.010164917,-0.017307162,0.0014598821
crowbar,-0.018581856,0.00862299,0.007541721,-0.0108988695,-0.01760682,0.0041283257
cymbals,-0.017063826,0.011653813,0.010102901,-0.011369429,-0.0210471,0.0038254692
deer,-0.015133434,0.011853509,0.011371909,-0.011871585,-0.021480251,0.0033424785
dog,-0.016816704,0.009155143,0.010814928,-0.010971052,-0.018188762,0.002375352
dolphin,-0.016684001,0.009434989,0.009452574,-0.010150274,-0.01727554,0.004812778
donkey,-0.016383521,0.009636059,0.00901734,-0.009810936,-0.018678794,0.002485498
drum,-0.01834056,0.007162184,0.0072293067,-0.008041347,-0.017202407,0.0024884779
earwig,-0.015765702,0.011634762,0.010331659,-0.01106475,-0.018996675,0.0007489729
elephant,-0.01597638,0.010344955,0.010027146,-0.011025109,-0.018534541,0.00533082
frog,-0.017107254,0.008236352,0.008717153,-0.008891827,-0.018121209,0.0028645152
gecko,-0.017612368,0.00795149,0.007504763,-0.0093677575,-0.016881824,0.0030948515
glass,-0.017891083,0.006954402,0.008334031,-0.010223019,-0.017551787,0.0010068866
guitar,-0.016554628,0.010832583,0.008797156,-0.010031166,-0.017595818,0.0041724127
hammer,-0.018446453,0.009616602,0.008274176,-0.010137067,-0.017911302,0.0037060033
hamster,-0.017721303,0.008296226,0.009523297,-0.010438263,-0.01842923,0.002795488
hedgehog,-0.01786504,0.008682258,0.008648605,-0.009343345,-0.017470323,0.004348033
helicopter,-0.0165545,0.008743888,0.0104600275,-0.010305481,-0.018728076,0.0048256656
horse,-0.017735034,0.0076564727,0.009221284,-0.0094045345,-0.017539725,6.455183e-05
hovercraft,-0.01669956,0.009890807,0.009140137,-0.010716486,-0.017558683,0.0028295293
iguana,-0.016954232,0.009578459,0.010224632,-0.009833157,-0.018892495,0.0025500534
jar,-0.017394882,0.0072254147,0.007976467,-0.010228612,-0.018034104,0.0034056888
kangaroo,-0.017880527,0.008394429,0.006930436,-0.009261472,-0.017485226,0.0033171803
kettle,-0.017111868,0.00955875,0.008800031,-0.010166127,-0.017659614,0.004445143
knife,-0.016653677,0.00845565,0.010193387,-0.011398565,-0.02065468,0.0035173327
lion,-0.016435992,0.009823024,0.009313465,-0.009887677,-0.018108854,0.003435493
lizard,-0.018295547,0.008816225,0.009383955,-0.010637564,-0.019245163,0.0042105983
llama,-0.018522605,0.008211073,0.009492966,-0.008839461,-0.01816325,0.0028029887
monkey,-0.013416794,0.010750527,0.012574213,-0.013118735,-0.021016892,0.002751285
mosquito,-0.019121405,0.0074726883,0.007850583,-0.007363205,-0.017642789,0.0027573109
moth,-0.015876122,0.0106705725,0.009713432,-0.0115722325,-0.019322652,0.0050960295
mouse,-0.0181407,0.007998493,0.008673029,-0.008713522,-0.017350946,0.0030485797
paintbrush,-0.0171456,0.009265718,0.011435893,-0.011439117,-0.018603249,0.0035067557
pan,-0.017860532,0.009126071,0.009034603,-0.009208694,-0.018444944,0.0041944943
piano,-0.016970083,0.010171151,0.009052614,-0.011615511,-0.01862736,0.0043181507
pig,-0.016309142,0.010537967,0.009303086,-0.010380613,-0.01839707,0.0032226993
plate,-0.017903736,0.008367122,0.008945852,-0.008226534,-0.017964015,0.0032531554
pliers,-0.016513985,0.0084544895,0.008213265,-0.008134653,-0.018041784,0.0022058352
rabbit,-0.01788006,0.008427837,0.009061912,-0.009723269,-0.018566672,0.0035009193
salamander,-0.017423816,0.00852437,0.0101503935,-0.010078892,-0.018574692,0.002029691
screwdriver,-0.018565806,0.007316006,0.00878965,-0.009405326,-0.017887916,0.0035027289
sheep,-0.016978418,0.009739265,0.011461335,-0.011710209,-0.019424684,0.002517406
shield,-0.01786096,0.009149312,0.0094713755,-0.009751603,-0.018590203,0.0022625164
shovel,-0.017161507,0.008153396,0.0088594,-0.009873284,-0.017765602,0.0032675886
sieve,-0.0167628,0.008256508,0.0079895,-0.008933337,-0.01837964,0.0035928611
snake,-0.018333696,0.009075217,0.008646172,-0.009063734,-0.016971368,0.0029415118
spider,-0.017466424,0.0092746345,0.0079890005,-0.009244471,-0.018495025,0.0036701662
spoon,-0.01571752,0.008524863,0.009290233,-0.010693758,-0.018242236,0.0020818892
squirrel,-0.018011732,0.008386327,0.0083766235,-0.009128204,-0.018509585,0.004090158
submarine,-0.01797292,0.0070564523,0.008837474,-0.009731529,-0.0181876,0.0053509595
tiger,-0.015805854,0.010150758,0.009937213,-0.010732185,-0.018160721,0.0043300698
toaster,-0.017162645,0.009062547,0.008690456,-0.009784916,-0.018672166,0.0024890332
towel,-0.017275449,0.008039948,0.00799551,-0.009809098,-0.018643335,0.003978753
tractor,-0.016162444,0.009031617,0.009412803,-0.012089969,-0.020317432,0.004913473
train,-0.016861776,0.011469408,0.0099383155,-0.01189382,-0.020236518,0.0036825622
truck,-0.016648883,0.0119355,0.011208838,-0.011433984,-0.019601375,0.0021538518
turtle,-0.01764831,0.010122752,0.0097687105,-0.010372638,-0.020466197,0.0035178787
violin,-0.014207811,0.009704154,0.01091763,-0.011110816,-0.020478928,0.0021866646
wasp,-0.01815182,0.008785322,0.010549873,-0.01163483,-0.019569568,0.0039391085
whale,-0.017655741,0.008662109,0.007562687,-0.009337895,-0.019760981,0.003331033
wheelbarrow,-0.01822815,0.0076875696,0.007075346,-0.008140295,-0.017610317,0.0041667917
wolf,-0.01712372,0.010171529,0.010049497,-0.010706087,-0.018066522,0.0043261293
worm,-0.01724134,0.010303937,0.010764925,-0.011005742,-0.019642156,0.0039018732
wrench,-0.017331693,0.009604671,0.010643171,-0.010961346,-0.020345133,0.0017453923
zebra,-0.018817816,0.007666095,0.009768396,-0.008653769,-0.018020462,0.0025076407
